Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,2.37,2.32,2.32,405600,0.0,0.0
1980-03-18,0.0,2.57,2.51,2.51,672400,0.0,0.0
1980-03-19,0.0,2.57,2.51,2.51,274800,0.0,0.0
1980-03-20,0.0,2.57,2.51,2.51,212400,0.0,0.0
1980-03-21,0.0,2.53,2.47,2.47,259600,0.0,0.0
1980-03-24,0.0,2.41,2.35,2.35,315200,0.0,0.0
1980-03-25,0.0,2.39,2.33,2.33,298400,0.0,0.0
1980-03-26,0.0,2.45,2.39,2.39,476800,0.0,0.0
1980-03-27,0.0,2.32,2.26,2.26,604800,0.0,0.0
1980-03-28,0.0,2.39,2.33,2.33,747600,0.0,0.0
1980-03-31,0.0,2.51,2.45,2.45,343600,0.0,0.0
1980-04-01,0.0,2.61,2.55,2.55,712800,0.0,0.0
1980-04-02,0.0,2.61,2.55,2.55,231200,0.0,0.0
1980-04-03,0.0,2.59,2.53,2.53,402000,0.0,0.0
1980-04-07,0.0,2.49,2.43,2.43,232800,0.0,0.0
1980-04-08,0.0,2.51,2.45,2.45,541200,0.0,0.0
1980-04-09,0.0,2.55,2.49,2.49,447600,0.0,0.0
1980-04-10,0.0,2.59,2.53,2.53,379600,0.0,0.0
1980-04-11,0.0,2.59,2.53,2.53,426800,0.0,0.0
1980-04-14,0.0,2.57,2.51,2.51,195600,0.0,0.0
1980-04-15,0.0,2.59,2.53,2.53,292800,0.0,0.0
1980-04-16,0.0,2.57,2.51,2.51,471600,0.0,0.0
1980-04-17,0.0,2.53,2.47,2.47,235600,0.0,0.0
1980-04-18,0.0,2.55,2.49,2.49,166800,0.0,0.0
1980-04-21,0.0,2.49,2.43,2.43,120400,0.0,0.0
1980-04-22,0.0,2.65,2.59,2.59,487600,0.0,0.0
1980-04-23,0.0,2.65,2.59,2.59,388400,0.0,0.0
1980-04-24,0.0,2.68,2.63,2.63,234800,0.0,0.0
1980-04-25,0.0,2.67,2.61,2.61,270400,0.0,0.0
1980-04-28,0.0,2.72,2.67,2.67,230400,0.0,0.0
1980-04-29,0.0,2.78,2.72,2.72,349200,0.0,0.0
1980-04-30,0.0,2.76,2.7,2.7,425200,0.0,0.0
1980-05-01,0.0,2.78,2.72,2.72,679600,0.0,0.0
1980-05-02,0.0,2.82,2.76,2.76,420800,0.0,0.0
1980-05-05,0.0,2.86,2.8,2.8,290000,0.0,0.0
1980-05-06,0.0,2.84,2.78,2.78,434800,0.0,0.0
1980-05-07,0.0,2.86,2.8,2.8,457200,0.0,0.0
1980-05-08,0.0,2.82,2.76,2.76,596800,0.0,0.0
1980-05-09,0.0,2.72,2.67,2.67,237600,0.0,0.0
1980-05-12,0.0,2.67,2.61,2.61,326800,0.0,0.0
1980-05-13,0.0,2.7,2.65,2.65,358000,0.0,0.0
1980-05-14,0.0,2.74,2.68,2.68,169600,0.0,0.0
1980-05-15,0.0,2.88,2.82,2.82,694800,0.0,0.0
1980-05-16,0.0,2.9,2.84,2.84,511600,0.0,0.0
1980-05-19,0.0,2.92,2.86,2.86,207200,0.0,0.0
1980-05-20,0.0,2.96,2.9,2.9,533200,0.0,0.0
1980-05-21,0.0,2.98,2.92,2.92,205200,0.0,0.0
1980-05-22,0.0,3.05,3.0,3.0,338400,0.0,0.0
1980-05-23,0.0,3.04,2.98,2.98,108000,0.0,0.0
1980-05-27,0.0,3.09,3.04,3.04,164000,0.0,0.0
1980-05-28,0.0,3.05,3.0,3.0,418800,0.0,0.0
1980-05-29,0.0,3.04,2.98,2.98,368800,0.0,0.0
1980-05-30,0.0,3.07,3.02,3.02,440400,0.0,0.0
1980-06-02,0.0,3.02,2.96,2.96,308000,0.0,0.0
1980-06-03,0.0,3.04,2.98,2.98,389200,0.0,0.0
1980-06-04,0.0,3.07,3.02,3.02,534000,0.0,0.0
1980-06-05,0.0,3.09,3.04,3.04,481200,0.0,0.0
1980-06-06,0.0,3.15,3.09,3.09,479600,0.0,0.0
1980-06-09,0.0,3.17,3.11,3.11,640400,0.0,0.0
1980-06-10,0.0,3.25,3.11,3.23,283200,0.0,0.0
1980-06-11,0.0,3.39,3.21,3.3,311600,0.0,0.0
1980-06-12,0.0,3.34,3.25,3.25,162400,0.0,0.0
1980-06-13,0.0,3.23,3.15,3.19,101600,0.0,0.0
1980-06-16,0.0,3.25,3.1,3.14,151600,0.0,0.0
1980-06-17,0.0,3.37,3.21,3.33,211600,0.0,0.0
1980-06-18,0.0,3.44,3.3,3.32,263200,0.0,0.0
1980-06-19,0.0,3.41,3.35,3.35,194400,0.0,0.0
1980-06-20,0.0,3.34,3.27,3.29,92000,0.0,0.0
1980-06-23,0.0,3.31,3.27,3.27,124000,0.0,0.0
1980-06-24,0.0,3.47,3.31,3.43,369600,0.0,0.0
1980-06-25,0.0,3.65,3.44,3.5,420800,0.0,0.0
1980-06-26,0.0,3.54,3.49,3.54,100800,0.0,0.0
1980-06-27,0.0,3.57,3.42,3.47,123200,0.0,0.0
1980-06-30,0.0,3.5,3.33,3.33,97200,0.0,0.0
1980-07-01,0.0,3.39,3.31,3.33,145600,0.0,0.0
1980-07-02,0.0,3.35,3.29,3.33,117600,0.0,0.0
1980-07-03,0.0,3.42,3.28,3.42,159600,0.0,0.0
1980-07-07,0.0,3.56,3.46,3.54,228400,0.0,0.0
1980-07-08,0.0,3.64,3.51,3.58,367200,0.0,0.0
1980-07-09,0.0,3.74,3.58,3.7,362400,0.0,0.0
1980-07-10,0.0,3.83,3.71,3.71,421600,0.0,0.0
1980-07-11,0.0,3.81,3.71,3.77,150800,0.0,0.0
1980-07-14,0.0,3.83,3.74,3.74,215200,0.0,0.0
1980-07-15,0.0,3.83,3.72,3.78,140800,0.0,0.0
1980-07-16,0.0,3.79,3.74,3.78,184800,0.0,0.0
1980-07-17,0.0,3.83,3.71,3.77,310800,0.0,0.0
1980-07-18,0.0,3.82,3.7,3.7,291200,0.0,0.0
1980-07-21,0.0,3.74,3.7,3.7,90800,0.0,0.0
1980-07-22,0.0,3.64,3.44,3.54,228400,0.0,0.0
1980-07-23,0.0,3.64,3.31,3.48,406400,0.0,0.0
1980-07-24,0.0,3.52,3.4,3.46,190800,0.0,0.0
1980-07-25,0.0,3.47,3.4,3.42,68400,0.0,0.0
1980-07-28,0.0,3.46,3.37,3.45,103600,0.0,0.0
1980-07-29,0.0,3.64,3.42,3.62,223200,0.0,0.0
1980-07-30,0.0,3.77,3.66,3.7,146400,0.0,0.0
1980-07-31,0.0,3.73,3.48,3.61,161600,0.0,0.0
1980-08-01,0.0,3.65,3.59,3.61,24000,0.0,0.0
1980-08-04,0.0,3.59,3.37,3.46,130400,0.0,0.0
1980-08-05,0.0,3.47,3.36,3.36,786000,0.0,0.0
1980-08-06,0.0,3.44,3.35,3.4,405600,0.0,0.0
1980-08-07,0.0,3.48,3.39,3.48,666400,0.0,0.0
1980-08-08,0.0,3.51,3.42,3.44,528800,0.0,0.0
1980-08-11,0.0,3.48,3.42,3.46,249200,0.0,0.0
1980-08-12,0.0,3.53,3.46,3.49,663600,0.0,0.0
1980-08-13,0.0,3.54,3.47,3.53,289200,0.0,0.0
1980-08-14,0.0,3.62,3.53,3.62,299200,0.0,0.0
1980-08-15,0.0,3.72,3.63,3.71,793200,0.0,0.0
1980-08-18,0.0,3.68,3.58,3.6,343600,0.0,0.0
1980-08-19,0.0,3.64,3.48,3.56,234800,0.0,0.0
1980-08-20,0.0,3.61,3.52,3.58,111600,0.0,0.0
1980-08-21,0.0,3.64,3.56,3.62,184000,0.0,0.0
1980-08-22,0.0,3.68,3.6,3.6,217600,0.0,0.0
1980-08-25,0.0,3.64,3.6,3.63,100000,0.0,0.0
1980-08-26,0.0,3.76,3.64,3.67,691200,0.0,0.0
1980-08-27,0.0,3.7,3.62,3.65,167600,0.0,0.0
1980-08-28,0.0,3.7,3.58,3.62,258000,0.0,0.0
1980-08-29,0.0,3.63,3.46,3.48,96400,0.0,0.0
1980-09-02,0.0,3.61,3.54,3.59,100800,0.0,0.0
1980-09-03,0.0,3.66,3.62,3.62,136400,0.0,0.0
1980-09-04,0.0,3.67,3.59,3.64,206000,0.0,0.0
1980-09-05,0.0,3.7,3.63,3.7,182000,0.0,0.0
1980-09-08,0.0,3.76,3.74,3.74,236400,0.0,0.0
1980-09-09,0.0,3.76,3.7,3.71,184000,0.0,0.0
1980-09-10,0.0,3.87,3.72,3.87,264400,0.0,0.0
1980-09-11,0.0,3.99,3.89,3.93,276800,0.0,0.0
1980-09-12,0.0,4.03,3.91,4.0,214400,0.0,0.0
1980-09-15,0.0,4.0,3.89,3.94,113200,0.0,0.0
1980-09-16,0.0,4.2,4.01,4.12,305200,0.0,0.0
1980-09-17,0.0,4.2,4.1,4.11,314400,0.0,0.0
1980-09-18,0.0,4.19,4.1,4.12,106000,0.0,0.0
