Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-01-27,19.6,20.35,19.6,19.99,5809300,0.0,0
2011-01-28,19.99,19.99,19.68,19.68,2611900,0.0,0
2011-01-31,19.66,20.86,19.48,20.52,2505300,0.0,0
2011-02-01,20.82,20.96,20.07,20.27,2155300,0.0,0
2011-02-02,20.45,20.73,20.26,20.43,1173100,0.0,0
2011-02-03,20.28,20.53,20.27,20.43,668300,0.0,0
2011-02-04,20.51,21.33,20.27,20.53,720200,0.0,0
2011-02-07,20.51,20.62,20.18,20.3,1204800,0.0,0
2011-02-08,20.23,20.51,20.19,20.49,3632000,0.0,0
2011-02-09,20.44,20.62,20.1,20.14,873200,0.0,0
2011-02-10,20.07,20.18,19.68,19.99,1149600,0.0,0
2011-02-11,20.48,20.48,19.77,19.85,2107900,0.0,0
2011-02-14,20.05,20.05,19.77,19.97,1122500,0.0,0
2011-02-15,19.93,20.01,19.73,19.98,887500,0.0,0
2011-02-16,19.92,20.47,19.92,20.47,853400,0.0,0
2011-02-17,20.37,21.42,20.37,21.26,1733100,0.0,0
2011-02-18,21.32,21.92,21.18,21.8,1360800,0.0,0
2011-02-22,21.37,21.64,20.63,20.8,1109400,0.0,0
2011-02-23,20.59,21.03,20.44,20.99,1125400,0.0,0
2011-02-24,20.83,20.88,20.42,20.43,496900,0.0,0
2011-02-25,20.5,20.59,20.29,20.46,556100,0.0,0
2011-02-28,20.55,21.05,20.44,20.93,872400,0.0,0
2011-03-01,20.47,21.65,20.4,21.36,1033500,0.0,0
2011-03-02,21.29,21.45,21.05,21.19,419700,0.0,0
2011-03-03,21.13,21.21,20.52,21.05,2173600,0.0,0
2011-03-04,20.88,21.29,20.72,20.9,719100,0.0,0
2011-03-07,21.47,21.92,21.14,21.25,1476600,0.0,0
2011-03-08,21.25,21.64,21.18,21.33,921300,0.0,0
2011-03-09,21.25,21.4,21.0,21.23,470800,0.0,0
2011-03-10,20.84,21.21,20.36,20.48,1128300,0.0,0
2011-03-11,20.32,20.84,20.32,20.47,706900,0.0,0
2011-03-14,20.3,21.07,20.29,20.83,786600,0.0,0
2011-03-15,20.39,20.92,20.32,20.73,859600,0.0,0
2011-03-16,20.72,20.77,20.24,20.49,1261100,0.0,0
2011-03-17,20.81,20.85,20.5,20.54,363600,0.0,0
2011-03-18,20.62,20.99,20.62,20.97,663900,0.0,0
2011-03-21,20.98,21.3,20.81,21.25,377600,0.0,0
2011-03-22,21.18,21.62,21.11,21.37,720600,0.0,0
2011-03-23,21.26,21.55,20.96,21.08,812000,0.0,0
2011-03-24,21.14,21.36,20.81,21.3,225200,0.0,0
2011-03-25,21.42,22.16,21.42,21.74,475200,0.0,0
2011-03-28,21.71,22.06,21.52,21.64,605300,0.0,0
2011-03-29,21.66,21.99,21.5,21.99,410800,0.0,0
2011-03-30,22.05,22.16,21.74,21.9,912000,0.0,0
2011-03-31,21.92,22.0,21.37,21.5,5847400,0.0,0
2011-04-01,21.57,21.77,21.26,21.48,609800,0.0,0
2011-04-04,21.47,22.04,21.47,21.84,945500,0.0,0
2011-04-05,21.76,21.76,21.39,21.58,273400,0.0,0
2011-04-06,21.64,21.67,21.3,21.65,653900,0.0,0
2011-04-07,21.56,21.73,21.21,21.63,242400,0.0,0
2011-04-08,21.86,21.86,21.18,21.28,446100,0.0,0
2011-04-11,21.25,22.02,21.16,21.77,483700,0.0,0
2011-04-12,21.63,22.25,21.51,22.1,1260300,0.0,0
2011-04-13,22.18,22.37,21.99,22.1,1031600,0.0,0
2011-04-14,22.02,22.08,21.63,21.77,161600,0.0,0
2011-04-15,21.75,22.06,21.68,22.06,246800,0.0,0
2011-04-18,21.81,21.95,21.43,21.49,311500,0.0,0
2011-04-19,21.49,22.19,21.47,21.73,371200,0.0,0
2011-04-20,21.98,22.04,21.36,21.47,1493500,0.0,0
2011-04-21,21.63,23.01,21.63,22.63,1009500,0.0,0
2011-04-25,22.73,22.88,21.89,22.51,1074200,0.0,0
2011-04-26,22.51,22.62,22.11,22.41,491200,0.0,0
2011-04-27,22.49,22.92,22.45,22.61,848500,0.0,0
2011-04-28,22.65,24.8,22.55,23.08,2091200,0.0,0
2011-04-29,23.13,23.69,23.04,23.53,1065600,0.0,0
2011-05-02,23.53,23.73,23.41,23.48,437800,0.0,0
2011-05-03,23.5,23.58,23.03,23.1,470700,0.0,0
2011-05-04,23.22,23.29,22.5,22.71,599000,0.0,0
2011-05-05,22.65,23.48,22.63,23.43,415600,0.0,0
2011-05-06,23.57,23.72,23.3,23.48,198500,0.0,0
2011-05-09,23.54,24.23,23.44,23.84,742200,0.0,0
2011-05-10,23.95,24.28,23.69,23.79,328500,0.0,0
2011-05-11,23.94,24.01,23.65,23.77,701900,0.0,0
2011-05-12,23.68,24.03,23.1,23.83,657000,0.0,0
2011-05-13,23.91,24.18,23.54,24.09,383700,0.0,0
2011-05-16,24.0,24.77,23.77,24.32,694400,0.0,0
2011-05-17,24.32,25.68,24.32,25.24,1846300,0.0,0
2011-05-18,24.51,25.45,24.19,25.21,1327400,0.0,0
2011-05-19,25.11,25.31,24.68,24.95,643200,0.0,0
2011-05-20,24.98,25.25,24.8,25.14,599400,0.0,0
2011-05-23,24.95,25.21,24.57,24.76,732900,0.0,0
2011-05-24,24.99,24.99,23.72,24.1,1721400,0.0,0
2011-05-25,24.1,25.08,23.88,24.2,1114400,0.0,0
2011-05-26,24.22,24.56,24.04,24.42,669100,0.0,0
2011-05-27,24.65,25.06,24.47,24.69,1110200,0.0,0
2011-05-31,25.02,25.98,24.6,24.79,4236000,0.0,0
2011-06-01,24.87,24.95,24.17,24.27,618100,0.0,0
