Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-10-29,4.0,4.0,3.81,3.84,13418900,0.0,0.0
1996-10-30,3.86,4.48,3.86,4.34,2777800,0.0,0.0
1996-10-31,4.34,4.5,4.31,4.43,2769300,0.0,0.0
1996-11-01,4.43,4.45,4.14,4.19,1621800,0.0,0.0
1996-11-04,4.22,4.24,4.14,4.14,314900,0.0,0.0
1996-11-05,4.14,4.17,4.12,4.12,325600,0.0,0.0
1996-11-06,4.14,4.19,4.1,4.17,198700,0.0,0.0
1996-11-07,4.14,4.22,4.12,4.22,273200,0.0,0.0
1996-11-08,4.24,4.43,4.22,4.38,439100,0.0,0.0
1996-11-11,4.41,4.55,4.41,4.48,358400,0.0,0.0
1996-11-12,4.48,4.62,4.48,4.57,261700,0.0,0.0
1996-11-13,4.67,4.98,4.6,4.86,815700,0.0,0.0
1996-11-14,4.91,5.1,4.91,5.0,675600,0.0,0.0
1996-11-15,5.05,5.07,4.93,4.98,548700,0.0,0.0
1996-11-18,4.95,4.95,4.74,4.86,397400,0.0,0.0
1996-11-19,4.91,4.91,4.84,4.91,103300,0.0,0.0
1996-11-20,4.91,4.93,4.88,4.88,192900,0.0,0.0
1996-11-21,4.91,4.91,4.84,4.84,507000,0.0,0.0
1996-11-22,4.88,5.07,4.84,4.86,491000,0.0,0.0
1996-11-25,4.88,5.19,4.88,5.15,285600,0.0,0.0
1996-11-26,5.19,5.41,5.19,5.24,841900,0.0,0.0
1996-11-27,5.29,5.34,5.26,5.34,64300,0.0,0.0
1996-11-29,5.38,5.38,5.36,5.38,8400,0.0,0.0
1996-12-02,5.38,5.38,5.26,5.34,239100,0.0,0.0
1996-12-03,5.34,5.55,5.34,5.55,363700,0.0,0.0
1996-12-04,5.55,5.55,5.43,5.43,361500,0.0,0.0
1996-12-05,5.48,5.53,5.38,5.48,70900,0.0,0.0
1996-12-06,5.43,5.46,5.29,5.34,63800,0.0,0.0
1996-12-09,5.36,5.53,5.36,5.48,114800,0.0,0.0
1996-12-10,5.48,5.48,5.29,5.29,46100,0.0,0.0
1996-12-11,5.26,5.26,4.93,4.98,91800,0.0,0.0
1996-12-12,5.03,5.12,5.03,5.12,72300,0.0,0.0
1996-12-13,5.15,5.15,5.07,5.1,170700,0.0,0.0
1996-12-16,5.12,5.24,5.12,5.24,135200,0.0,0.0
1996-12-17,5.26,5.29,5.24,5.29,94400,0.0,0.0
1996-12-18,5.31,5.31,5.19,5.26,238600,0.0,0.0
1996-12-19,5.48,5.67,5.48,5.53,287800,0.0,0.0
1996-12-20,5.57,5.79,5.57,5.72,113100,0.0,0.0
1996-12-23,5.76,5.81,5.74,5.74,399600,0.0,0.0
1996-12-24,5.79,5.81,5.79,5.79,9300,0.0,0.0
1996-12-26,5.81,5.81,5.76,5.79,75400,0.0,0.0
1996-12-27,5.69,5.74,5.65,5.65,118800,0.0,0.0
1996-12-30,5.62,5.67,5.62,5.67,48700,0.0,0.0
1996-12-31,5.62,5.86,5.62,5.86,98900,0.0,0.0
1997-01-02,5.81,5.86,5.76,5.84,64700,0.0,0.0
1997-01-03,5.84,5.84,5.72,5.72,108600,0.0,0.0
1997-01-06,5.74,5.76,5.74,5.74,86900,0.0,0.0
1997-01-07,5.72,5.81,5.65,5.76,339700,0.0,0.0
1997-01-08,5.79,5.79,5.72,5.76,227100,0.0,0.0
1997-01-09,5.79,6.12,5.79,6.07,131300,0.0,0.0
1997-01-10,6.03,6.34,6.0,6.34,51000,0.0,0.0
1997-01-13,6.31,6.34,6.24,6.24,34600,0.0,0.0
1997-01-14,6.26,6.26,6.12,6.24,254600,0.0,0.0
1997-01-15,6.24,6.86,6.24,6.86,343700,0.0,0.0
