Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-06-02,1.59,1.62,1.57,1.58,1081800,0.0,0.0
1982-06-03,1.57,1.58,1.56,1.56,672300,0.0,0.0
1982-06-04,1.54,1.55,1.52,1.52,828900,0.0,0.0
1982-06-07,1.54,1.56,1.52,1.55,287100,0.0,0.0
1982-06-08,1.54,1.55,1.52,1.52,330300,0.0,0.0
1982-06-09,1.53,1.54,1.52,1.52,841500,0.0,0.0
1982-06-10,1.52,1.53,1.52,1.52,591300,0.0,0.0
1982-06-11,1.54,1.55,1.52,1.53,1161000,0.0,0.0
1982-06-14,1.53,1.53,1.52,1.52,498600,0.0,0.0
1982-06-15,1.53,1.54,1.52,1.53,666900,0.0,0.0
1982-06-16,1.53,1.54,1.52,1.53,239400,0.0,0.0
1982-06-17,1.51,1.53,1.49,1.5,937800,0.0,0.0
1982-06-18,1.5,1.51,1.48,1.5,1577700,0.0,0.0
1982-06-21,1.51,1.51,1.5,1.51,1314000,0.0,0.0
1982-06-22,1.54,1.57,1.51,1.57,702000,0.0,0.0
1982-06-23,1.62,1.66,1.57,1.66,765000,0.0,0.0
1982-06-24,1.63,1.65,1.61,1.63,720900,0.0,0.0
1982-06-25,1.63,1.64,1.62,1.63,189000,0.0,0.0
1982-06-28,1.64,1.66,1.63,1.64,223200,0.0,0.0
1982-06-29,1.66,1.68,1.64,1.67,670500,0.0,0.0
1982-06-30,1.68,1.68,1.67,1.68,1296000,0.0,0.0
1982-07-01,1.68,1.68,1.66,1.68,903600,0.0,0.0
1982-07-02,1.69,1.72,1.67,1.71,378900,0.0,0.0
1982-07-06,1.71,1.73,1.7,1.71,527400,0.0,0.0
1982-07-07,1.69,1.71,1.68,1.7,566100,0.0,0.0
1982-07-08,1.67,1.7,1.64,1.67,641700,0.0,0.0
1982-07-09,1.66,1.68,1.64,1.66,361800,0.0,0.0
1982-07-12,1.65,1.66,1.64,1.65,921600,0.0,0.0
1982-07-13,1.65,1.67,1.64,1.66,1000800,0.0,0.0
1982-07-14,1.64,1.66,1.64,1.65,921600,0.0,0.0
1982-07-15,1.63,1.67,1.6,1.6,684000,0.0,0.0
1982-07-16,1.6,1.62,1.57,1.59,2254500,0.0,0.0
1982-07-19,1.58,1.6,1.57,1.57,1497600,0.0,0.0
1982-07-20,1.6,1.62,1.57,1.62,427500,0.0,0.0
1982-07-21,1.64,1.66,1.62,1.63,549000,0.0,0.0
1982-07-22,1.64,1.66,1.62,1.65,973800,0.0,0.0
1982-07-23,1.69,1.71,1.67,1.7,341100,0.0,0.0
1982-07-26,1.68,1.68,1.67,1.67,411300,0.0,0.0
1982-07-27,1.68,1.68,1.67,1.67,1046700,0.0,0.0
1982-07-28,1.67,1.68,1.66,1.67,781200,0.0,0.0
1982-07-29,1.67,1.68,1.66,1.67,727200,0.0,0.0
1982-07-30,1.66,1.68,1.65,1.67,1313100,0.0,0.0
1982-08-02,1.69,1.72,1.67,1.71,1115100,0.07778,0.0
1982-08-03,1.71,1.72,1.7,1.7,1321200,0.0,0.0
1982-08-04,1.68,1.69,1.67,1.68,638100,0.0,0.0
1982-08-05,1.64,1.67,1.6,1.62,819900,0.0,0.0
1982-08-06,1.63,1.64,1.62,1.63,691200,0.0,0.0
1982-08-09,1.63,1.64,1.62,1.64,567000,0.0,0.0
1982-08-10,1.64,1.65,1.63,1.64,463500,0.0,0.0
1982-08-11,1.65,1.66,1.64,1.65,248400,0.0,0.0
1982-08-12,1.65,1.66,1.64,1.65,338400,0.0,0.0
1982-08-13,1.67,1.69,1.64,1.69,688500,0.0,0.0
1982-08-16,1.7,1.71,1.69,1.7,940500,0.0,0.0
1982-08-17,1.74,1.77,1.71,1.77,1505700,0.0,0.0
1982-08-18,1.8,1.82,1.77,1.77,2105100,0.0,0.0
1982-08-19,1.79,1.8,1.78,1.79,1035000,0.0,0.0
1982-08-20,1.79,1.8,1.78,1.8,1650600,0.0,0.0
1982-08-23,1.85,1.91,1.8,1.88,1472400,0.0,0.0
1982-08-24,1.9,1.92,1.88,1.89,1353600,0.0,0.0
1982-08-25,1.93,1.97,1.89,1.97,688500,0.0,0.0
1982-08-26,2.01,2.02,1.99,1.99,2550600,0.0,0.0
