Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.39,0.38,0.38,230400,0.0,0.0
1980-03-18,0.0,0.38,0.38,0.38,493200,0.0,0.0
1980-03-19,0.0,0.38,0.38,0.38,72000,0.0,0.0
1980-03-20,0.0,0.38,0.38,0.38,97200,0.0,0.0
1980-03-21,0.0,0.38,0.37,0.37,198000,0.0,0.0
1980-03-24,0.0,0.38,0.37,0.37,230400,0.0,0.0
1980-03-25,0.0,0.38,0.37,0.37,64800,0.0,0.0
1980-03-26,0.0,0.38,0.37,0.37,28800,0.0,0.0
1980-03-27,0.0,0.38,0.37,0.37,90000,0.0,0.0
1980-03-28,0.0,0.38,0.37,0.37,104400,0.0,0.0
1980-03-31,0.0,0.39,0.38,0.38,111600,0.0,0.0
1980-04-01,0.0,0.39,0.38,0.38,68400,0.0,0.0
1980-04-02,0.0,0.39,0.38,0.38,68400,0.0,0.0
1980-04-03,0.0,0.39,0.38,0.38,28800,0.0,0.0
1980-04-07,0.0,0.39,0.38,0.38,90000,0.0,0.0
1980-04-08,0.0,0.39,0.38,0.38,36000,0.0,0.0
1980-04-09,0.0,0.39,0.38,0.38,133200,0.0,0.0
1980-04-10,0.0,0.39,0.38,0.38,295200,0.0,0.0
1980-04-11,0.0,0.39,0.38,0.38,126000,0.0,0.0
1980-04-14,0.0,0.39,0.38,0.38,183600,0.0,0.0
1980-04-15,0.0,0.39,0.38,0.38,7200,0.0,0.0
1980-04-16,0.0,0.39,0.38,0.38,241200,0.0,0.0
1980-04-17,0.0,0.39,0.38,0.38,262800,0.0,0.0
1980-04-18,0.0,0.39,0.38,0.38,75600,0.0,0.0
1980-04-21,0.0,0.39,0.38,0.38,36000,0.0,0.0
1980-04-22,0.0,0.39,0.38,0.38,10800,0.0,0.0
1980-04-23,0.0,0.4,0.39,0.39,212400,0.0,0.0
1980-04-24,0.0,0.4,0.39,0.39,75600,0.0,0.0
1980-04-25,0.0,0.41,0.4,0.4,90000,0.0,0.0
1980-04-28,0.0,0.41,0.4,0.4,79200,0.0,0.0
1980-04-29,0.0,0.42,0.41,0.41,93600,0.0,0.0
1980-04-30,0.0,0.42,0.41,0.41,28800,0.0,0.0
1980-05-01,0.0,0.42,0.41,0.41,122400,0.0,0.0
1980-05-02,0.0,0.42,0.41,0.41,79200,0.0,0.0
1980-05-05,0.0,0.45,0.44,0.44,788400,0.0,0.0
1980-05-06,0.0,0.45,0.44,0.44,144000,0.0,0.0
1980-05-07,0.0,0.45,0.44,0.44,72000,0.0,0.0
1980-05-08,0.0,0.46,0.45,0.45,327600,0.0,0.0
1980-05-09,0.0,0.46,0.45,0.45,43200,0.0,0.0
1980-05-12,0.0,0.46,0.45,0.45,21600,0.0,0.0
1980-05-13,0.0,0.46,0.45,0.45,154800,0.0,0.0
1980-05-14,0.0,0.46,0.45,0.45,14400,0.0,0.0
1980-05-15,0.0,0.46,0.45,0.45,72000,0.0,0.0
1980-05-16,0.0,0.46,0.45,0.45,406800,0.0,0.0
1980-05-19,0.0,0.46,0.45,0.45,7200,0.0,0.0
1980-05-20,0.0,0.45,0.44,0.44,216000,0.0,0.0
1980-05-21,0.0,0.45,0.44,0.44,28800,0.0,0.0
1980-05-22,0.0,0.45,0.44,0.44,1357200,0.0,0.0
1980-05-23,0.0,0.46,0.45,0.45,417600,0.0,0.0
1980-05-27,0.0,0.46,0.45,0.45,216000,0.0,0.0
1980-05-28,0.0,0.46,0.45,0.45,82800,0.0,0.0
1980-05-29,0.0,0.45,0.44,0.44,43200,0.0,0.0
1980-05-30,0.0,0.45,0.44,0.44,500400,0.0,0.0
1980-06-02,0.0,0.44,0.43,0.43,90000,0.0,0.0
1980-06-03,0.0,0.44,0.43,0.43,46800,0.0,0.0
1980-06-04,0.0,0.44,0.43,0.43,61200,0.0,0.0
1980-06-05,0.0,0.44,0.43,0.43,82800,0.0,0.0
1980-06-06,0.0,0.44,0.43,0.43,349200,0.0,0.0
1980-06-09,0.0,0.44,0.43,0.43,25200,0.0,0.0
1980-06-10,0.0,0.44,0.43,0.43,64800,0.0,0.0
1980-06-11,0.0,0.44,0.43,0.43,7200,0.0,0.0
1980-06-12,0.43,0.43,0.43,0.43,0,0.0,0.0
1980-06-13,0.0,0.45,0.44,0.44,97200,0.0,0.0
1980-06-16,0.0,0.45,0.44,0.44,104400,0.0,0.0
1980-06-17,0.0,0.45,0.44,0.44,28800,0.0,0.0
1980-06-18,0.0,0.45,0.44,0.44,25200,0.0,0.0
1980-06-19,0.0,0.45,0.44,0.44,68400,0.0,0.0
1980-06-20,0.0,0.45,0.44,0.44,493200,0.0,0.0
1980-06-23,0.0,0.44,0.43,0.43,212400,0.0,0.0
1980-06-24,0.0,0.44,0.43,0.43,136800,0.0,0.0
1980-06-25,0.0,0.44,0.43,0.43,666000,0.0,0.0
1980-06-26,0.0,0.45,0.44,0.44,68400,0.0,0.0
1980-06-27,0.0,0.44,0.43,0.43,252000,0.0,0.0
1980-06-30,0.0,0.44,0.43,0.43,61200,0.0,0.0
1980-07-01,0.0,0.44,0.43,0.43,14400,0.0,0.0
1980-07-02,0.0,0.44,0.43,0.43,75600,0.0,0.0
1980-07-03,0.0,0.44,0.43,0.43,36000,0.0,0.0
1980-07-07,0.0,0.44,0.44,0.44,25200,0.0,0.0
1980-07-08,0.0,0.45,0.44,0.44,75600,0.0,0.0
1980-07-09,0.0,0.45,0.45,0.45,79200,0.0,0.0
1980-07-10,0.0,0.46,0.45,0.45,68400,0.0,0.0
1980-07-11,0.0,0.46,0.45,0.45,86400,0.0,0.0
1980-07-14,0.0,0.46,0.45,0.45,25200,0.0,0.0
1980-07-15,0.0,0.46,0.46,0.46,327600,0.0,0.0
1980-07-16,0.0,0.47,0.46,0.46,187200,0.0,0.0
1980-07-17,0.0,0.47,0.47,0.47,46800,0.0,0.0
1980-07-18,0.0,0.48,0.47,0.47,64800,0.0,0.0
1980-07-21,0.0,0.48,0.47,0.47,10800,0.0,0.0
1980-07-22,0.0,0.48,0.47,0.47,79200,0.0,0.0
1980-07-23,0.0,0.47,0.47,0.47,64800,0.0,0.0
1980-07-24,0.0,0.47,0.47,0.47,18000,0.0,0.0
1980-07-25,0.0,0.47,0.46,0.46,32400,0.0,0.0
1980-07-28,0.0,0.47,0.46,0.46,39600,0.0,0.0
1980-07-29,0.0,0.47,0.47,0.47,90000,0.0,0.0
1980-07-30,0.0,0.47,0.46,0.46,32400,0.0,0.0
1980-07-31,0.46,0.46,0.46,0.46,0,0.0,0.0
1980-08-01,0.46,0.46,0.46,0.46,0,0.0,0.0
1980-08-04,0.0,0.47,0.46,0.46,75600,0.0,0.0
1980-08-05,0.0,0.46,0.46,0.46,43200,0.0,0.0
1980-08-06,0.46,0.46,0.46,0.46,0,0.0,0.0
1980-08-07,0.0,0.46,0.46,0.46,18000,0.0,0.0
1980-08-08,0.0,0.46,0.46,0.46,61200,0.0,0.0
1980-08-11,0.0,0.46,0.46,0.46,10800,0.0,0.0
1980-08-12,0.0,0.47,0.46,0.46,25200,0.0,0.0
1980-08-13,0.0,0.46,0.46,0.46,21600,0.0,0.0
1980-08-14,0.0,0.47,0.46,0.46,79200,0.0,0.0
1980-08-15,0.0,0.47,0.46,0.46,75600,0.0,0.0
1980-08-18,0.0,0.47,0.46,0.46,10800,0.0,0.0
1980-08-19,0.0,0.47,0.46,0.46,241200,0.0,0.0
1980-08-20,0.0,0.46,0.46,0.46,10800,0.0,0.0
1980-08-21,0.0,0.47,0.46,0.46,14400,0.0,0.0
1980-08-22,0.0,0.47,0.46,0.46,10800,0.0,0.0
1980-08-25,0.0,0.47,0.46,0.46,97200,0.0,0.0
1980-08-26,0.0,0.47,0.47,0.47,270000,0.0,0.0
1980-08-27,0.0,0.47,0.46,0.46,100800,0.0,0.0
1980-08-28,0.0,0.47,0.46,0.46,68400,0.0,0.0
1980-08-29,0.0,0.46,0.46,0.46,61200,0.0,0.0
1980-09-02,0.0,0.47,0.46,0.46,3600,0.0,0.0
1980-09-03,0.0,0.47,0.46,0.46,75600,0.0,0.0
1980-09-04,0.0,0.47,0.46,0.46,50400,0.0,0.0
1980-09-05,0.0,0.47,0.46,0.46,39600,0.0,0.0
1980-09-08,0.0,0.47,0.46,0.46,39600,0.0,0.0
1980-09-09,0.0,0.47,0.46,0.46,25200,0.0,0.0
1980-09-10,0.0,0.47,0.46,0.46,21600,0.0,0.0
1980-09-11,0.0,0.47,0.46,0.46,259200,0.0,0.0
1980-09-12,0.0,0.47,0.46,0.46,64800,0.0,0.0
1980-09-15,0.0,0.46,0.46,0.46,10800,0.0,0.0
1980-09-16,0.0,0.46,0.46,0.46,43200,0.0,0.0
1980-09-17,0.0,0.46,0.46,0.46,25200,0.0,0.0
1980-09-18,0.0,0.46,0.46,0.46,68400,0.0,0.0
1980-09-19,0.0,0.46,0.46,0.46,14400,0.0,0.0
1980-09-22,0.0,0.46,0.45,0.45,118800,0.0,0.0
1980-09-23,0.0,0.46,0.45,0.45,7200,0.0,0.0
1980-09-24,0.0,0.46,0.45,0.45,165600,0.0,0.0
1980-09-25,0.0,0.45,0.44,0.44,194400,0.0,0.0
1980-09-26,0.0,0.45,0.45,0.45,216000,0.0,0.0
1980-09-29,0.45,0.45,0.45,0.45,0,0.0,0.0
1980-09-30,0.0,0.45,0.45,0.45,79200,0.0,0.0
1980-10-01,0.0,0.46,0.45,0.45,172800,0.0,0.0
1980-10-02,0.0,0.46,0.45,0.45,25200,0.0,0.0
1980-10-03,0.0,0.46,0.45,0.45,97200,0.0,0.0
1980-10-06,0.0,0.46,0.45,0.45,25200,0.0,0.0
1980-10-07,0.0,0.46,0.46,0.46,352800,0.0,0.0
1980-10-08,0.0,0.46,0.46,0.46,7200,0.0,0.0
1980-10-09,0.0,0.46,0.46,0.46,28800,0.0,0.0
1980-10-10,0.0,0.47,0.46,0.46,266400,0.0,0.0
1980-10-13,0.0,0.48,0.47,0.47,176400,0.0,0.0
1980-10-14,0.0,0.49,0.48,0.48,324000,0.0,0.0
1980-10-15,0.0,0.49,0.49,0.49,36000,0.0,0.0
