Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.42,0.39,0.39,768000,0.0,0.0
1980-03-18,0.0,0.4,0.39,0.4,595200,0.0,0.0
1980-03-19,0.0,0.41,0.4,0.41,796800,0.0,0.0
1980-03-20,0.0,0.41,0.4,0.4,201600,0.0,0.0
1980-03-21,0.0,0.4,0.4,0.4,206400,0.0,0.0
1980-03-24,0.0,0.4,0.38,0.38,240000,0.0,0.0
1980-03-25,0.0,0.38,0.35,0.35,830400,0.0,0.0
1980-03-26,0.0,0.36,0.35,0.36,240000,0.0,0.0
1980-03-27,0.0,0.35,0.31,0.33,1684800,0.0,0.0
1980-03-28,0.0,0.37,0.35,0.37,1056000,0.0,0.0
1980-03-31,0.0,0.38,0.37,0.38,676800,0.0,0.0
1980-04-01,0.0,0.4,0.38,0.4,403200,0.0,0.0
1980-04-02,0.0,0.4,0.4,0.4,643200,0.0,0.0
1980-04-03,0.0,0.41,0.4,0.41,1934400,0.0,0.0
1980-04-07,0.0,0.41,0.4,0.4,643200,0.0,0.0
1980-04-08,0.0,0.39,0.38,0.38,432000,0.0,0.0
1980-04-09,0.0,0.39,0.37,0.37,331200,0.0,0.0
1980-04-10,0.0,0.38,0.38,0.38,652800,0.0,0.0
1980-04-11,0.0,0.38,0.38,0.38,369600,0.0,0.0
1980-04-14,0.0,0.38,0.37,0.38,451200,0.0,0.0
1980-04-15,0.0,0.38,0.37,0.37,52800,0.0,0.0
1980-04-16,0.0,0.38,0.37,0.37,384000,0.0,0.0
1980-04-17,0.0,0.37,0.37,0.37,403200,0.0,0.0
1980-04-18,0.0,0.37,0.36,0.36,110400,0.0,0.0
1980-04-21,0.0,0.36,0.35,0.35,758400,0.0,0.0
1980-04-22,0.0,0.36,0.35,0.36,1036800,0.0,0.0
1980-04-23,0.0,0.37,0.36,0.37,561600,0.0,0.0
1980-04-24,0.0,0.38,0.37,0.38,321600,0.0,0.0
1980-04-25,0.0,0.39,0.38,0.38,230400,0.0,0.0
1980-04-28,0.0,0.4,0.39,0.4,619200,0.0,0.0
1980-04-29,0.0,0.4,0.4,0.4,398400,0.0,0.0
1980-04-30,0.0,0.42,0.4,0.42,648000,0.0,0.0
1980-05-01,0.0,0.43,0.4,0.4,388800,0.0,0.0
1980-05-02,0.0,0.4,0.4,0.4,235200,0.0,0.0
1980-05-05,0.0,0.42,0.4,0.42,705600,0.0,0.0
1980-05-06,0.0,0.44,0.41,0.43,508800,0.0,0.0
1980-05-07,0.0,0.45,0.43,0.45,912000,0.0,0.0
1980-05-08,0.0,0.46,0.45,0.45,715200,0.0,0.0
1980-05-09,0.0,0.45,0.44,0.44,945600,0.0,0.0
1980-05-12,0.0,0.44,0.43,0.43,1358400,0.0,0.0
1980-05-13,0.0,0.45,0.44,0.45,446400,0.0,0.0
1980-05-14,0.0,0.47,0.46,0.46,696000,0.0,0.0
1980-05-15,0.0,0.49,0.46,0.48,1180800,0.0,0.0
1980-05-16,0.0,0.48,0.47,0.47,499200,0.0,0.0
1980-05-19,0.0,0.48,0.48,0.48,571200,0.0,0.0
1980-05-20,0.0,0.48,0.46,0.46,1632000,0.0,0.0
1980-05-21,0.0,0.46,0.45,0.46,609600,0.0,0.0
1980-05-22,0.0,0.47,0.45,0.46,566400,0.0,0.0
1980-05-23,0.0,0.48,0.46,0.48,513600,0.0,0.0
1980-05-27,0.0,0.48,0.47,0.47,408000,0.0,0.0
1980-05-28,0.0,0.47,0.47,0.47,571200,0.0,0.0
1980-05-29,0.0,0.48,0.47,0.47,345600,0.0,0.0
1980-05-30,0.0,0.47,0.46,0.46,840000,0.0,0.0
1980-06-02,0.0,0.47,0.46,0.47,211200,0.0,0.0
1980-06-03,0.0,0.47,0.46,0.47,422400,0.0,0.0
1980-06-04,0.0,0.47,0.47,0.47,643200,0.0,0.0
1980-06-05,0.0,0.48,0.47,0.48,307200,0.0,0.0
1980-06-06,0.0,0.47,0.47,0.47,2376000,0.0,0.0
1980-06-09,0.0,0.48,0.47,0.48,388800,0.0,0.0
1980-06-10,0.0,0.48,0.48,0.48,576000,0.0,0.0
1980-06-11,0.0,0.48,0.48,0.48,240000,0.0,0.0
1980-06-12,0.0,0.48,0.48,0.48,364800,0.0,0.0
1980-06-13,0.0,0.49,0.48,0.48,379200,0.0,0.0
1980-06-16,0.0,0.47,0.47,0.47,432000,0.0,0.0
1980-06-17,0.0,0.48,0.47,0.47,691200,0.0,0.0
1980-06-18,0.0,0.47,0.46,0.47,508800,0.0,0.0
1980-06-19,0.0,0.47,0.47,0.47,379200,0.0,0.0
1980-06-20,0.0,0.47,0.46,0.46,321600,0.0,0.0
1980-06-23,0.0,0.49,0.47,0.49,648000,0.0,0.0
1980-06-24,0.0,0.5,0.48,0.5,432000,0.0,0.0
1980-06-25,0.0,0.51,0.5,0.5,691200,0.0,0.0
1980-06-26,0.0,0.51,0.5,0.5,604800,0.0,0.0
1980-06-27,0.0,0.5,0.49,0.49,235200,0.0,0.0
1980-06-30,0.0,0.49,0.48,0.48,465600,0.0,0.0
1980-07-01,0.0,0.49,0.48,0.49,206400,0.0,0.0
1980-07-02,0.0,0.49,0.48,0.49,120000,0.0,0.0
1980-07-03,0.0,0.5,0.49,0.49,206400,0.0,0.0
1980-07-07,0.0,0.51,0.5,0.51,412800,0.0,0.0
