Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-19,14.09,14.85,13.86,14.39,7717000,0.0,0
2013-06-20,15.06,15.1,14.23,14.31,1874600,0.0,0
2013-06-21,14.81,14.81,14.32,14.64,635300,0.0,0
2013-06-24,14.63,14.63,14.07,14.38,758300,0.0,0
2013-06-25,14.36,14.52,14.22,14.51,564400,0.0,0
2013-06-26,14.4,14.41,14.19,14.33,901000,0.0,0
2013-06-27,13.69,14.58,13.58,14.24,3258000,0.0,0
2013-06-28,14.17,14.53,14.13,14.25,1793700,0.0,0
2013-07-01,14.34,14.36,13.75,13.78,4343500,0.0,0
2013-07-02,13.6,14.07,13.59,13.89,8682500,0.0,0
2013-07-03,13.79,14.01,13.75,13.87,2265100,0.0,0
2013-07-05,13.86,14.77,13.86,14.46,3470900,0.0,0
2013-07-08,14.67,14.9,14.41,14.84,4010700,0.0,0
2013-07-09,14.65,14.84,14.52,14.57,3656200,0.0,0
2013-07-10,14.36,14.45,14.1,14.32,3010500,0.0,0
2013-07-11,14.64,14.64,13.95,14.09,3630300,0.0,0
2013-07-12,13.9,14.07,13.87,13.89,3042300,0.0,0
2013-07-15,13.9,13.97,13.45,13.71,5331400,0.0,0
2013-07-16,13.63,14.33,13.62,14.26,2711100,0.0,0
2013-07-17,14.16,14.94,14.16,14.84,3737700,0.0,0
2013-07-18,14.86,15.06,14.32,14.45,2827900,0.0,0
2013-07-19,14.24,15.07,14.24,14.94,3735400,0.0,0
2013-07-22,14.96,15.07,14.59,14.73,2159200,0.0,0
2013-07-23,14.69,14.87,14.56,14.69,2104900,0.0,0
2013-07-24,14.63,14.87,14.47,14.75,2205100,0.0,0
2013-07-25,14.74,14.87,14.49,14.6,2097300,0.0,0
2013-07-26,14.6,14.97,14.36,14.91,937600,0.0,0
2013-07-29,14.81,14.89,14.46,14.56,3495600,0.0,0
2013-07-30,14.57,14.99,14.52,14.95,3438100,0.0,0
2013-07-31,14.91,15.17,14.86,14.91,2392800,0.0,0
2013-08-01,14.93,15.21,14.91,15.19,1951600,0.0,0
2013-08-02,15.09,15.42,15.06,15.29,2042800,0.0,0
2013-08-05,15.2,15.27,14.9,15.02,1127500,0.0,0
2013-08-06,14.95,15.24,14.85,15.19,1335300,0.0,0
2013-08-07,15.05,15.1,14.86,14.97,1239800,0.0,0
2013-08-08,15.12,15.3,14.96,15.18,2109500,0.0,0
2013-08-09,15.2,15.2,15.03,15.05,1370900,0.0,0
2013-08-12,14.92,15.1,14.8,14.93,1917600,0.0,0
2013-08-13,15.04,15.04,14.82,14.87,1643600,0.0,0
2013-08-14,14.82,15.02,14.7,14.99,2029000,0.0,0
2013-08-15,14.88,15.19,14.77,15.12,1351600,0.0,0
2013-08-16,15.07,15.24,14.97,15.0,2144700,0.0,0
2013-08-19,15.02,15.03,14.71,14.72,610700,0.0,0
2013-08-20,14.74,14.81,14.57,14.71,993300,0.0,0
2013-08-21,14.67,14.82,14.55,14.77,1948100,0.0,0
2013-08-22,14.82,14.85,14.66,14.71,1611600,0.0,0
2013-08-23,14.68,14.84,14.61,14.75,1676500,0.0,0
2013-08-26,14.77,14.95,14.77,14.88,1095300,0.0,0
2013-08-27,14.81,15.01,14.76,14.77,3848700,0.0,0
2013-08-28,14.8,14.84,14.72,14.8,7235800,0.0,0
2013-08-29,14.81,14.91,14.67,14.79,797500,0.0,0
2013-08-30,14.74,14.8,14.6,14.68,1583300,0.0,0
2013-09-03,14.84,15.01,14.71,14.82,584400,0.0,0
2013-09-04,14.73,15.08,14.73,15.02,2037400,0.0,0
2013-09-05,15.01,15.23,14.89,15.19,1912100,0.0,0
2013-09-06,15.22,15.28,15.04,15.14,1655900,0.0,0
2013-09-09,15.13,15.29,15.1,15.28,772900,0.0,0
2013-09-10,15.32,15.49,15.2,15.49,846300,0.0,0
2013-09-11,15.48,15.94,15.46,15.94,1531600,0.0,0
2013-09-12,15.93,16.18,15.85,16.03,601600,0.0,0
2013-09-13,16.02,16.02,15.73,15.85,411600,0.0,0
2013-09-16,16.09,16.1,15.75,15.91,772100,0.0,0
2013-09-17,15.9,16.02,15.86,15.96,548600,0.0,0
2013-09-18,15.94,16.07,15.82,15.98,951800,0.0,0
2013-09-19,16.11,16.11,15.67,15.87,884200,0.0,0
2013-09-20,15.84,15.96,15.49,15.67,1416500,0.0,0
2013-09-23,15.58,15.61,15.39,15.56,703900,0.0,0
2013-09-24,15.54,16.15,15.54,16.06,1402900,0.0,0
2013-09-25,15.96,16.03,15.74,15.83,1126100,0.0,0
2013-09-26,15.86,15.86,15.26,15.45,2539000,0.0,0
2013-09-27,15.26,15.37,15.17,15.34,823300,0.0,0
2013-09-30,15.31,15.31,15.09,15.22,611800,0.0,0
2013-10-01,15.24,15.24,14.97,15.09,521200,0.0,0
2013-10-02,14.98,15.35,14.84,15.28,1292300,0.0,0
2013-10-03,15.29,15.37,15.02,15.08,2186100,0.0,0
2013-10-04,15.05,15.2,15.01,15.08,1114000,0.0,0
2013-10-07,14.96,15.16,14.93,15.08,1107800,0.0,0
2013-10-08,15.02,15.15,14.98,15.04,667400,0.0,0
2013-10-09,15.02,15.2,14.98,15.14,4387600,0.0,0
2013-10-10,15.19,15.45,15.19,15.43,1069200,0.0,0
2013-10-11,15.38,15.81,15.38,15.68,2259400,0.0,0
2013-10-14,15.53,15.88,15.52,15.81,754900,0.0,0
2013-10-15,15.79,15.92,15.7,15.9,1436900,0.0,0
2013-10-16,15.94,16.02,15.83,15.99,1241700,0.0,0
2013-10-17,15.93,16.0,15.84,15.99,861300,0.0,0
2013-10-18,16.09,16.11,15.97,16.05,2034100,0.0,0
2013-10-21,16.09,16.17,15.97,16.03,563900,0.0,0
2013-10-22,16.09,16.24,16.01,16.17,1578100,0.0,0
2013-10-23,16.17,16.34,16.02,16.21,1532000,0.0,0
2013-10-24,16.29,16.49,16.21,16.42,931700,0.0,0
2013-10-25,16.43,16.44,16.21,16.27,1527000,0.0,0
2013-10-28,16.26,16.43,16.14,16.38,1045000,0.0,0
2013-10-29,16.39,16.61,16.37,16.56,889500,0.0,0
2013-10-30,16.63,16.68,16.42,16.45,677500,0.0,0
2013-10-31,16.5,16.81,16.43,16.61,1810300,0.0,0
