Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-18,1.55,1.56,1.52,1.55,405200,0.0,0.0
1994-10-19,1.56,1.69,1.56,1.68,242200,0.0,0.0
1994-10-20,1.71,1.75,1.69,1.69,137200,0.0,0.0
1994-10-21,1.69,1.71,1.66,1.67,66600,0.0,0.0
1994-10-24,1.67,1.71,1.63,1.63,73400,0.0,0.0
1994-10-25,1.62,1.67,1.6,1.66,63200,0.0,0.0
1994-10-26,1.65,1.67,1.65,1.65,46200,0.075,0.0
1994-10-27,1.65,1.67,1.65,1.65,33800,0.0,0.0
1994-10-28,1.65,1.66,1.62,1.62,40000,0.0,0.0
1994-10-31,1.64,1.65,1.62,1.62,32800,0.0,0.0
1994-11-01,1.62,1.64,1.61,1.62,33000,0.0,0.0
1994-11-02,1.62,1.64,1.57,1.61,73200,0.0,0.0
1994-11-03,1.62,1.64,1.6,1.6,54800,0.0,0.0
1994-11-04,1.6,1.61,1.56,1.56,65600,0.0,0.0
1994-11-07,1.56,1.59,1.56,1.56,71200,0.0,0.0
1994-11-08,1.56,1.59,1.56,1.59,103000,0.0,0.0
1994-11-09,1.57,1.6,1.57,1.57,60000,0.0,0.0
1994-11-10,1.56,1.6,1.53,1.54,74200,0.0,0.0
1994-11-11,1.55,1.55,1.49,1.53,78400,0.0,0.0
1994-11-14,1.51,1.55,1.49,1.54,63800,0.0,0.0
1994-11-15,1.5,1.54,1.49,1.5,68200,0.0,0.0
1994-11-16,1.5,1.53,1.49,1.51,83200,0.0,0.0
1994-11-17,1.49,1.53,1.49,1.53,96400,0.0,0.0
1994-11-18,1.51,1.51,1.49,1.49,110400,0.0,0.0
1994-11-21,1.51,1.54,1.49,1.51,132600,0.0,0.0
1994-11-22,1.5,1.53,1.5,1.51,90200,0.0,0.0
1994-11-23,1.5,1.53,1.5,1.53,47000,0.0,0.0
1994-11-25,1.5,1.54,1.5,1.54,32800,0.075,0.0
1994-11-28,1.54,1.57,1.53,1.57,66400,0.0,0.0
1994-11-29,1.57,1.58,1.55,1.55,46600,0.0,0.0
1994-11-30,1.57,1.59,1.55,1.58,70400,0.0,0.0
1994-12-01,1.58,1.59,1.57,1.59,66600,0.0,0.0
1994-12-02,1.58,1.59,1.57,1.57,30600,0.0,0.0
1994-12-05,1.55,1.58,1.55,1.57,44200,0.0,0.0
1994-12-06,1.55,1.57,1.54,1.57,42000,0.0,0.0
1994-12-07,1.54,1.57,1.54,1.57,33000,0.0,0.0
1994-12-08,1.55,1.58,1.55,1.55,37400,0.0,0.0
1994-12-09,1.54,1.57,1.54,1.55,70400,0.0,0.0
1994-12-12,1.57,1.58,1.55,1.55,31000,0.0,0.0
1994-12-13,1.57,1.57,1.55,1.55,67200,0.0,0.0
1994-12-14,1.57,1.58,1.54,1.58,109400,0.0,0.0
1994-12-15,1.58,1.6,1.57,1.58,42800,0.0,0.0
1994-12-16,1.6,1.66,1.59,1.63,80800,0.0,0.0
1994-12-19,1.64,1.68,1.63,1.65,76600,0.0,0.0
1994-12-20,1.63,1.65,1.6,1.65,55800,0.0,0.0
1994-12-21,1.64,1.66,1.64,1.65,53400,0.0,0.0
1994-12-22,1.65,1.66,1.64,1.65,57600,0.0,0.0
1994-12-23,1.65,1.66,1.64,1.64,44000,0.0,0.0
1994-12-27,1.64,1.68,1.62,1.63,45600,0.075,0.0
1994-12-28,1.64,1.65,1.63,1.65,40800,0.0,0.0
1994-12-29,1.64,1.64,1.63,1.64,63200,0.0,0.0
1994-12-30,1.64,1.7,1.63,1.7,103000,0.0,0.0
1995-01-03,1.68,1.69,1.67,1.68,45800,0.0,0.0
1995-01-04,1.67,1.68,1.64,1.64,21200,0.0,0.0
1995-01-05,1.64,1.67,1.63,1.65,15600,0.0,0.0
1995-01-06,1.64,1.65,1.63,1.65,16000,0.0,0.0
1995-01-09,1.65,1.7,1.65,1.69,48000,0.0,0.0
1995-01-10,1.72,1.72,1.68,1.69,20000,0.0,0.0
1995-01-11,1.68,1.72,1.68,1.69,16200,0.0,0.0
1995-01-12,1.69,1.72,1.69,1.72,26200,0.0,0.0
