Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-10-24,1.17,1.17,1.11,1.12,21519600.0,0.0,0.0
1991-10-25,1.12,1.16,1.12,1.16,2114300.0,0.0,0.0
1991-10-28,1.14,1.24,1.14,1.24,2660900.0,0.0,0.0
1991-10-29,1.23,1.25,1.23,1.24,2511000.0,0.0,0.0
1991-10-30,1.24,1.3,1.24,1.27,2615100.0,0.0,0.0
1991-10-31,1.31,1.31,1.25,1.25,1100900.0,0.0,0.0
1991-11-01,1.25,1.27,1.23,1.24,703500.0,0.0,0.0
1991-11-04,1.24,1.26,1.22,1.22,608900.0,0.0,0.0
1991-11-05,1.25,1.25,1.22,1.24,387000.0,0.0,0.0
1991-11-06,1.23,1.24,1.22,1.24,754700.0,0.0,0.0
1991-11-07,1.24,1.24,1.22,1.24,264200.0,0.0,0.0
1991-11-08,1.22,1.24,1.22,1.22,320900.0,0.0,0.0
1991-11-11,1.22,1.25,1.22,1.23,187200.0,0.0,0.0
1991-11-12,1.26,1.26,1.23,1.25,617000.0,0.0,0.0
1991-11-13,1.23,1.25,1.23,1.24,52800.0,0.0,0.0
1991-11-14,1.26,1.26,1.23,1.26,209900.0,0.0,0.0
1991-11-15,1.23,1.27,1.23,1.23,220700.0,0.0,0.0
1991-11-18,1.23,1.24,1.2,1.2,341600.0,0.0,0.0
1991-11-19,1.22,1.22,1.02,1.07,893300.0,0.0,0.0
1991-11-20,1.07,1.16,1.07,1.13,455600.0,0.0,0.0
1991-11-21,1.17,1.21,1.13,1.21,129600.0,0.0,0.0
1991-11-22,1.21,1.22,1.19,1.19,158000.0,0.0,0.0
1991-11-25,1.19,1.21,1.17,1.17,280800.0,0.0,0.0
1991-11-26,1.17,1.17,1.16,1.17,57600.0,0.0,0.0
1991-11-27,1.16,1.17,1.13,1.13,189600.0,0.0,0.0
1991-11-29,1.12,1.17,1.12,1.12,14100.0,0.0,0.0
1991-12-02,1.17,1.18,1.13,1.18,243200.0,0.0,0.0
1991-12-03,1.13,1.13,1.13,1.13,2000.0,0.0,0.0
1991-12-04,1.17,1.21,1.13,1.21,320900.0,0.0,0.0
1991-12-05,1.21,1.21,1.19,1.19,24500.0,0.0,0.0
1991-12-06,1.17,1.21,1.17,1.2,68900.0,0.0,0.0
1991-12-09,1.17,1.21,1.17,1.18,32400.0,0.0,0.0
1991-12-10,1.19,1.24,1.19,1.21,218900.0,0.0,0.0
1991-12-11,1.2,1.24,1.2,1.21,287600.0,0.0,0.0
1991-12-12,1.21,1.24,1.21,1.21,152100.0,0.0,0.0
1991-12-13,1.21,1.23,1.2,1.23,167000.0,0.0,0.0
1991-12-16,1.23,1.23,1.2,1.21,68100.0,0.0,0.0
1991-12-17,1.21,1.24,1.21,1.22,222900.0,0.0,0.0
1991-12-18,1.22,1.23,1.21,1.21,378000.0,0.0,0.0
1991-12-19,1.21,1.21,1.2,1.21,121500.0,0.0,0.0
1991-12-20,1.24,1.24,1.2,1.2,6300.0,0.0,0.0
1991-12-23,1.2,1.24,1.2,1.21,258000.0,0.0,0.0
1991-12-24,1.21,1.3,1.21,1.26,206700.0,0.0,0.0
1991-12-26,1.3,1.3,1.27,1.3,115700.0,0.0,0.0
1991-12-27,1.3,1.33,1.29,1.32,360500.0,0.0,0.0
1991-12-30,1.31,1.38,1.29,1.38,275400.0,0.0,0.0
1991-12-31,1.44,1.47,1.41,1.43,521300.0,0.0,0.0
1992-01-02,1.43,1.43,1.37,1.41,305700.0,0.0,0.0
1992-01-03,1.39,1.43,1.39,1.43,16400.0,0.0,0.0
1992-01-06,1.41,1.45,1.41,1.41,154800.0,0.0,0.0
1992-01-07,1.41,1.5,1.41,1.47,718200.0,0.0,0.0
1992-01-08,1.5,1.5,1.47,1.47,94100.0,0.0,0.0
1992-01-09,1.51,1.51,1.47,1.47,393800.0,0.0,0.0
1992-01-10,1.47,1.48,1.46,1.46,102200.0,0.0,0.0
1992-01-13,1.47,1.49,1.44,1.45,112200.0,0.0,0.0
1992-01-14,1.41,1.46,1.41,1.46,36500.0,0.0,0.0
1992-01-15,1.41,1.43,1.4,1.43,592700.0,0.0,0.0
1992-01-16,1.4,1.43,1.35,1.36,350600.0,0.0,0.0
1992-01-17,1.36,1.36,1.34,1.34,56700.0,0.0,0.0
1992-01-20,1.32,1.36,1.32,1.36,143100.0,0.0,0.0
1992-01-21,1.34,1.36,1.34,1.34,82400.0,0.0,0.0
1992-01-22,1.36,1.36,1.36,1.36,13500.0,0.0,0.0
1992-01-23,1.38,1.4,1.38,1.4,318800.0,0.0,0.0
1992-01-24,1.41,1.47,1.38,1.44,305700.0,0.0,0.0
1992-01-27,1.47,1.47,1.43,1.43,48600.0,0.0,0.0
1992-01-28,1.41,1.45,1.41,1.45,4200.0,0.0,0.0
1992-01-29,1.41,1.41,1.41,1.41,21200.0,0.0,0.0
1992-01-30,1.41,1.41,1.41,1.41,0.0,0.0,0.0
1992-01-31,1.41,1.45,1.41,1.41,25700.0,0.0,0.0
1992-02-03,1.45,1.46,1.43,1.43,122900.0,0.0,0.0
1992-02-04,1.48,1.48,1.46,1.46,33800.0,0.0,0.0
