Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-07-06,0.0,0.26,0.25,0.26,3750600,0.0,0.0
1988-07-07,0.0,0.26,0.25,0.26,2330300,0.0,0.0
1988-07-08,0.0,0.27,0.26,0.27,1597800,0.0,0.0
1988-07-11,0.0,0.28,0.26,0.28,941200,0.0,0.0
1988-07-12,0.0,0.28,0.27,0.28,895800,0.0,0.0
1988-07-13,0.0,0.28,0.28,0.28,1342700,0.0,0.0
1988-07-14,0.0,0.28,0.28,0.28,809100,0.0,0.0
1988-07-15,0.0,0.28,0.28,0.28,272100,0.0,0.0
1988-07-18,0.0,0.28,0.28,0.28,294800,0.0,0.0
1988-07-19,0.0,0.29,0.28,0.28,508600,0.0,0.0
1988-07-20,0.0,0.29,0.28,0.29,453800,0.0,0.0
1988-07-21,0.0,0.29,0.28,0.28,270400,0.0,0.0
1988-07-22,0.0,0.28,0.28,0.28,403800,0.0,0.0
1988-07-25,0.0,0.28,0.28,0.28,1023300,0.0,0.0
1988-07-26,0.0,0.28,0.28,0.28,192700,0.0,0.0
1988-07-27,0.0,0.28,0.28,0.28,133500,0.0,0.0
1988-07-28,0.0,0.28,0.28,0.28,91900,0.0,0.0
1988-07-29,0.0,0.28,0.28,0.28,113400,0.0,0.0
1988-08-01,0.0,0.28,0.28,0.28,102000,0.0,0.0
1988-08-02,0.0,0.28,0.28,0.28,336400,0.0,0.0
1988-08-03,0.0,0.28,0.28,0.28,94700,0.0,0.0
1988-08-04,0.0,0.28,0.28,0.28,381700,0.0,0.0
1988-08-05,0.0,0.28,0.28,0.28,505800,0.0,0.0
1988-08-08,0.0,0.29,0.28,0.28,157000,0.0,0.0
1988-08-09,0.0,0.28,0.28,0.28,201600,0.0,0.0
1988-08-10,0.0,0.28,0.27,0.28,88200,0.0,0.0
1988-08-11,0.0,0.28,0.27,0.28,138800,0.0,0.0
1988-08-12,0.0,0.28,0.27,0.27,156200,0.0,0.0
1988-08-15,0.0,0.28,0.28,0.28,17000,0.0,0.0
1988-08-16,0.0,0.28,0.27,0.27,45500,0.0,0.0
