Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-12-17,8.76,10.29,8.76,10.18,15815400,0.0,0.0
1991-12-18,10.07,10.18,9.96,10.07,2662600,0.0,0.0
1991-12-19,9.96,10.07,9.75,9.85,1017600,0.0,0.0
1991-12-20,10.07,10.18,9.85,10.07,513800,0.0,0.0
1991-12-23,9.96,10.4,9.96,10.4,493200,0.0,0.0
1991-12-24,10.4,10.62,10.18,10.51,492400,0.0,0.0
1991-12-26,10.4,12.04,10.4,11.83,582600,0.0,0.0
1991-12-27,11.83,11.94,11.28,11.83,720800,0.0,0.0
1991-12-30,11.72,13.47,11.72,12.48,1435000,0.0,0.0
1991-12-31,12.7,13.03,12.48,13.03,440800,0.0,0.0
1992-01-02,12.7,12.92,12.15,12.48,1389600,0.0,0.0
1992-01-03,12.48,13.36,12.48,13.25,353800,0.0,0.0
1992-01-06,13.25,13.58,13.03,13.58,442800,0.0,0.0
1992-01-07,13.47,13.47,13.03,13.14,666200,0.0,0.0
1992-01-08,12.92,13.47,12.81,13.14,975000,0.0,0.0
1992-01-09,13.25,13.25,12.7,12.7,376800,0.0,0.0
1992-01-10,12.92,13.03,12.7,13.03,426600,0.0,0.0
1992-01-13,13.14,13.36,12.81,13.36,62600,0.0,0.0
1992-01-14,13.36,13.41,13.03,13.25,56800,0.0,0.0
1992-01-15,13.14,13.36,13.03,13.14,251600,0.0,0.0
1992-01-16,13.03,13.25,12.59,12.92,801000,0.0,0.0
1992-01-17,12.7,12.81,12.48,12.59,288400,0.0,0.0
1992-01-20,12.59,12.81,11.94,11.94,242800,0.0,0.0
1992-01-21,11.83,11.94,10.62,11.83,823200,0.0,0.0
1992-01-22,11.72,12.15,11.72,12.04,171400,0.0,0.0
1992-01-23,12.48,13.03,12.26,12.92,578800,0.0,0.0
1992-01-24,13.14,13.69,12.81,13.58,591600,0.0,0.0
1992-01-27,13.47,13.8,13.47,13.58,484800,0.0,0.0
1992-01-28,13.8,13.8,13.47,13.69,556200,0.0,0.0
1992-01-29,13.8,14.23,13.69,13.91,410000,0.0,0.0
1992-01-30,13.69,14.02,13.69,13.96,195000,0.0,0.0
1992-01-31,13.8,14.23,13.8,14.02,194600,0.0,0.0
1992-02-03,14.02,14.23,14.02,14.23,70600,0.0,0.0
1992-02-04,14.23,14.56,14.02,14.34,494600,0.0,0.0
1992-02-05,14.34,14.45,14.23,14.23,196400,0.0,0.0
1992-02-06,14.23,14.45,14.23,14.45,524000,0.0,0.0
1992-02-07,14.45,14.56,14.23,14.56,183600,0.0,0.0
1992-02-10,14.56,14.78,14.34,14.78,125000,0.0,0.0
1992-02-11,14.78,15.0,14.02,14.56,517400,0.0,0.0
