Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-13,18.37,18.94,18.3,18.49,49466000,0.0,0
2001-12-14,18.87,19.0,18.63,18.73,9676300,0.0,0
2001-12-17,18.9,18.9,18.56,18.59,5110900,0.0,0
2001-12-18,18.62,18.9,18.55,18.9,5167700,0.0,0
2001-12-19,18.84,19.06,18.7,19.03,3693200,0.0,0
2001-12-20,19.09,19.55,19.01,19.04,3914200,0.0,0
2001-12-21,19.19,19.56,19.09,19.56,3429100,0.0,0
2001-12-24,19.41,19.88,19.41,19.85,976900,0.0,0
2001-12-26,19.88,20.67,19.88,20.32,2456300,0.0,0
2001-12-27,20.32,20.81,19.9,20.73,4447500,0.0,0
2001-12-28,20.74,20.89,20.56,20.79,4174800,0.0,0
2001-12-31,20.9,21.3,20.65,20.95,5532800,0.0,0
2002-01-02,20.58,20.7,19.64,19.76,5168900,0.0,0
2002-01-03,19.76,20.67,19.45,19.72,2906500,0.0,0
2002-01-04,19.69,20.2,19.63,20.17,3086000,0.0,0
2002-01-07,20.04,20.23,19.8,20.17,2449300,0.0,0
2002-01-08,19.72,20.1,19.72,20.06,1766500,0.0,0
2002-01-09,20.17,20.17,19.72,19.76,1639100,0.0,0
2002-01-10,19.64,20.0,19.57,19.57,1689400,0.0,0
2002-01-11,19.57,19.66,19.41,19.5,1966200,0.0,0
2002-01-14,19.41,19.41,18.64,18.97,3160000,0.0,0
2002-01-15,19.19,19.64,18.89,19.43,1962400,0.0,0
2002-01-16,19.3,19.66,19.22,19.37,1881100,0.0,0
2002-01-17,19.49,19.57,19.13,19.26,1739800,0.0,0
2002-01-18,19.19,19.22,18.78,19.09,1531400,0.0,0
2002-01-22,19.25,19.72,19.19,19.72,2322700,0.0,0
2002-01-23,19.98,20.01,19.26,19.26,2460800,0.0,0
2002-01-24,19.31,19.36,18.94,19.09,3064100,0.0,0
2002-01-25,18.94,19.25,18.87,19.21,2373600,0.0,0
2002-01-28,19.35,19.59,19.28,19.52,2450800,0.0,0
2002-01-29,18.94,19.5,18.94,19.18,2512800,0.0,0
2002-01-30,19.25,19.3,18.81,19.03,3533700,0.0,0
2002-01-31,19.24,19.68,19.14,19.6,3986900,0.0,0
2002-02-01,19.54,19.54,19.19,19.31,3200100,0.0,0
2002-02-04,19.31,19.55,19.25,19.49,3193400,0.0,0
2002-02-05,19.47,19.95,19.42,19.6,2397200,0.0,0
2002-02-06,19.69,19.69,19.5,19.66,2107700,0.0,0
2002-02-07,19.54,19.6,19.26,19.33,1801500,0.0,0
2002-02-08,19.3,19.59,19.28,19.59,1399300,0.0,0
2002-02-11,19.38,20.13,19.36,20.05,1904300,0.0,0
2002-02-12,19.83,20.1,19.72,19.88,2038700,0.0,0
2002-02-13,19.69,20.34,19.48,20.26,3779900,0.0,0
2002-02-14,20.23,20.37,20.14,20.22,2200800,0.0,0
2002-02-15,20.09,20.15,19.59,19.88,1649600,0.0,0
2002-02-19,19.57,19.63,18.94,19.1,2983900,0.0,0
2002-02-20,19.25,19.4,19.0,19.35,2283100,0.0,0
2002-02-21,19.22,19.48,19.22,19.47,1929100,0.0,0
2002-02-22,19.28,19.35,18.94,19.09,1655900,0.0,0
2002-02-25,19.09,19.14,18.98,19.11,2355800,0.0,0
2002-02-26,19.18,19.37,19.14,19.25,2309100,0.0,0
2002-02-27,19.31,19.32,19.13,19.16,2937000,0.0,0
2002-02-28,19.16,19.41,19.16,19.3,2012600,0.0,0
2002-03-01,19.37,19.5,19.19,19.47,2189500,0.0,0
2002-03-04,19.49,19.87,19.38,19.38,2321500,0.0,0
2002-03-05,19.38,19.88,19.19,19.84,3350200,0.0,0
2002-03-06,19.57,19.82,19.57,19.82,1593000,0.0,0
2002-03-07,19.69,19.99,19.63,19.93,2412800,0.0,0
2002-03-08,20.1,20.24,19.85,20.04,2561600,0.0,0
2002-03-11,20.1,20.14,19.69,19.79,2237500,0.0,0
2002-03-12,19.57,19.79,19.37,19.5,2054000,0.0,0
2002-03-13,19.33,19.5,19.31,19.33,2077400,0.0,0
2002-03-14,19.38,19.57,19.38,19.55,2493400,0.0,0
2002-03-15,19.37,19.81,19.37,19.63,3211200,0.0,0
2002-03-18,19.91,19.95,19.54,19.81,2275600,0.0,0
2002-03-19,19.76,20.06,19.75,19.82,2259500,0.0,0
2002-03-20,19.72,19.88,19.71,19.79,2410100,0.0,0
2002-03-21,19.67,19.78,19.56,19.72,2524800,0.0,0
2002-03-22,19.47,19.76,19.46,19.72,1674300,0.0,0
2002-03-25,19.69,19.85,19.66,19.7,930200,0.0,0
2002-03-26,19.6,19.87,19.6,19.84,1693800,0.0,0
2002-03-27,19.72,19.88,19.71,19.8,1764400,0.0,0
2002-03-28,19.8,19.81,19.54,19.6,2681600,0.0,0
2002-04-01,19.66,19.76,19.52,19.6,1553000,0.0,0
2002-04-02,19.57,19.82,19.56,19.79,1753400,0.0,0
2002-04-03,19.74,19.88,19.72,19.79,1495100,0.0,0
2002-04-04,19.79,20.11,19.74,20.1,2076000,0.0,0
2002-04-05,20.17,20.64,20.1,20.39,4725700,0.0,0
2002-04-08,20.39,20.8,20.32,20.65,3018900,0.0,0
2002-04-09,20.81,20.9,20.69,20.83,2337500,0.0,0
2002-04-10,20.73,20.96,20.56,20.7,1632600,0.0,0
2002-04-11,20.7,20.82,20.55,20.58,1634600,0.0,0
2002-04-12,20.51,20.84,20.51,20.52,1411400,0.0,0
2002-04-15,20.58,20.64,20.23,20.24,1747700,0.0,0
2002-04-16,20.42,20.58,20.29,20.58,2570900,0.0,0
2002-04-17,20.51,20.58,20.32,20.34,941600,0.0,0
2002-04-18,20.39,20.43,19.98,20.1,1454600,0.0,0
