Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-04-28,5.68,5.84,5.61,5.68,7821000.0,0.0,0.0
1993-04-29,5.68,5.8,5.68,5.8,2118800.0,0.0,0.0
1993-04-30,5.84,5.84,5.68,5.72,536800.0,0.0,0.0
1993-05-03,5.68,5.72,5.65,5.72,509600.0,0.0,0.0
1993-05-04,5.72,5.72,5.57,5.65,787400.0,0.0,0.0
1993-05-05,5.61,5.65,5.53,5.53,747200.0,0.0,0.0
1993-05-06,5.57,5.61,5.49,5.49,392800.0,0.0,0.0
1993-05-07,5.53,5.57,5.49,5.53,180000.0,0.0,0.0
1993-05-10,5.57,5.65,5.53,5.53,269600.0,0.0,0.0
1993-05-11,5.57,5.57,5.53,5.57,109400.0,0.0,0.0
1993-05-12,5.53,5.53,5.41,5.49,110800.0,0.0,0.0
1993-05-13,5.49,5.49,5.45,5.45,171000.0,0.0,0.0
1993-05-14,5.45,5.53,5.45,5.45,166800.0,0.0,0.0
1993-05-17,5.45,5.45,5.33,5.37,132000.0,0.0,0.0
1993-05-18,5.37,5.37,4.98,5.14,534400.0,0.0,0.0
1993-05-19,5.22,5.33,5.22,5.26,203600.0,0.0,0.0
1993-05-20,5.18,5.22,4.94,5.06,1189000.0,0.0,0.0
1993-05-21,5.1,5.14,4.98,5.1,475600.0,0.0,0.0
1993-05-24,5.14,5.14,4.98,5.06,719200.0,0.0,0.0
1993-05-25,4.98,5.02,4.87,4.94,326600.0,0.0,0.0
1993-05-26,4.98,5.18,4.98,5.14,209200.0,0.0,0.0
1993-05-27,5.22,5.33,5.14,5.3,307800.0,0.0,0.0
1993-05-28,5.37,5.49,5.26,5.41,986400.0,0.0,0.0
1993-06-01,5.45,5.45,5.26,5.3,116800.0,0.0,0.0
1993-06-02,5.3,5.41,5.26,5.41,205200.0,0.0,0.0
1993-06-03,5.41,5.41,5.3,5.3,92000.0,0.0,0.0
1993-06-04,5.33,5.37,5.3,5.33,118200.0,0.0,0.0
1993-06-07,5.3,5.41,5.3,5.37,60000.0,0.0,0.0
1993-06-08,5.37,5.37,5.3,5.33,298200.0,0.0,0.0
1993-06-09,5.33,5.33,5.26,5.26,27400.0,0.0,0.0
