Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.09,0.09,0.09,360000,0.0,0.0
1980-03-18,0.0,0.09,0.08,0.08,1944000,0.0,0.0
1980-03-19,0.0,0.09,0.08,0.08,1756800,0.0,0.0
1980-03-20,0.0,0.09,0.08,0.08,1324800,0.0,0.0
1980-03-21,0.0,0.09,0.08,0.08,1872000,0.0,0.0
1980-03-24,0.0,0.09,0.08,0.08,86400,0.0,0.0
1980-03-25,0.0,0.09,0.08,0.08,446400,0.0,0.0
1980-03-26,0.0,0.09,0.08,0.08,388800,0.0,0.0
1980-03-27,0.0,0.08,0.08,0.08,648000,0.0,0.0
1980-03-28,0.0,0.08,0.08,0.08,100800,0.0,0.0
1980-03-31,0.0,0.08,0.08,0.08,28800,0.0,0.0
1980-04-01,0.0,0.08,0.08,0.08,979200,0.0,0.0
1980-04-02,0.0,0.08,0.07,0.07,504000,0.0,0.0
1980-04-03,0.0,0.08,0.07,0.07,489600,0.0,0.0
1980-04-07,0.0,0.07,0.07,0.07,259200,0.0,0.0
1980-04-08,0.0,0.08,0.07,0.07,633600,0.0,0.0
1980-04-09,0.0,0.08,0.07,0.07,1411200,0.0,0.0
1980-04-10,0.0,0.08,0.07,0.07,57600,0.0,0.0
1980-04-11,0.0,0.08,0.08,0.08,2131200,0.0,0.0
1980-04-14,0.0,0.08,0.07,0.07,28800,0.0,0.0
1980-04-15,0.0,0.08,0.07,0.07,129600,0.0,0.0
1980-04-16,0.0,0.08,0.07,0.07,230400,0.0,0.0
1980-04-17,0.0,0.08,0.08,0.08,28800,0.0,0.0
1980-04-18,0.0,0.08,0.08,0.08,57600,0.0,0.0
1980-04-21,0.0,0.08,0.08,0.08,302400,0.0,0.0
1980-04-22,0.0,0.08,0.08,0.08,86400,0.0,0.0
1980-04-23,0.0,0.08,0.08,0.08,489600,0.0,0.0
1980-04-24,0.0,0.08,0.08,0.08,403200,0.0,0.0
1980-04-25,0.0,0.08,0.08,0.08,172800,0.0,0.0
1980-04-28,0.0,0.08,0.08,0.08,1713600,0.0,0.0
1980-04-29,0.0,0.09,0.08,0.08,273600,0.0,0.0
1980-04-30,0.0,0.09,0.08,0.08,561600,0.0,0.0
1980-05-01,0.0,0.09,0.08,0.08,158400,0.0,0.0
1980-05-02,0.0,0.09,0.08,0.08,230400,0.0,0.0
1980-05-05,0.0,0.09,0.08,0.08,129600,0.0,0.0
1980-05-06,0.0,0.08,0.08,0.08,144000,0.0,0.0
1980-05-07,0.0,0.08,0.08,0.08,28800,0.0,0.0
1980-05-08,0.0,0.08,0.08,0.08,43200,0.0,0.0
1980-05-09,0.0,0.08,0.08,0.08,28800,0.0,0.0
1980-05-12,0.0,0.08,0.08,0.08,57600,0.0,0.0
1980-05-13,0.0,0.08,0.08,0.08,57600,0.0,0.0
1980-05-14,0.0,0.08,0.08,0.08,504000,0.0,0.0
1980-05-15,0.0,0.08,0.08,0.08,691200,0.0,0.0
1980-05-16,0.0,0.09,0.08,0.08,892800,0.0,0.0
1980-05-19,0.0,0.09,0.08,0.08,518400,0.0,0.0
1980-05-20,0.0,0.08,0.08,0.08,403200,0.0,0.0
1980-05-21,0.0,0.08,0.08,0.08,561600,0.0,0.0
1980-05-22,0.0,0.08,0.08,0.08,100800,0.0,0.0
1980-05-23,0.0,0.09,0.08,0.08,316800,0.0,0.0
1980-05-27,0.0,0.09,0.08,0.08,417600,0.0,0.0
1980-05-28,0.08,0.08,0.08,0.08,0,0.0,0.0
1980-05-29,0.0,0.09,0.08,0.08,201600,0.0,0.0
1980-05-30,0.0,0.09,0.08,0.08,28800,0.0,0.0
1980-06-02,0.0,0.08,0.08,0.08,28800,0.0,0.0
1980-06-03,0.0,0.08,0.08,0.08,187200,0.0,0.0
1980-06-04,0.0,0.08,0.08,0.08,172800,0.0,0.0
1980-06-05,0.0,0.08,0.08,0.08,244800,0.0,0.0
1980-06-06,0.0,0.08,0.08,0.08,158400,0.0,0.0
1980-06-09,0.0,0.08,0.08,0.08,273600,0.0,0.0
1980-06-10,0.0,0.08,0.08,0.08,230400,0.0,0.0
1980-06-11,0.0,0.08,0.08,0.08,331200,0.0,0.0
1980-06-12,0.0,0.09,0.08,0.08,144000,0.0,0.0
1980-06-13,0.0,0.09,0.08,0.08,57600,0.0,0.0
1980-06-16,0.0,0.08,0.08,0.08,86400,0.0,0.0
1980-06-17,0.0,0.08,0.08,0.08,115200,0.0,0.0
1980-06-18,0.0,0.08,0.08,0.08,302400,0.0,0.0
1980-06-19,0.0,0.08,0.08,0.08,403200,0.0,0.0
1980-06-20,0.0,0.08,0.08,0.08,43200,0.0,0.0
1980-06-23,0.0,0.08,0.08,0.08,244800,0.0,0.0
1980-06-24,0.0,0.08,0.08,0.08,331200,0.0,0.0
1980-06-25,0.0,0.09,0.08,0.08,86400,0.0,0.0
1980-06-26,0.0,0.09,0.08,0.08,115200,0.0,0.0
1980-06-27,0.0,0.09,0.08,0.08,158400,0.0,0.0
1980-06-30,0.0,0.08,0.08,0.08,792000,0.0,0.0
1980-07-01,0.0,0.08,0.08,0.08,216000,0.0,0.0
1980-07-02,0.0,0.08,0.08,0.08,28800,0.0,0.0
1980-07-03,0.0,0.08,0.08,0.08,504000,0.0,0.0
1980-07-07,0.0,0.08,0.08,0.08,28800,0.0,0.0
