Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-07-01,0.0,0.46,0.45,0.45,2399500,0.0,0.0
1983-07-05,0.0,0.44,0.43,0.43,1357600,0.0,0.0
1983-07-06,0.0,0.46,0.44,0.44,513100,0.0,0.0
1983-07-07,0.0,0.44,0.43,0.43,560200,0.0,0.0
1983-07-08,0.0,0.44,0.42,0.42,171400,0.0,0.0
1983-07-11,0.0,0.44,0.42,0.42,125700,0.0,0.0
1983-07-12,0.0,0.43,0.42,0.42,200700,0.0,0.0
1983-07-13,0.0,0.43,0.41,0.41,166900,0.0,0.0
1983-07-14,0.0,0.41,0.41,0.41,71100,0.0,0.0
1983-07-15,0.0,0.4,0.38,0.38,259300,0.0,0.0
1983-07-18,0.0,0.39,0.38,0.38,105300,0.0,0.0
1983-07-19,0.0,0.39,0.38,0.38,221500,0.0,0.0
1983-07-20,0.0,0.4,0.38,0.38,273600,0.0,0.0
1983-07-21,0.0,0.4,0.38,0.38,197700,0.0,0.0
1983-07-22,0.0,0.42,0.4,0.4,145900,0.0,0.0
1983-07-25,0.0,0.43,0.41,0.41,116700,0.0,0.0
1983-07-26,0.0,0.44,0.43,0.43,259300,0.0,0.0
1983-07-27,0.0,0.44,0.42,0.42,249000,0.0,0.0
1983-07-28,0.42,0.42,0.42,0.42,0,0.0,0.0
1983-07-29,0.0,0.43,0.41,0.41,96000,0.0,0.0
1983-08-01,0.0,0.43,0.42,0.42,141000,0.0,0.0
1983-08-02,0.0,0.44,0.42,0.42,33700,0.0,0.0
1983-08-03,0.0,0.43,0.42,0.42,75700,0.0,0.0
1983-08-04,0.0,0.43,0.41,0.41,65700,0.0,0.0
1983-08-05,0.0,0.43,0.41,0.41,14100,0.0,0.0
1983-08-08,0.0,0.43,0.41,0.41,33700,0.0,0.0
1983-08-09,0.0,0.42,0.41,0.41,13500,0.0,0.0
1983-08-10,0.0,0.42,0.41,0.41,16300,0.0,0.0
1983-08-11,0.0,0.42,0.41,0.41,45400,0.0,0.0
1983-08-12,0.0,0.41,0.4,0.4,182200,0.0,0.0
1983-08-15,0.0,0.41,0.39,0.39,27600,0.0,0.0
1983-08-16,0.0,0.4,0.38,0.38,21100,0.0,0.0
1983-08-17,0.0,0.4,0.38,0.38,20200,0.0,0.0
1983-08-18,0.0,0.39,0.38,0.38,27600,0.0,0.0
1983-08-19,0.0,0.39,0.38,0.38,10900,0.0,0.0
1983-08-22,0.0,0.38,0.37,0.37,54900,0.0,0.0
1983-08-23,0.0,0.38,0.37,0.37,89200,0.0,0.0
1983-08-24,0.0,0.38,0.37,0.37,27100,0.0,0.0
1983-08-25,0.0,0.38,0.37,0.37,75700,0.0,0.0
1983-08-26,0.0,0.38,0.37,0.37,38400,0.0,0.0
1983-08-29,0.0,0.38,0.36,0.36,43800,0.0,0.0
1983-08-30,0.0,0.37,0.35,0.35,27600,0.0,0.0
1983-08-31,0.0,0.37,0.35,0.35,14100,0.0,0.0
1983-09-01,0.0,0.37,0.35,0.35,21100,0.0,0.0
1983-09-02,0.0,0.37,0.35,0.35,23100,0.0,0.0
1983-09-06,0.0,0.37,0.35,0.35,14100,0.0,0.0
1983-09-07,0.0,0.36,0.35,0.35,60900,0.0,0.0
1983-09-08,0.0,0.36,0.35,0.35,33700,0.0,0.0
1983-09-09,0.0,0.36,0.35,0.35,7300,0.0,0.0
1983-09-12,0.0,0.36,0.35,0.35,40600,0.0,0.0
1983-09-13,0.0,0.35,0.35,0.35,58900,0.0,0.0
1983-09-14,0.0,0.35,0.35,0.35,45400,0.0,0.0
1983-09-15,0.0,0.35,0.35,0.35,50500,0.0,0.0
1983-09-16,0.0,0.35,0.35,0.35,13500,0.0,0.0
1983-09-19,0.0,0.35,0.35,0.35,13500,0.0,0.0
1983-09-20,0.0,0.35,0.35,0.35,10900,0.0,0.0
1983-09-21,0.0,0.35,0.35,0.35,77800,0.0,0.0
1983-09-22,0.0,0.35,0.34,0.34,36600,0.0,0.0
1983-09-23,0.0,0.35,0.34,0.34,16300,0.0,0.0
