Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-06-12,26.64,27.37,25.61,26.13,19963800,0.0,0
1997-06-13,26.33,27.27,26.33,26.85,3661100,0.0,0
1997-06-16,26.75,26.95,25.4,25.61,2481700,0.0,0
1997-06-17,24.98,25.09,24.16,24.67,2283800,0.0,0
1997-06-18,24.67,24.67,23.33,23.53,1749900,0.0,0
1997-06-19,23.64,24.57,23.43,24.36,1269900,0.0,0
1997-06-20,24.47,25.09,24.36,24.47,859100,0.0,0
1997-06-23,24.78,24.78,23.33,23.43,725000,0.0,0
1997-06-24,23.64,24.57,22.5,23.95,1212100,0.0,0
1997-06-25,24.16,24.16,23.33,23.79,726600,0.0,0
1997-06-26,23.33,23.64,22.91,23.43,534500,0.0,0
1997-06-27,23.33,23.53,22.55,22.6,441500,0.0,0
1997-06-30,22.5,22.91,21.77,22.7,796900,0.0,0
1997-07-01,22.6,22.65,21.98,22.34,621300,0.0,0
1997-07-02,22.34,23.17,22.08,23.07,818700,0.0,0
1997-07-03,22.86,23.38,22.19,23.27,696800,0.0,0
1997-07-07,23.64,23.74,22.39,22.5,1180500,0.0,0
1997-07-08,22.6,22.96,22.5,22.96,595000,0.0,0
1997-07-09,22.96,22.96,21.87,22.08,958000,0.0,0
1997-07-10,21.77,21.82,20.84,21.15,1069200,0.0,0
1997-07-11,21.25,21.67,21.05,21.51,674600,0.0,0
1997-07-14,21.72,21.77,21.1,21.3,471200,0.0,0
1997-07-15,20.99,21.2,20.73,21.1,513000,0.0,0
1997-07-16,21.2,21.2,19.7,19.75,899600,0.0,0
1997-07-17,19.91,21.77,19.85,21.62,1286200,0.0,0
1997-07-18,21.67,21.98,20.99,21.46,346200,0.0,0
1997-07-21,21.41,21.41,20.73,20.99,216600,0.0,0
1997-07-22,20.84,21.46,20.84,21.25,351200,0.0,0
1997-07-23,21.25,21.67,20.73,20.73,507100,0.0,0
1997-07-24,20.73,21.36,20.11,20.42,412800,0.0,0
1997-07-25,20.63,20.73,20.06,20.42,253000,0.0,0
1997-07-28,20.63,21.1,20.22,20.94,953700,0.0,0
1997-07-29,21.15,22.13,21.15,22.13,1028100,0.0,0
1997-07-30,22.24,23.17,22.13,23.02,801700,0.0,0
1997-07-31,23.12,23.22,22.13,22.24,458400,0.0,0
1997-08-01,21.82,22.39,21.77,22.08,250100,0.0,0
1997-08-04,21.87,23.12,21.77,22.91,629700,0.0,0
1997-08-05,23.33,23.59,21.98,22.44,1157400,0.0,0
1997-08-06,22.44,22.5,21.77,21.98,350500,0.0,0
1997-08-07,21.98,22.13,21.36,21.36,456200,0.0,0
1997-08-08,21.15,21.3,20.53,20.94,576100,0.0,0
1997-08-11,21.05,21.05,20.32,20.53,370400,0.0,0
1997-08-12,20.73,21.1,20.16,20.16,910300,0.0,0
1997-08-13,20.32,20.89,19.75,20.22,416500,0.0,0
1997-08-14,20.42,20.53,19.85,19.91,309000,0.0,0
1997-08-15,19.91,19.91,18.97,19.13,1385300,0.0,0
1997-08-18,19.54,19.65,19.02,19.49,551500,0.0,0
1997-08-19,19.39,20.11,19.39,20.11,380800,0.0,0
1997-08-20,20.63,21.25,20.48,21.25,621500,0.0,0
1997-08-21,21.05,21.2,20.32,20.53,479600,0.0,0
1997-08-22,20.01,20.42,19.91,20.32,408100,0.0,0
1997-08-25,20.73,20.79,20.06,20.16,230200,0.0,0
1997-08-26,20.11,20.68,20.01,20.48,296300,0.0,0
1997-08-27,20.68,20.73,20.11,20.32,619500,0.0,0
1997-08-28,20.32,21.05,20.22,20.99,492400,0.0,0
1997-08-29,20.99,22.29,20.94,21.77,686100,0.0,0
