Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-07-01,11.39,11.58,11.25,11.5,20818600,0.0,0.0
1998-07-02,11.53,11.61,11.5,11.58,3037200,0.0,0.0
1998-07-06,11.58,11.72,11.5,11.67,1737700,0.0,0.0
1998-07-07,11.72,11.72,11.5,11.5,1077000,0.0,0.0
1998-07-08,11.56,11.61,11.5,11.58,1180500,0.0,0.0
1998-07-09,11.56,11.7,11.5,11.67,1443900,0.0,0.0
1998-07-10,11.72,11.92,11.64,11.64,1117300,0.0,0.0
1998-07-13,11.61,11.64,11.5,11.61,790800,0.0,0.0
1998-07-14,11.61,11.67,11.53,11.53,1276300,0.0,0.0
1998-07-15,11.5,11.72,11.5,11.72,863400,0.0,0.0
1998-07-16,11.61,11.7,11.5,11.58,1084500,0.0,0.0
1998-07-17,11.5,11.78,11.44,11.72,1201600,0.0,0.0
1998-07-20,11.72,12.34,11.72,12.34,995500,0.0,0.0
1998-07-21,12.34,12.37,11.84,11.98,784600,0.0,0.0
1998-07-22,11.84,11.95,11.47,11.56,1497900,0.0,0.0
1998-07-23,11.61,11.64,11.16,11.5,1248300,0.0,0.0
1998-07-24,11.61,11.75,11.56,11.72,1009800,0.0,0.0
1998-07-27,11.72,11.87,11.61,11.67,843600,0.0,0.0
1998-07-28,11.7,11.75,11.27,11.27,2081800,0.0,0.0
1998-07-29,11.27,11.39,11.05,11.1,1331400,0.0,0.0
1998-07-30,11.19,11.27,11.05,11.27,1982400,0.0,0.0
1998-07-31,11.27,11.56,11.22,11.27,1093600,0.0,0.0
1998-08-03,11.27,11.27,10.96,10.99,1009000,0.0,0.0
1998-08-04,10.96,10.96,10.32,10.37,1245900,0.0,0.0
1998-08-05,10.26,10.43,9.89,9.89,654100,0.0,0.0
1998-08-06,9.95,10.01,9.86,9.86,589200,0.0,0.0
1998-08-07,9.92,10.2,9.86,9.98,1100200,0.0,0.0
1998-08-10,9.98,10.79,9.92,10.43,321700,0.0,0.0
1998-08-11,10.26,10.26,9.92,9.92,334000,0.0,0.0
1998-08-12,10.26,10.26,9.89,9.92,513600,0.0,0.0
