Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-10-26,0.0,0.99,0.89,0.89,5600,0.0,0.0
1987-10-27,0.0,0.99,0.89,0.89,19200,0.0,0.0
1987-10-28,0.89,0.89,0.89,0.89,0,0.0,0.0
1987-10-29,0.0,0.99,0.89,0.89,12000,0.0,0.0
1987-10-30,0.0,0.99,0.89,0.89,17600,0.0,0.0
1987-11-02,0.0,0.91,0.85,0.85,8000,0.0,0.0
1987-11-03,0.0,0.91,0.85,0.85,5600,0.0,0.0
1987-11-04,0.0,0.89,0.83,0.83,2400,0.0,0.0
1987-11-05,0.0,0.89,0.83,0.83,2400,0.0,0.0
1987-11-06,0.83,0.83,0.83,0.83,0,0.0,0.0
1987-11-09,0.0,0.87,0.81,0.81,5600,0.0,0.0
1987-11-10,0.0,0.87,0.81,0.81,3200,0.0,0.0
1987-11-11,0.81,0.81,0.81,0.81,0,0.0,0.0
1987-11-12,0.0,0.87,0.81,0.81,800,0.0,0.0
1987-11-13,0.0,0.87,0.81,0.81,3200,0.0,0.0
1987-11-16,0.0,0.87,0.81,0.81,5600,0.0,0.0
1987-11-17,0.81,0.81,0.81,0.81,0,0.0,0.0
1987-11-18,0.81,0.81,0.81,0.81,0,0.0,0.0
1987-11-19,0.0,0.81,0.81,0.81,20000,0.0,0.0
1987-11-20,0.0,0.81,0.81,0.81,3200,0.0,0.0
1987-11-23,0.0,0.86,0.85,0.86,17600,0.0,0.0
1987-11-25,0.0,0.81,0.81,0.81,12000,0.0,0.0
1987-11-27,0.81,0.81,0.81,0.81,0,0.0,0.0
1987-11-30,0.81,0.81,0.81,0.81,0,0.0,0.0
1987-12-01,0.0,0.87,0.87,0.87,800,0.0,0.0
1987-12-02,0.0,0.81,0.81,0.81,12800,0.0,0.0
1987-12-03,0.81,0.81,0.81,0.81,0,0.0,0.0
1987-12-04,0.81,0.81,0.81,0.81,0,0.0,0.0
1987-12-07,0.0,0.85,0.85,0.85,12800,0.0,0.0
1987-12-08,0.85,0.85,0.85,0.85,0,0.0,0.0
1987-12-09,0.0,0.87,0.85,0.85,12000,0.0,0.0
1987-12-10,0.85,0.85,0.85,0.85,0,0.0,0.0
1987-12-11,0.85,0.85,0.85,0.85,0,0.0,0.0
1987-12-14,0.0,0.84,0.81,0.84,31200,0.0,0.0
1987-12-15,0.84,0.84,0.84,0.84,0,0.0,0.0
1987-12-16,0.0,0.85,0.83,0.85,99200,0.0,0.0
1987-12-17,0.0,0.86,0.86,0.86,3200,0.0,0.0
1987-12-18,0.86,0.86,0.86,0.86,0,0.0,0.0
1987-12-21,0.0,0.88,0.83,0.88,36800,0.0,0.0
1987-12-22,0.0,0.88,0.88,0.88,12000,0.0,0.0
1987-12-23,0.0,0.87,0.83,0.87,14400,0.0,0.0
1987-12-24,0.87,0.87,0.87,0.87,0,0.0,0.0
1987-12-28,0.87,0.87,0.87,0.87,0,0.0,0.0
1987-12-29,0.87,0.87,0.87,0.87,0,0.0,0.0
1987-12-30,0.87,0.87,0.87,0.87,0,0.0,0.0
1987-12-31,0.0,0.88,0.88,0.88,3200,0.0,0.0
1988-01-04,0.88,0.88,0.88,0.88,0,0.0,0.0
1988-01-05,0.88,0.88,0.88,0.88,0,0.0,0.0
1988-01-06,0.0,0.89,0.85,0.89,36000,0.0,0.0
1988-01-07,0.0,0.89,0.85,0.89,26400,0.0,0.0
1988-01-08,0.0,0.99,0.97,0.99,8000,0.0,0.0
1988-01-11,0.0,0.97,0.97,0.97,800,0.0,0.0
1988-01-12,0.0,0.95,0.89,0.95,12000,0.0,0.0
1988-01-13,0.95,0.95,0.95,0.95,0,0.0,0.0
1988-01-14,0.0,0.95,0.87,0.95,28800,0.0,0.0
1988-01-15,0.95,0.95,0.95,0.95,0,0.0,0.0
1988-01-18,0.95,0.95,0.95,0.95,0,0.0,0.0
1988-01-19,0.95,0.95,0.95,0.95,0,0.0,0.0
1988-01-20,0.0,0.95,0.95,0.95,5600,0.0,0.0
1988-01-21,0.0,0.99,0.99,0.99,800,0.0,0.0
1988-01-22,0.99,0.99,0.99,0.99,0,0.0,0.0
1988-01-25,0.0,0.99,0.99,0.99,2400,0.0,0.0
1988-01-26,0.99,0.99,0.99,0.99,0,0.0,0.0
1988-01-27,0.0,0.97,0.97,0.97,800,0.0,0.0
1988-01-28,0.97,0.97,0.97,0.97,0,0.0,0.0
1988-01-29,0.97,0.97,0.97,0.97,0,0.0,0.0
1988-02-01,0.97,0.97,0.97,0.97,0,0.0,0.0
1988-02-02,0.97,0.97,0.97,0.97,0,0.0,0.0
1988-02-03,0.0,0.97,0.91,0.97,7200,0.0,0.0
1988-02-04,0.97,0.97,0.97,0.97,0,0.0,0.0
1988-02-05,0.0,0.91,0.89,0.89,19200,0.0,0.0
1988-02-08,0.89,0.89,0.89,0.89,0,0.0,0.0
1988-02-09,0.89,0.89,0.89,0.89,0,0.0,0.0
1988-02-10,0.89,0.89,0.89,0.89,0,0.0,0.0
1988-02-11,0.0,0.95,0.87,0.87,24000,0.0,0.0
1988-02-12,0.0,0.95,0.87,0.89,41600,0.0,0.0
1988-02-16,0.89,0.89,0.89,0.89,0,0.0,0.0
1988-02-17,0.0,0.91,0.87,0.87,14400,0.0,0.0
1988-02-18,0.0,0.91,0.87,0.91,7200,0.0,0.0
1988-02-19,0.0,0.95,0.87,0.95,4800,0.0,0.0
1988-02-22,0.0,0.95,0.95,0.95,2400,0.0,0.0
1988-02-23,0.0,0.95,0.95,0.95,2400,0.0,0.0
1988-02-24,0.95,0.95,0.95,0.95,0,0.0,0.0
1988-02-25,0.95,0.95,0.95,0.95,0,0.0,0.0
1988-02-26,0.95,0.95,0.95,0.95,0,0.0,0.0
