Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-06-29,12.62,12.9,12.48,12.76,6307500,0.0,0
1998-06-30,12.7,12.7,12.4,12.42,1537600,0.0,0
1998-07-01,12.4,12.51,12.12,12.45,593100,0.0,0
1998-07-02,12.4,12.4,12.17,12.37,563600,0.0,0
1998-07-06,12.37,12.37,12.12,12.15,616800,0.0,0
1998-07-07,12.15,12.17,12.03,12.09,623500,0.0,0
1998-07-08,12.09,12.17,12.06,12.17,392300,0.0,0
1998-07-09,12.12,12.15,11.95,12.06,293100,0.0,0
1998-07-10,12.06,12.06,11.75,12.06,384300,0.0,0
1998-07-13,11.95,12.03,11.75,12.01,385500,0.0,0
1998-07-14,11.98,12.12,11.84,12.06,668400,0.0,0
1998-07-15,12.01,12.03,11.87,12.03,232800,0.0,0
1998-07-16,11.98,12.01,11.84,11.89,403600,0.0,0
1998-07-17,11.89,11.89,11.75,11.84,543500,0.0,0
1998-07-20,11.75,11.78,11.61,11.75,542000,0.0,0
1998-07-21,11.7,11.75,11.56,11.61,218800,0.0,0
1998-07-22,11.64,11.64,11.5,11.64,506500,0.0,0
1998-07-23,11.64,11.78,11.64,11.75,446200,0.0,0
1998-07-24,11.67,11.7,11.61,11.67,515800,0.0,0
1998-07-27,11.61,11.73,11.53,11.7,384800,0.0,0
1998-07-28,11.64,11.7,11.34,11.5,816900,0.0,0
1998-07-29,11.42,11.5,11.2,11.39,522200,0.0,0
1998-07-30,11.34,11.59,11.31,11.5,467900,0.0,0
1998-07-31,11.5,11.5,11.17,11.25,386800,0.0,0
1998-08-03,11.17,11.22,10.97,11.11,649200,0.0,0
1998-08-04,11.03,11.03,10.61,10.75,617600,0.0,0
1998-08-05,10.83,11.22,10.78,11.22,501300,0.0,0
1998-08-06,11.22,11.22,10.94,11.06,568500,0.0,0
1998-08-07,11.0,11.08,10.83,10.92,351500,0.0,0
1998-08-10,10.94,11.17,10.94,11.06,749400,0.0,0
1998-08-11,10.94,10.97,10.72,10.81,358400,0.0,0
1998-08-12,10.81,11.22,10.78,11.22,399000,0.0,0
1998-08-13,11.11,11.2,11.03,11.14,206500,0.0,0
1998-08-14,11.03,11.11,10.94,11.06,195700,0.0,0
1998-08-17,11.17,11.31,11.08,11.28,520500,0.0,0
1998-08-18,11.25,11.28,11.06,11.17,450900,0.0,0
1998-08-19,11.14,11.14,11.0,11.11,302700,0.0,0
1998-08-20,11.17,11.22,11.11,11.2,631900,0.0,0
1998-08-21,11.11,11.28,11.08,11.28,459000,0.0,0
1998-08-24,11.34,11.45,11.31,11.34,377900,0.0,0
1998-08-25,11.36,11.5,11.34,11.5,585800,0.0,0
1998-08-26,11.45,11.48,11.39,11.45,346000,0.0,0
1998-08-27,11.45,11.56,11.42,11.42,723600,0.0,0
1998-08-28,11.45,11.45,11.36,11.45,346100,0.0,0
1998-08-31,11.42,11.42,11.11,11.36,1312100,0.0,0
1998-09-01,11.25,11.31,10.97,11.31,446000,0.0,0
1998-09-02,11.2,11.22,11.0,11.2,1301000,0.0,0
1998-09-03,11.08,11.2,10.97,11.17,267200,0.0,0
1998-09-04,11.22,11.28,11.08,11.22,359300,0.0,0
1998-09-08,11.2,11.31,11.06,11.31,198700,0.0,0
1998-09-09,11.31,11.31,11.17,11.28,216700,0.0,0
1998-09-10,11.22,11.34,11.17,11.31,327200,0.0,0
1998-09-11,11.22,11.36,11.14,11.34,232300,0.0,0
1998-09-14,11.39,11.5,11.34,11.5,290300,0.0,0
1998-09-15,11.42,11.81,11.42,11.75,324900,0.0,0
1998-09-16,11.73,11.81,11.64,11.81,1183500,0.0,0
1998-09-17,11.7,11.82,11.68,11.76,1643800,0.39,0
1998-09-18,11.73,11.96,11.7,11.93,341900,0.0,0
1998-09-21,11.93,11.99,11.82,11.93,278200,0.0,0
1998-09-22,11.96,12.02,11.82,11.82,408700,0.0,0
1998-09-23,11.9,12.1,11.85,12.1,371500,0.0,0
1998-09-24,12.1,12.1,11.82,11.9,724100,0.0,0
1998-09-25,11.79,11.99,11.79,11.96,184900,0.0,0
1998-09-28,11.87,12.02,11.82,12.02,414100,0.0,0
1998-09-29,11.99,12.19,11.99,12.13,264200,0.0,0
1998-09-30,12.02,12.02,11.76,11.82,370300,0.0,0
1998-10-01,11.85,12.13,11.82,12.1,425100,0.0,0
1998-10-02,12.13,12.64,12.13,12.61,635000,0.0,0
1998-10-05,12.61,13.04,12.55,13.01,565700,0.0,0
1998-10-06,13.01,13.15,12.84,13.06,691700,0.0,0
1998-10-07,13.09,13.29,13.06,13.23,538800,0.0,0
1998-10-08,13.12,13.12,12.92,13.09,441000,0.0,0
1998-10-09,13.09,13.09,12.53,12.7,239400,0.0,0
1998-10-12,12.58,12.58,11.73,11.87,319500,0.0,0
