Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-11,6.4,6.68,6.26,6.4,36719700,0.0,0
2002-12-12,6.4,6.45,6.13,6.22,9195600,0.0,0
2002-12-13,6.17,6.4,6.09,6.35,7739400,0.0,0
2002-12-16,6.3,6.46,6.19,6.46,3836400,0.0,0
2002-12-17,6.45,6.55,6.37,6.4,2729900,0.0,0
2002-12-18,6.35,6.36,6.19,6.23,2152800,0.0,0
2002-12-19,6.2,6.23,5.96,5.99,6450800,0.0,0
2002-12-20,6.04,6.09,5.87,6.01,2930900,0.0,0
2002-12-23,5.96,5.96,5.67,5.79,3455900,0.0,0
2002-12-24,5.79,5.81,5.56,5.7,3302500,0.0,0
2002-12-26,5.59,5.67,5.56,5.58,2019200,0.0,0
2002-12-27,5.56,5.63,5.48,5.63,1639400,0.0,0
2002-12-30,5.69,5.87,5.56,5.82,2742800,0.0,0
2002-12-31,5.73,6.1,5.73,5.97,3730800,0.0,0
2003-01-02,5.98,5.99,5.7,5.84,3473000,0.0,0
2003-01-03,5.84,5.98,5.75,5.98,1716600,0.0,0
2003-01-06,6.06,6.44,6.04,6.36,4041400,0.0,0
2003-01-07,6.4,6.81,6.34,6.81,6823500,0.0,0
2003-01-08,6.7,6.81,6.65,6.79,4623100,0.0,0
2003-01-09,6.84,7.2,6.81,7.01,9553400,0.0,0
2003-01-10,6.4,6.65,5.95,6.17,7554700,0.0,0
2003-01-13,6.2,6.27,5.65,5.69,2834700,0.0,0
2003-01-14,5.69,5.76,5.56,5.7,1629200,0.0,0
2003-01-15,5.76,6.05,5.67,5.99,2588100,0.0,0
2003-01-16,6.11,6.17,6.0,6.12,1443400,0.0,0
2003-01-17,6.11,6.12,5.79,6.01,2000000,0.0,0
2003-01-21,6.06,6.11,5.68,5.7,1165700,0.0,0
2003-01-22,5.75,5.75,5.17,5.3,3488500,0.0,0
2003-01-23,5.42,5.65,5.35,5.56,2498200,0.0,0
2003-01-24,5.66,5.8,5.45,5.53,2772100,0.0,0
2003-01-27,5.45,5.51,5.18,5.2,1150600,0.0,0
2003-01-28,5.25,5.4,5.23,5.23,1267000,0.0,0
2003-01-29,5.24,5.52,5.23,5.41,1174400,0.0,0
2003-01-30,5.45,5.5,5.23,5.23,720700,0.0,0
2003-01-31,5.17,5.2,5.0,5.11,1402500,0.0,0
2003-02-03,5.13,5.26,5.1,5.1,1002400,0.0,0
2003-02-04,5.11,5.11,4.98,5.03,1087700,0.0,0
2003-02-05,5.07,5.12,5.0,5.03,1233500,0.0,0
2003-02-06,5.06,5.2,5.02,5.03,923500,0.0,0
2003-02-07,5.09,5.1,4.98,5.01,1069500,0.0,0
2003-02-10,4.87,4.87,4.33,4.84,10046400,0.0,0
2003-02-11,4.84,4.97,4.58,4.97,2238900,0.0,0
2003-02-12,5.0,5.0,4.57,4.65,1726000,0.03,0
2003-02-13,4.66,4.72,4.47,4.5,2111000,0.0,0
2003-02-14,4.5,4.69,4.5,4.69,881000,0.0,0
2003-02-18,4.69,4.88,4.68,4.88,2049100,0.0,0
2003-02-19,4.92,5.02,4.88,5.02,1506300,0.0,0
2003-02-20,4.96,5.11,4.95,5.03,760000,0.0,0
2003-02-21,5.04,5.22,5.04,5.13,1519300,0.0,0
2003-02-24,5.16,5.25,4.96,5.02,1055600,0.0,0
2003-02-25,5.02,5.44,5.01,5.4,3049400,0.0,0
2003-02-26,5.39,5.44,5.26,5.31,782300,0.0,0
2003-02-27,5.26,5.41,5.2,5.27,387000,0.0,0
2003-02-28,5.3,5.3,5.12,5.17,808500,0.0,0
2003-03-03,5.16,5.31,5.15,5.19,575800,0.0,0
2003-03-04,5.21,5.24,5.13,5.17,517600,0.0,0
2003-03-05,5.15,5.26,5.1,5.19,1017700,0.0,0
2003-03-06,5.13,5.44,5.13,5.35,1481100,0.0,0
2003-03-07,5.29,5.49,5.24,5.41,898800,0.0,0
2003-03-10,5.27,5.45,5.27,5.45,1837100,0.0,0
2003-03-11,5.41,5.44,5.27,5.33,1960400,0.0,0
2003-03-12,5.22,5.25,5.0,5.04,4556400,0.0,0
2003-03-13,5.04,5.11,4.96,5.05,4223600,0.0,0
2003-03-14,5.03,5.08,4.88,5.0,2401400,0.0,0
2003-03-17,5.0,5.26,4.94,5.22,994400,0.0,0
2003-03-18,5.22,5.34,5.22,5.32,782500,0.0,0
2003-03-19,5.27,5.31,5.12,5.21,874000,0.0,0
2003-03-20,5.16,5.27,5.13,5.27,1609600,0.0,0
2003-03-21,5.3,5.58,5.25,5.47,2559900,0.0,0
2003-03-24,5.27,5.45,5.26,5.33,1945600,0.0,0
2003-03-25,5.3,5.7,5.27,5.58,4664700,0.0,0
2003-03-26,5.5,5.69,5.44,5.64,2908700,0.0,0
2003-03-27,5.55,6.08,5.55,6.07,4410700,0.0,0
2003-03-28,5.97,6.03,5.78,5.78,2628000,0.0,0
2003-03-31,5.58,5.83,5.57,5.76,1127600,0.0,0
2003-04-01,5.82,5.96,5.77,5.9,1558200,0.0,0
2003-04-02,6.0,6.11,5.89,5.99,4117900,0.0,0
2003-04-03,6.05,6.06,5.81,5.98,1517100,0.0,0
2003-04-04,5.93,5.93,5.67,5.73,4553400,0.0,0
2003-04-07,5.75,5.85,5.69,5.75,3600200,0.0,0
2003-04-08,5.78,5.95,5.72,5.87,2169200,0.0,0
2003-04-09,5.93,6.03,5.86,5.98,1889300,0.0,0
2003-04-10,5.98,6.08,5.89,6.04,1988500,0.0,0
2003-04-11,6.06,6.11,6.04,6.11,1500200,0.0,0
2003-04-14,6.08,6.17,5.95,6.17,991300,0.0,0
2003-04-15,6.14,6.39,6.08,6.39,2470200,0.0,0
2003-04-16,6.47,6.89,6.47,6.64,8202400,0.0,0
2003-04-17,6.63,6.84,6.59,6.84,2437600,0.0,0
2003-04-21,6.75,6.87,6.7,6.84,1866600,0.0,0
2003-04-22,6.8,6.95,6.7,6.89,1270200,0.0,0
2003-04-23,6.89,6.89,6.39,6.56,2737800,0.0,0
2003-04-24,6.5,6.55,6.4,6.42,1244800,0.0,0
2003-04-25,6.42,6.42,6.2,6.34,1543400,0.0,0
2003-04-28,6.32,6.53,6.31,6.41,1635800,0.0,0
2003-04-29,6.47,6.76,6.47,6.72,1513300,0.0,0
2003-04-30,6.65,6.75,6.46,6.75,3005000,0.0,0
2003-05-01,6.71,6.87,6.67,6.84,1312200,0.0,0
2003-05-02,6.8,6.88,6.61,6.86,1900900,0.0,0
