Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,2.02,1.95,1.95,70800,0.0,0.0
1980-03-18,0.0,1.94,1.89,1.94,100200,0.0,0.0
1980-03-19,0.0,1.97,1.95,1.95,45000,0.0,0.0
1980-03-20,0.0,1.97,1.95,1.95,79800,0.0,0.0
1980-03-21,0.0,1.97,1.94,1.97,288000,0.0,0.0
1980-03-24,0.0,1.96,1.91,1.91,72600,0.0,0.0
1980-03-25,0.0,1.92,1.89,1.89,82200,0.0,0.0
1980-03-26,0.0,1.91,1.87,1.87,62400,0.0,0.0
1980-03-27,0.0,1.86,1.67,1.71,517200,0.0,0.0
1980-03-28,0.0,1.83,1.74,1.74,299400,0.0,0.0
1980-03-31,0.0,1.8,1.74,1.8,85800,0.0,0.0
1980-04-01,0.0,1.85,1.8,1.85,36600,0.0,0.0
1980-04-02,0.0,1.94,1.85,1.94,133200,0.0,0.0
1980-04-03,0.0,1.98,1.95,1.97,60000,0.0,0.0
1980-04-07,0.0,1.92,1.89,1.89,239400,0.0,0.0
1980-04-08,0.0,1.91,1.88,1.88,29400,0.0,0.0
1980-04-09,0.0,1.88,1.8,1.86,423600,0.0,0.0
1980-04-10,0.0,1.89,1.88,1.88,49800,0.0,0.0
1980-04-11,0.0,1.89,1.81,1.85,122400,0.0,0.0
1980-04-14,0.0,1.86,1.83,1.85,176400,0.0,0.0
1980-04-15,0.0,1.85,1.8,1.8,141600,0.0,0.0
1980-04-16,0.0,1.83,1.8,1.81,105000,0.0,0.0
1980-04-17,0.0,1.81,1.78,1.81,97800,0.0,0.0
1980-04-18,0.0,1.85,1.81,1.83,45000,0.0,0.0
1980-04-21,0.0,1.81,1.77,1.77,55800,0.0,0.0
1980-04-22,0.0,1.85,1.8,1.83,36600,0.0,0.0
1980-04-23,0.0,1.88,1.81,1.81,38400,0.0,0.0
1980-04-24,0.0,1.83,1.79,1.81,28200,0.0,0.0
1980-04-25,0.0,1.81,1.78,1.81,49800,0.0,0.0
1980-04-28,0.0,1.81,1.8,1.81,20400,0.0,0.0
1980-04-29,0.0,1.81,1.78,1.81,95400,0.0,0.0
1980-04-30,0.0,1.8,1.75,1.76,36000,0.0,0.0
1980-05-01,0.0,1.79,1.77,1.78,79800,0.0,0.0
1980-05-02,0.0,1.8,1.77,1.8,205800,0.0,0.0
1980-05-05,0.0,1.8,1.77,1.79,46800,0.0,0.0
1980-05-06,0.0,1.79,1.76,1.78,62400,0.0,0.0
1980-05-07,0.0,1.8,1.75,1.8,64800,0.0,0.0
1980-05-08,0.0,1.88,1.8,1.88,176400,0.0,0.0
1980-05-09,0.0,1.89,1.87,1.88,19800,0.0,0.0
1980-05-12,0.0,1.86,1.8,1.81,156000,0.0,0.0
1980-05-13,0.0,1.85,1.77,1.77,88800,0.0,0.0
1980-05-14,0.0,1.81,1.77,1.79,241800,0.0,0.0
1980-05-15,0.0,1.81,1.79,1.8,123000,0.0,0.0
1980-05-16,0.0,1.86,1.81,1.83,85800,0.0,0.0
1980-05-19,0.0,1.86,1.82,1.86,42000,0.0,0.0
1980-05-20,0.0,1.87,1.85,1.87,93600,0.0,0.0
1980-05-21,0.0,1.88,1.83,1.88,161600,0.0,2.0
1980-05-22,0.0,2.0,1.92,2.0,90000,0.0,0.0
1980-05-23,0.0,2.11,2.0,2.11,82800,0.0,0.0
1980-05-27,0.0,2.11,2.02,2.05,81800,0.0,0.0
1980-05-28,0.0,2.08,1.95,1.98,69800,0.0,0.0
1980-05-29,0.0,1.98,1.92,1.92,47600,0.0,0.0
1980-05-30,0.0,1.97,1.92,1.92,28400,0.0,0.0
1980-06-02,0.0,1.98,1.92,1.98,36000,0.0,0.0
1980-06-03,0.0,2.03,1.98,2.02,9200,0.0,0.0
1980-06-04,0.0,2.05,1.98,2.02,41400,0.0,0.0
