Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-09-07,5.46,5.46,5.43,5.43,11400,0.0,0.0
1984-09-10,5.43,5.46,5.24,5.24,7400,0.0,0.0
1984-09-11,5.24,5.31,5.2,5.28,27000,0.0,0.0
1984-09-12,5.2,5.2,5.01,5.09,7800,0.0,0.0
1984-09-13,5.09,5.09,5.01,5.09,10400,0.0,0.0
1984-09-14,5.13,5.2,5.13,5.2,10800,0.0,0.0
1984-09-17,5.16,5.16,5.09,5.09,1200,0.0,0.0
1984-09-18,5.05,5.05,4.98,4.98,10400,0.0,0.0
1984-09-19,4.98,5.05,4.98,4.98,15200,0.0,0.0
1984-09-20,4.98,5.01,4.98,5.01,10800,0.0,0.0
1984-09-21,5.01,5.13,4.98,4.98,9600,0.0,0.0
1984-09-24,4.94,4.94,4.79,4.79,22400,0.0,0.0
1984-09-25,4.75,4.75,4.64,4.64,40800,0.0,0.0
1984-09-26,4.64,4.64,4.49,4.49,14000,0.0,0.0
1984-09-27,4.49,4.49,4.42,4.45,6800,0.0,0.0
1984-09-28,4.45,4.53,4.45,4.53,3600,0.0,0.0
1984-10-01,4.53,4.53,4.53,4.53,2400,0.0,0.0
1984-10-02,4.49,4.49,4.49,4.49,3800,0.0,0.0
1984-10-03,4.49,4.53,4.42,4.49,35400,0.0,0.0
1984-10-04,3.89,3.89,3.55,3.59,156600,0.0,0.0
1984-10-05,3.59,3.67,3.48,3.63,120000,0.0,0.0
1984-10-08,3.63,3.63,3.55,3.59,64200,0.0,0.0
1984-10-09,3.63,3.7,3.63,3.7,79800,0.0,0.0
1984-10-10,3.7,3.82,3.67,3.74,47000,0.0,0.0
1984-10-11,3.74,3.78,3.67,3.74,6600,0.0,0.0
1984-10-12,3.74,3.82,3.74,3.74,19400,0.0,0.0
1984-10-15,3.78,3.89,3.78,3.82,215400,0.0,0.0
1984-10-16,3.74,3.74,3.7,3.74,6600,0.0,0.0
1984-10-17,3.7,3.7,3.67,3.67,3800,0.0,0.0
1984-10-18,3.67,3.67,3.67,3.67,5400,0.0,0.0
1984-10-19,3.7,3.78,3.7,3.74,87800,0.0,0.0
1984-10-22,3.82,3.82,3.82,3.82,200,0.0,0.0
1984-10-23,3.74,3.74,3.74,3.74,800,0.0,0.0
1984-10-24,3.74,3.74,3.7,3.74,30600,0.0,0.0
1984-10-25,3.74,3.74,3.67,3.67,14600,0.0,0.0
1984-10-26,3.67,3.74,3.67,3.7,32000,0.0,0.0
1984-10-29,3.7,3.7,3.59,3.7,15600,0.0,0.0
1984-10-30,3.7,3.7,3.67,3.67,14000,0.0,0.0
1984-10-31,3.63,3.63,3.63,3.63,6000,0.0,0.0
1984-11-01,3.63,3.67,3.63,3.63,8400,0.0,0.0
1984-11-02,3.67,3.7,3.67,3.7,6000,0.0,0.0
1984-11-05,3.7,3.74,3.7,3.74,7400,0.0,0.0
1984-11-06,3.82,3.93,3.82,3.93,43200,0.0,0.0
1984-11-07,3.93,4.04,3.89,4.04,100800,0.0,0.0
1984-11-08,4.04,4.12,4.0,4.0,8600,0.0,0.0
1984-11-09,4.0,4.08,4.0,4.08,6000,0.0,0.0
1984-11-12,4.08,4.08,4.04,4.08,4800,0.0,0.0
1984-11-13,4.08,4.08,3.97,3.97,11400,0.0,0.0
1984-11-14,3.97,3.97,3.97,3.97,0,0.0,0.0
1984-11-15,3.97,3.97,3.97,3.97,6200,0.0,0.0
1984-11-16,4.0,4.0,4.0,4.0,800,0.0,0.0
1984-11-19,3.93,3.93,3.85,3.85,1400,0.0,0.0
1984-11-20,3.78,3.78,3.7,3.7,75800,0.0,0.0
1984-11-21,3.63,3.63,3.59,3.63,3200,0.0,0.0
1984-11-23,3.59,3.59,3.44,3.59,43200,0.0,0.0
1984-11-26,3.59,3.59,3.55,3.55,137600,0.0,0.0
1984-11-27,3.52,3.52,3.07,3.22,207600,0.0,0.0
1984-11-28,3.14,3.14,3.03,3.03,232800,0.0,0.0
1984-11-29,3.03,3.03,2.88,2.88,213600,0.0,0.0
1984-11-30,2.88,2.99,2.84,2.99,60800,0.0,0.0
1984-12-03,2.99,3.22,2.99,3.22,57000,0.0,0.0
1984-12-04,3.14,3.14,2.99,3.03,97200,0.0,0.0
1984-12-05,3.03,3.07,2.99,2.99,127200,0.0,0.0
1984-12-06,2.99,3.07,2.99,3.03,7800,0.0,0.0
1984-12-07,2.99,2.99,2.99,2.99,6000,0.0,0.0
1984-12-10,2.99,2.99,2.99,2.99,16800,0.0,0.0
1984-12-11,2.99,3.03,2.92,3.03,23000,0.0,0.0
1984-12-12,3.03,3.03,2.92,3.03,29600,0.0,0.0
1984-12-13,3.03,3.03,2.92,2.99,107400,0.0,0.0
1984-12-14,2.99,2.99,2.96,2.99,34400,0.0,0.0
1984-12-17,2.99,3.03,2.92,3.03,12000,0.0,0.0
1984-12-18,3.03,3.14,2.99,3.14,16400,0.0,0.0
1984-12-19,3.22,3.29,3.22,3.29,31200,0.0,0.0
1984-12-20,3.29,3.29,3.18,3.18,42000,0.0,0.0
1984-12-21,3.14,3.14,3.07,3.07,12000,0.0,0.0
1984-12-24,3.14,3.18,3.14,3.14,48600,0.0,0.0
1984-12-26,3.22,3.26,3.22,3.26,3600,0.0,0.0
1984-12-27,3.22,3.22,3.11,3.11,26000,0.0,0.0
1984-12-28,3.11,3.22,3.11,3.18,219800,0.0,0.0
1984-12-31,3.18,3.41,3.18,3.41,44400,0.0,0.0
1985-01-02,3.44,3.48,3.44,3.48,1800,0.0,0.0
1985-01-03,3.35,3.35,3.31,3.31,29000,0.025,0.0
1985-01-04,3.28,3.28,3.24,3.24,22400,0.0,0.0
1985-01-07,3.24,3.24,3.24,3.24,0,0.0,0.0
1985-01-08,3.24,3.24,3.05,3.05,6200,0.0,0.0
1985-01-09,3.01,3.01,3.01,3.01,19400,0.0,0.0
