Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1975-06-12,0.0,4.64,4.56,4.56,680800,0.0,0.0
1975-06-13,0.0,4.7,4.62,4.62,434400,0.0,0.0
1975-06-16,0.0,4.64,4.56,4.56,195800,0.0,0.0
1975-06-17,0.0,4.55,4.47,4.47,278800,0.0,0.0
1975-06-18,0.0,4.68,4.6,4.6,178200,0.0,0.0
1975-06-19,0.0,4.75,4.68,4.68,190400,0.0,0.0
1975-06-20,0.0,4.77,4.7,4.7,304800,0.0,0.0
1975-06-23,0.0,4.73,4.66,4.66,119400,0.0,0.0
1975-06-24,0.0,4.64,4.56,4.56,240000,0.0,0.0
1975-06-25,0.0,4.6,4.53,4.53,158400,0.0,0.0
1975-06-26,0.0,4.56,4.49,4.49,121200,0.0,0.0
1975-06-27,0.0,4.55,4.47,4.47,88000,0.0,0.0
1975-06-30,0.0,4.64,4.56,4.56,123200,0.0,0.0
1975-07-01,0.0,4.58,4.51,4.51,87200,0.0,0.0
1975-07-02,0.0,4.55,4.47,4.47,139400,0.0,0.0
1975-07-03,0.0,4.73,4.66,4.66,158600,0.0,0.0
1975-07-07,0.0,4.62,4.55,4.55,112400,0.0,0.0
1975-07-08,0.0,4.6,4.53,4.53,144000,0.0,0.0
1975-07-09,0.0,4.71,4.64,4.64,223000,0.0,0.0
1975-07-10,0.0,4.7,4.62,4.62,227600,0.0,0.0
1975-07-11,0.0,4.86,4.79,4.79,293400,0.0,0.0
1975-07-14,0.0,5.11,5.03,5.03,371800,0.0,0.0
1975-07-15,0.0,5.09,5.01,5.01,281600,0.0,0.0
1975-07-16,0.0,5.07,5.0,5.0,364600,0.0,0.0
1975-07-17,0.0,5.14,5.07,5.07,222000,0.0,0.0
1975-07-18,0.0,5.39,5.31,5.31,351000,0.0,0.0
1975-07-21,0.0,5.33,5.26,5.26,204800,0.0,0.0
1975-07-22,0.0,5.14,5.07,5.07,234000,0.0,0.0
1975-07-23,0.0,5.05,4.98,4.98,176800,0.0,0.0
1975-07-24,0.0,4.98,4.9,4.9,143400,0.0,0.0
1975-07-25,0.0,4.85,4.77,4.77,102600,0.0,0.0
1975-07-28,0.0,4.83,4.75,4.75,96000,0.0,0.0
1975-07-29,0.0,4.68,4.6,4.6,160200,0.0,0.0
1975-07-30,0.0,4.73,4.66,4.66,118600,0.0,0.0
1975-07-31,0.0,4.64,4.56,4.56,88400,0.0,0.0
1975-08-01,0.0,4.55,4.47,4.47,101600,0.0,0.0
1975-08-04,4.47,4.47,4.47,4.47,0,0.0,0.0
1975-08-05,0.0,4.7,4.62,4.62,120200,0.0,0.0
1975-08-06,0.0,4.88,4.81,4.81,109800,0.0,0.0
1975-08-07,0.0,4.68,4.6,4.6,127200,0.0,0.0
1975-08-08,0.0,4.51,4.43,4.43,144600,0.0,0.0
1975-08-11,0.0,4.6,4.53,4.53,111400,0.0,0.0
1975-08-12,0.0,4.58,4.51,4.51,81600,0.0,0.0
1975-08-13,0.0,4.34,4.27,4.27,112400,0.0,0.0
1975-08-14,0.0,4.34,4.27,4.27,104200,0.0,0.0
1975-08-15,0.0,4.27,4.19,4.19,73600,0.0,0.0
1975-08-18,0.0,4.08,4.0,4.0,78400,0.0,0.0
1975-08-19,0.0,4.08,4.0,4.0,69800,0.0,0.0
1975-08-20,0.0,4.21,4.13,4.13,83600,0.0,0.0
1975-08-21,0.0,4.38,4.3,4.3,60400,0.0,0.0
1975-08-22,0.0,4.49,4.42,4.42,32200,0.0,0.0
1975-08-25,0.0,4.47,4.4,4.4,48000,0.0,0.0
1975-08-26,0.0,4.32,4.25,4.25,70200,0.0,0.0
1975-08-27,0.0,4.4,4.32,4.32,42400,0.0,0.0
1975-08-28,0.0,4.62,4.55,4.55,83600,0.0,0.0
1975-08-29,0.0,4.68,4.6,4.6,105200,0.0,0.0
1975-09-02,0.0,4.47,4.4,4.4,70800,0.0,0.0
1975-09-03,0.0,4.55,4.47,4.47,69400,0.0,0.0
1975-09-04,0.0,4.58,4.51,4.51,59600,0.0,0.0
1975-09-05,0.0,4.45,4.38,4.38,63600,0.0,0.0
1975-09-08,0.0,4.32,4.25,4.25,50400,0.0,0.0
1975-09-09,0.0,4.19,4.12,4.12,134600,0.0,0.0
1975-09-10,0.0,4.08,4.0,4.0,146600,0.0,0.0
1975-09-11,0.0,4.06,3.98,3.98,144800,0.0,0.0
1975-09-12,0.0,4.12,4.04,4.04,61000,0.0,0.0
1975-09-15,0.0,4.15,4.08,4.08,53000,0.0,0.0
1975-09-16,0.0,4.19,4.12,4.12,57000,0.0,0.0
1975-09-17,0.0,4.32,4.25,4.25,76000,0.0,0.0
1975-09-18,0.0,4.62,4.55,4.55,113000,0.0,0.0
1975-09-19,0.0,4.79,4.71,4.71,144400,0.0,0.0
1975-09-22,0.0,4.6,4.53,4.53,98400,0.0,0.0
1975-09-23,0.0,4.49,4.42,4.42,114800,0.0,0.0
1975-09-24,0.0,4.49,4.42,4.42,39000,0.0,0.0
1975-09-25,0.0,4.36,4.28,4.28,60000,0.0,0.0
1975-09-26,0.0,4.32,4.25,4.25,58200,0.0,0.0
1975-09-29,0.0,4.28,4.21,4.21,50400,0.0,0.0
1975-09-30,0.0,4.21,4.13,4.13,56000,0.0,0.0
1975-10-01,0.0,4.21,4.13,4.13,73800,0.0,0.0
1975-10-02,0.0,4.3,4.23,4.23,140000,0.0,0.0
1975-10-03,0.0,4.42,4.34,4.34,71000,0.0,0.0
1975-10-06,0.0,4.42,4.34,4.34,30000,0.0,0.0
1975-10-07,0.0,4.34,4.27,4.27,58800,0.0,0.0
1975-10-08,0.0,4.43,4.36,4.36,45600,0.0,0.0
1975-10-09,0.0,4.51,4.43,4.43,71200,0.0,0.0
1975-10-10,0.0,4.55,4.47,4.47,70200,0.0,0.0
1975-10-13,0.0,4.56,4.49,4.49,53800,0.0,0.0
1975-10-14,0.0,4.58,4.51,4.51,76800,0.0,0.0
1975-10-15,0.0,4.64,4.56,4.56,67600,0.0,0.0
1975-10-16,0.0,4.58,4.51,4.51,44600,0.0,0.0
1975-10-17,0.0,4.27,4.19,4.19,118800,0.0,0.0
1975-10-20,0.0,4.32,4.25,4.25,47600,0.0,0.0
1975-10-21,0.0,4.15,4.08,4.08,100800,0.0,0.0
1975-10-22,0.0,4.19,4.12,4.12,106400,0.0,0.0
1975-10-23,0.0,4.38,4.3,4.3,148200,0.0,0.0
1975-10-24,0.0,4.27,4.19,4.19,74200,0.0,0.0
1975-10-27,0.0,4.27,4.19,4.19,27800,0.0,0.0
1975-10-28,0.0,4.34,4.27,4.27,59000,0.0,0.0
1975-10-29,0.0,4.15,4.08,4.08,57000,0.0,0.0
1975-10-30,0.0,4.06,3.98,3.98,66200,0.0,0.0
1975-10-31,0.0,4.08,4.0,4.0,40400,0.0,0.0
1975-11-03,0.0,3.97,3.89,3.89,79600,0.0,0.0
1975-11-04,0.0,3.85,3.78,3.78,191800,0.0,0.0
1975-11-05,0.0,3.8,3.72,3.72,106600,0.0,0.0
1975-11-06,0.0,3.78,3.7,3.7,104000,0.0,0.0
1975-11-07,0.0,3.55,3.48,3.48,308600,0.0,0.0
1975-11-10,0.0,3.7,3.63,3.63,79400,0.0,0.0
1975-11-11,0.0,3.67,3.59,3.59,83400,0.0,0.0
1975-11-12,0.0,3.98,3.91,3.91,177800,0.0,0.0
1975-11-13,0.0,3.85,3.78,3.78,164000,0.0,0.0
1975-11-14,0.0,3.87,3.8,3.8,72400,0.0,0.0
1975-11-17,0.0,3.87,3.8,3.8,53400,0.0,0.0
1975-11-18,0.0,3.76,3.69,3.69,110600,0.0,0.0
1975-11-19,0.0,3.69,3.61,3.61,81600,0.0,0.0
1975-11-20,0.0,3.69,3.61,3.61,29200,0.0,0.0
1975-11-21,0.0,3.76,3.69,3.69,52000,0.0,0.0
1975-11-24,0.0,3.8,3.72,3.72,58200,0.0,0.0
1975-11-25,0.0,3.74,3.67,3.67,47600,0.0,0.0
1975-11-26,0.0,3.85,3.78,3.78,49600,0.0,0.0
1975-11-28,0.0,3.8,3.72,3.72,35000,0.0,0.0
1975-12-01,0.0,3.78,3.7,3.7,55400,0.0,0.0
1975-12-02,0.0,3.74,3.67,3.67,60800,0.0,0.0
1975-12-03,0.0,3.69,3.61,3.61,85000,0.0,0.0
1975-12-04,0.0,3.57,3.5,3.5,49400,0.0,0.0
1975-12-05,0.0,3.44,3.37,3.37,61000,0.0,0.0
1975-12-08,0.0,3.42,3.35,3.35,62000,0.0,0.0
1975-12-09,0.0,3.39,3.31,3.31,171200,0.0,0.0
1975-12-10,0.0,3.59,3.52,3.52,102400,0.0,0.0
1975-12-11,0.0,3.61,3.54,3.54,111400,0.0,0.0
1975-12-12,0.0,3.61,3.54,3.54,31400,0.0,0.0
1975-12-15,0.0,3.57,3.5,3.5,50800,0.0,0.0
1975-12-16,0.0,3.65,3.57,3.57,51600,0.0,0.0
1975-12-17,0.0,3.69,3.61,3.61,54000,0.0,0.0
1975-12-18,0.0,3.74,3.67,3.67,60400,0.0,0.0
1975-12-19,0.0,3.72,3.65,3.65,37600,0.0,0.0
1975-12-22,0.0,3.78,3.7,3.7,78800,0.0,0.0
1975-12-23,0.0,3.8,3.72,3.72,30200,0.0,0.0
1975-12-24,0.0,3.8,3.72,3.72,11800,0.0,0.0
1975-12-26,0.0,3.89,3.82,3.82,45600,0.0,0.0
1975-12-29,0.0,3.87,3.8,3.8,59400,0.0,0.0
1975-12-30,0.0,3.85,3.78,3.78,51800,0.0,0.0
1975-12-31,0.0,3.89,3.82,3.82,30000,0.0,0.0
1976-01-02,0.0,3.87,3.8,3.8,12400,0.0,0.0
