Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-06,1.84,1.87,1.7,1.77,7776800,0.0,0.0
2000-10-09,1.76,1.76,1.64,1.64,2759200,0.0,0.0
2000-10-10,1.63,1.72,1.63,1.66,2257600,0.0,0.0
2000-10-11,1.66,1.66,1.6,1.61,3709600,0.0,0.0
2000-10-12,1.58,1.58,1.45,1.53,4552000,0.0,0.0
2000-10-13,1.51,1.56,1.49,1.56,1595200,0.0,0.0
2000-10-16,1.56,1.58,1.55,1.57,1236800,0.0,0.0
2000-10-17,1.56,1.69,1.56,1.66,620000,0.0,0.0
2000-10-18,1.65,1.66,1.57,1.58,1392000,0.0,0.0
2000-10-19,1.59,1.6,1.54,1.54,1219200,0.0,0.0
2000-10-20,1.56,1.56,1.53,1.54,1064800,0.0,0.0
2000-10-23,1.54,1.54,1.52,1.52,1488800,0.0,0.0
2000-10-24,1.54,1.58,1.53,1.58,533600,0.0,0.0
2000-10-25,1.58,1.7,1.57,1.65,1664000,0.0,0.0
2000-10-26,1.64,1.64,1.6,1.64,338400,0.0,0.0
2000-10-27,1.66,1.78,1.65,1.77,400000,0.0,0.0
2000-10-30,1.75,1.95,1.74,1.95,741600,0.0,0.0
2000-10-31,2.04,2.2,2.04,2.12,3561600,0.0,0.0
2000-11-01,2.09,2.12,2.03,2.1,2935200,0.0,0.0
2000-11-02,2.11,2.18,2.09,2.16,914400,0.0,0.0
2000-11-03,2.14,2.29,2.08,2.29,2640800,0.0,0.0
2000-11-06,2.29,2.29,2.17,2.18,677600,0.0,0.0
2000-11-07,2.17,2.17,2.09,2.15,866400,0.0,0.0
2000-11-08,2.01,2.17,1.96,2.17,2896000,0.0,0.0
2000-11-09,2.17,2.2,2.12,2.17,1449600,0.0,0.0
2000-11-10,2.16,2.26,2.16,2.24,368000,0.0,0.0
2000-11-13,2.22,2.22,1.99,2.0,726400,0.0,0.0
2000-11-14,1.99,2.06,1.92,2.06,1000800,0.0,0.0
2000-11-15,2.07,2.1,2.03,2.08,736800,0.0,0.0
2000-11-16,2.07,2.08,2.07,2.08,72800,0.0,0.0
2000-11-17,2.09,2.12,2.07,2.12,272800,0.0,0.0
2000-11-20,2.1,2.1,1.99,2.06,264800,0.0,0.0
2000-11-21,2.05,2.06,2.04,2.05,712800,0.0,0.0
2000-11-22,2.06,2.08,2.04,2.08,404000,0.0,0.0
2000-11-24,2.08,2.08,2.08,2.08,242400,0.0,0.0
2000-11-27,2.1,2.16,2.08,2.15,833600,0.0,0.0
2000-11-28,2.13,2.19,2.13,2.13,1260800,0.0,0.0
2000-11-29,2.1,2.1,1.99,2.01,128000,0.0,0.0
2000-11-30,1.99,2.0,1.97,2.0,688000,0.0,0.0
2000-12-01,1.98,1.99,1.95,1.99,416800,0.0,0.0
2000-12-04,1.98,2.09,1.98,2.09,1025600,0.0,0.0
2000-12-05,2.09,2.09,2.01,2.01,1095200,0.0,0.0
2000-12-06,2.0,2.1,2.0,2.09,408800,0.0,0.0
2000-12-07,2.11,2.22,2.11,2.17,440000,0.0,0.0
2000-12-08,2.2,2.33,2.18,2.3,424800,0.0,0.0
2000-12-11,2.3,2.35,2.29,2.34,264800,0.0,0.0
2000-12-12,2.29,2.33,2.25,2.26,470400,0.0,0.0
2000-12-13,2.25,2.25,2.17,2.17,324000,0.0,0.0
2000-12-14,2.17,2.17,1.82,1.91,1654400,0.0,0.0
2000-12-15,1.91,1.91,1.9,1.91,32800,0.0,0.0
2000-12-18,1.92,1.93,1.82,1.87,369600,0.0,0.0
2000-12-19,1.86,1.88,1.84,1.88,316800,0.0,0.0
2000-12-20,1.87,1.87,1.82,1.83,838400,0.0,0.0
2000-12-21,1.84,1.9,1.83,1.9,652000,0.0,0.0
2000-12-22,1.9,2.04,1.9,2.03,232000,0.0,0.0
2000-12-26,2.03,2.17,2.03,2.13,272000,0.0,0.0
2000-12-27,2.17,2.26,2.17,2.26,406400,0.0,0.0
