Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-10-25,32.63,34.61,28.57,29.49,7486900,0.0,0
2007-10-26,29.36,32.62,28.93,31.65,1625600,0.0,0
2007-10-29,33.62,34.61,32.29,34.32,667900,0.0,0
2007-10-30,34.83,35.21,32.63,35.04,455600,0.0,0
2007-10-31,34.54,35.24,32.59,33.82,393200,0.0,0
2007-11-01,33.13,33.13,31.78,32.37,453900,0.0,0
2007-11-02,32.38,32.61,31.17,32.06,276000,0.0,0
2007-11-05,31.26,31.89,30.77,31.15,342300,0.0,0
2007-11-06,31.16,31.55,31.0,31.08,223100,0.0,0
2007-11-07,30.95,30.95,28.93,29.03,525600,0.0,0
2007-11-08,28.93,29.82,28.93,29.67,411100,0.0,0
2007-11-09,29.32,29.75,28.74,29.57,213400,0.0,0
2007-11-12,29.34,30.82,28.72,28.72,112900,0.0,0
2007-11-13,28.98,29.67,28.1,28.81,236700,0.0,0
2007-11-14,28.84,29.92,28.78,29.62,244500,0.0,0
2007-11-15,29.38,30.35,29.38,29.87,76800,0.0,0
2007-11-16,29.87,30.36,29.67,30.35,88900,0.0,0
2007-11-19,29.72,30.35,28.43,28.87,238300,0.0,0
2007-11-20,29.38,29.39,24.98,26.7,742900,0.0,0
2007-11-21,26.04,26.12,23.0,24.08,810400,0.0,0
2007-11-23,23.48,23.97,22.6,23.9,100200,0.0,0
2007-11-26,24.5,25.05,23.73,23.93,233800,0.0,0
2007-11-27,24.17,24.72,23.54,23.61,211200,0.0,0
2007-11-28,24.2,25.03,23.93,24.58,417400,0.0,0
2007-11-29,24.22,24.74,23.92,24.52,341700,0.0,0
2007-11-30,24.72,25.94,24.49,25.46,199100,0.0,0
2007-12-03,25.69,26.45,25.27,26.01,319200,0.0,0
2007-12-04,26.0,26.36,25.45,25.56,180500,0.0,0
2007-12-05,25.79,26.45,25.72,26.25,168500,0.0,0
2007-12-06,26.26,27.2,26.26,27.19,102100,0.0,0
2007-12-07,27.36,28.53,27.35,27.67,103200,0.0,0
2007-12-10,27.92,28.21,26.24,27.2,281500,0.0,0
2007-12-11,26.21,26.49,19.14,20.68,3591000,0.0,0
2007-12-12,20.89,21.61,18.21,19.33,1121400,0.0,0
2007-12-13,19.33,19.54,17.34,18.35,1190300,0.0,0
2007-12-14,18.49,18.49,17.9,18.34,173500,0.0,0
2007-12-17,18.39,18.39,17.22,17.66,161500,0.0,0
2007-12-18,17.8,17.8,16.93,17.5,220900,0.0,0
2007-12-19,17.61,17.72,16.91,17.55,143400,0.0,0
2007-12-20,17.55,17.55,16.32,16.56,252700,0.0,0
2007-12-21,16.81,16.96,15.43,16.4,1079900,0.0,0
2007-12-24,16.55,16.64,16.05,16.61,189600,0.0,0
2007-12-26,16.52,17.75,16.23,17.16,270700,0.0,0
2007-12-27,17.06,17.26,16.81,17.08,123400,0.0,0
2007-12-28,17.07,17.29,16.71,16.91,234400,0.0,0
2007-12-31,16.81,17.16,16.69,16.96,515300,0.0,0
2008-01-02,16.81,16.91,16.05,16.37,213100,0.0,0
2008-01-03,16.06,16.67,14.88,15.33,296500,0.0,0
2008-01-04,15.58,15.58,14.33,14.33,334400,0.0,0
2008-01-07,14.4,14.59,11.7,12.38,993300,0.0,0
2008-01-08,12.66,13.6,12.21,13.4,704000,0.0,0
2008-01-09,13.34,14.34,13.24,14.34,1019800,0.0,0
2008-01-10,14.19,16.08,14.19,15.89,1232700,0.0,0
2008-01-11,15.53,15.82,15.04,15.63,417800,0.0,0
2008-01-14,15.6,16.23,15.41,15.87,237900,0.0,0
2008-01-15,15.48,15.88,15.41,15.44,291600,0.0,0
2008-01-16,15.43,16.15,15.42,15.73,297100,0.0,0
2008-01-17,15.65,15.74,14.23,14.6,188900,0.0,0
2008-01-18,14.5,14.58,11.87,12.36,951100,0.0,0
2008-01-22,11.87,12.72,11.65,12.44,1503700,0.0,0
2008-01-23,12.14,14.34,12.13,14.09,391700,0.0,0
2008-01-24,14.14,14.39,13.84,14.14,579400,0.0,0
2008-01-25,14.37,15.51,14.09,15.02,340200,0.0,0
2008-01-28,14.94,15.59,14.67,15.33,212400,0.0,0
2008-01-29,15.33,16.42,14.97,16.17,233900,0.0,0
2008-01-30,15.93,16.35,15.32,15.38,330100,0.0,0
2008-01-31,15.23,15.6,15.04,15.07,281700,0.0,0
2008-02-01,15.38,15.51,13.94,14.59,375000,0.0,0
2008-02-04,14.47,14.72,13.73,13.87,189300,0.0,0
2008-02-05,13.56,14.03,13.54,13.85,166000,0.0,0
2008-02-06,13.88,14.59,13.85,14.04,92200,0.0,0
2008-02-07,13.99,16.07,13.78,15.74,243500,0.0,0
2008-02-08,15.58,15.61,14.95,15.38,395700,0.0,0
2008-02-11,15.38,15.43,14.63,14.92,125200,0.0,0
2008-02-12,14.97,15.68,14.64,14.75,123600,0.0,0
2008-02-13,14.85,14.91,14.34,14.76,147500,0.0,0
2008-02-14,14.82,14.92,14.17,14.63,174500,0.0,0
