Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-01-30,4.4,5.57,4.35,5.41,18256800,0.0,0.0
1998-02-02,5.81,7.91,5.63,6.58,10127200,0.0,0.0
1998-02-03,7.01,7.46,6.79,7.01,6244800,0.0,0.0
1998-02-04,6.98,7.03,6.47,6.71,2106800,0.0,0.0
1998-02-05,6.85,7.01,6.47,6.49,890800,0.0,0.0
1998-02-06,6.51,6.55,5.84,5.92,2846800,0.0,0.0
1998-02-09,5.84,5.94,5.44,5.73,1944800,0.0,0.0
1998-02-10,5.68,6.26,5.55,5.94,1001200,0.0,0.0
1998-02-11,5.97,6.32,5.86,6.32,842400,0.0,0.0
1998-02-12,6.29,6.71,6.18,6.61,1111600,0.0,0.0
1998-02-13,6.66,6.79,6.53,6.58,544800,0.0,0.0
1998-02-17,6.66,6.79,6.53,6.63,441600,0.0,0.0
1998-02-18,6.66,6.69,6.55,6.63,246000,0.0,0.0
1998-02-19,6.69,6.77,6.53,6.53,318400,0.0,0.0
1998-02-20,6.53,6.79,6.53,6.77,349200,0.0,0.0
1998-02-23,6.53,6.55,6.13,6.16,1409600,0.0,0.0
1998-02-24,6.29,6.3,5.68,5.81,2599200,0.0,0.0
1998-02-25,5.94,6.16,5.78,6.16,1143200,0.0,0.0
1998-02-26,6.18,6.18,6.0,6.13,491200,0.0,0.0
1998-02-27,6.05,6.13,6.05,6.08,573600,0.0,0.0
1998-03-02,6.08,6.12,6.02,6.04,466400,0.0,0.0
1998-03-03,6.05,6.05,5.94,6.05,642400,0.0,0.0
1998-03-04,6.1,6.1,5.78,5.86,377600,0.0,0.0
1998-03-05,5.71,5.84,5.63,5.67,836800,0.0,0.0
1998-03-06,5.76,6.05,5.68,6.01,454000,0.0,0.0
1998-03-09,5.92,6.74,5.92,6.42,1732400,0.0,0.0
1998-03-10,6.53,7.03,6.42,7.02,1844000,0.0,0.0
1998-03-11,7.14,7.8,7.09,7.62,2708000,0.0,0.0
1998-03-12,7.72,8.2,7.64,8.17,1700000,0.0,0.0
1998-03-13,8.23,8.44,7.67,8.04,1345600,0.0,0.0
1998-03-16,8.12,9.71,8.04,9.5,3122800,0.0,0.0
1998-03-17,9.45,9.95,9.01,9.41,1907200,0.0,0.0
1998-03-18,9.23,9.45,9.05,9.14,800000,0.0,0.0
1998-03-19,9.18,9.33,8.94,9.15,312400,0.0,0.0
1998-03-20,9.05,9.23,8.61,8.74,405200,0.0,0.0
1998-03-23,8.65,9.53,8.65,9.15,1090800,0.0,0.0
1998-03-24,9.45,9.79,9.1,9.45,1063600,0.0,0.0
1998-03-25,9.53,9.55,9.01,9.13,441600,0.0,0.0
1998-03-26,9.13,9.23,8.81,8.92,473600,0.0,0.0
1998-03-27,8.97,9.23,8.84,9.02,884400,0.0,0.0
1998-03-30,9.02,9.5,8.92,9.23,868400,0.0,0.0
1998-03-31,9.39,9.45,9.18,9.34,714400,0.0,0.0
1998-04-01,9.42,10.3,9.34,10.19,1110000,0.0,0.0
1998-04-02,10.03,10.4,9.37,9.39,1066400,0.0,0.0
1998-04-03,9.71,9.84,9.0,9.02,1367200,0.0,0.0
1998-04-06,9.15,9.15,8.68,8.68,656000,0.0,0.0
1998-04-07,8.62,8.65,7.85,8.27,1047200,0.0,0.0
1998-04-08,8.25,9.18,8.25,8.65,977200,0.0,0.0
1998-04-09,9.23,9.53,9.1,9.34,922800,0.0,0.0
1998-04-13,9.55,9.82,9.05,9.53,544400,0.0,0.0
1998-04-14,9.66,10.08,9.26,9.31,575200,0.0,0.0
1998-04-15,9.47,9.47,9.13,9.13,345600,0.0,0.0
1998-04-16,9.21,9.26,9.08,9.13,302400,0.0,0.0
1998-04-17,9.13,9.18,8.62,9.0,410800,0.0,0.0
1998-04-20,9.02,9.05,8.86,8.86,493600,0.0,0.0
1998-04-21,8.86,8.86,8.17,8.65,528000,0.0,0.0
1998-04-22,8.68,8.84,8.28,8.7,570800,0.0,0.0
1998-04-23,8.44,8.6,8.04,8.09,904800,0.0,0.0
1998-04-24,8.2,8.49,7.22,7.48,2391200,0.0,0.0
1998-04-27,7.38,7.91,7.03,7.88,1166800,0.0,0.0
1998-04-28,8.23,8.23,7.46,7.78,932400,0.0,0.0
1998-04-29,7.64,7.75,7.35,7.55,585600,0.0,0.0
1998-04-30,7.88,8.25,7.78,8.15,626400,0.0,0.0
1998-05-01,8.12,8.62,8.07,8.49,331600,0.0,0.0
1998-05-04,8.52,8.73,8.07,8.17,523200,0.0,0.0
1998-05-05,7.99,8.17,7.56,7.66,580800,0.0,0.0
1998-05-06,7.78,7.83,7.38,7.58,474400,0.0,0.0
1998-05-07,7.56,7.64,7.38,7.48,218800,0.0,0.0
1998-05-08,7.54,7.67,7.48,7.54,242000,0.0,0.0
1998-05-11,7.62,7.64,7.24,7.43,412400,0.0,0.0
1998-05-12,7.38,7.51,7.27,7.38,247200,0.0,0.0
1998-05-13,7.27,8.28,7.27,8.12,1270000,0.0,0.0
1998-05-14,8.2,8.23,7.8,7.91,672000,0.0,0.0
1998-05-15,7.91,7.99,7.59,7.66,511200,0.0,0.0
1998-05-18,7.54,7.67,7.4,7.58,1092000,0.0,0.0
1998-05-19,7.62,7.78,7.43,7.62,1105200,0.0,0.0
1998-05-20,7.64,7.7,7.59,7.7,83200,0.0,0.0
1998-05-21,7.91,8.07,7.7,8.01,2386000,0.0,0.0
1998-05-22,8.25,8.25,7.35,7.51,605600,0.0,0.0
1998-05-26,7.64,7.83,7.22,7.32,435600,0.0,0.0
1998-05-27,7.01,7.16,6.79,6.9,956000,0.0,0.0
1998-05-28,7.06,7.06,6.9,6.95,302800,0.0,0.0
1998-05-29,7.02,7.02,6.77,6.78,359600,0.0,0.0
1998-06-01,6.71,6.78,6.13,6.16,1269200,0.0,0.0
1998-06-02,6.37,6.37,5.68,5.97,1304000,0.0,0.0
1998-06-03,6.13,6.32,5.97,6.05,336800,0.0,0.0
1998-06-04,6.24,6.26,6.08,6.1,223600,0.0,0.0
1998-06-05,6.18,6.26,6.1,6.16,382800,0.0,0.0
1998-06-08,6.16,6.21,5.52,5.73,1801600,0.0,0.0
1998-06-09,5.68,5.94,5.52,5.81,1493600,0.0,0.0
1998-06-10,5.73,6.21,5.63,5.84,425200,0.0,0.0
1998-06-11,5.78,6.05,5.68,5.73,331200,0.0,0.0
1998-06-12,5.81,5.94,5.55,5.94,960800,0.0,0.0
1998-06-15,5.94,5.94,5.59,5.73,250800,0.0,0.0
1998-06-16,5.65,5.76,5.63,5.76,138000,0.0,0.0
1998-06-17,5.68,6.16,5.68,6.08,1690800,0.0,0.0
1998-06-18,6.13,6.4,6.13,6.37,1632000,0.0,0.0
1998-06-19,6.34,6.37,6.32,6.34,913600,0.0,0.0
1998-06-22,6.37,7.59,6.32,7.43,2005200,0.0,0.0
1998-06-23,7.51,8.16,7.4,8.12,2220400,0.0,0.0
1998-06-24,8.33,9.15,8.28,8.86,2244400,0.0,0.0
1998-06-25,8.97,9.13,8.17,8.49,1142800,0.0,0.0
1998-06-26,8.49,8.49,7.91,8.12,290400,0.0,0.0
1998-06-29,8.07,8.12,7.48,7.75,467200,0.0,0.0
1998-06-30,7.71,8.28,7.56,7.93,1189600,0.0,0.0
1998-07-01,8.17,8.81,7.8,8.81,1542400,0.0,0.0
1998-07-02,9.13,9.23,8.41,8.81,1378800,0.0,0.0
1998-07-06,9.02,9.34,8.7,8.93,698800,0.0,0.0
1998-07-07,8.92,8.97,8.49,8.97,1117200,0.0,0.0
1998-07-08,8.81,8.97,8.62,8.85,577200,0.0,0.0
1998-07-09,8.78,9.23,8.78,9.13,345600,0.0,0.0
1998-07-10,9.18,9.53,9.13,9.34,475200,0.0,0.0
1998-07-13,9.29,9.39,8.92,9.01,436000,0.0,0.0
1998-07-14,9.01,9.39,9.01,9.08,386800,0.0,0.0
1998-07-15,9.08,9.15,8.89,9.0,610800,0.0,0.0
1998-07-16,9.05,9.15,8.92,9.05,1022400,0.0,0.0
1998-07-17,9.18,9.18,8.86,8.86,77200,0.0,0.0
1998-07-20,8.89,9.02,8.78,8.81,132400,0.0,0.0
1998-07-21,9.05,9.12,8.39,8.65,272000,0.0,0.0
1998-07-22,8.46,8.57,8.15,8.44,265600,0.0,0.0
1998-07-23,8.36,8.49,7.67,8.2,312800,0.0,0.0
1998-07-24,8.04,8.39,7.88,8.33,249600,0.0,0.0
1998-07-27,8.09,8.28,7.62,7.64,471600,0.0,0.0
1998-07-28,7.88,7.88,6.9,7.56,2126800,0.0,0.0
1998-07-29,7.11,7.22,6.9,7.03,3321200,0.0,0.0
1998-07-30,7.03,7.03,6.63,6.79,411200,0.0,0.0
1998-07-31,6.85,6.9,6.58,6.58,386800,0.0,0.0
1998-08-03,6.58,6.61,6.16,6.42,406000,0.0,0.0
1998-08-04,6.4,6.45,6.21,6.4,896000,0.0,0.0
1998-08-05,6.4,6.4,6.1,6.29,1123600,0.0,0.0
1998-08-06,6.16,6.4,6.13,6.38,417200,0.0,0.0
1998-08-07,6.4,6.95,6.34,6.93,1068800,0.0,0.0
1998-08-10,6.93,7.03,6.77,6.9,410400,0.0,0.0
1998-08-11,6.26,6.85,6.18,6.79,509200,0.0,0.0
1998-08-12,6.85,6.85,6.33,6.45,552000,0.0,0.0
1998-08-13,6.32,6.42,6.32,6.4,439200,0.0,0.0
1998-08-14,6.37,6.37,5.9,6.06,1964800,0.0,0.0
1998-08-17,6.0,6.1,5.63,5.84,1418000,0.0,0.0
1998-08-18,5.89,6.71,5.86,6.69,1574400,0.0,0.0
1998-08-19,6.69,7.3,6.65,7.03,1806800,0.0,0.0
