Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-11-21,1.36,1.36,1.26,1.35,5020600,0.0,0.0
1983-11-22,1.35,1.37,1.34,1.35,2666700,0.0,0.0
1983-11-23,1.35,1.35,1.33,1.34,1151900,0.0,0.0
1983-11-25,1.34,1.34,1.32,1.32,1771800,0.0,0.0
1983-11-28,1.32,1.32,1.28,1.29,2367800,0.0,0.0
1983-11-29,1.29,1.29,1.27,1.27,1630400,0.0,0.0
1983-11-30,1.27,1.28,1.27,1.27,2423100,0.0,0.0
1983-12-01,1.27,1.28,1.27,1.27,6249000,0.0,0.0
1983-12-02,1.27,1.29,1.26,1.27,1763800,0.0,0.0
1983-12-05,1.27,1.27,1.26,1.26,1084300,0.0,0.0
1983-12-06,1.26,1.27,1.26,1.26,2176500,0.0,0.0
1983-12-07,1.26,1.28,1.26,1.27,4855900,0.0,0.0
1983-12-08,1.27,1.28,1.27,1.28,7360000,0.0,0.0
1983-12-09,1.28,1.29,1.28,1.28,5222400,0.0,0.0
1983-12-12,1.28,1.29,1.28,1.28,2834900,0.0,0.0
1983-12-13,1.28,1.3,1.28,1.3,6692900,0.0,0.0
1983-12-14,1.3,1.31,1.3,1.3,2520800,0.0,0.0
1983-12-15,1.3,1.3,1.29,1.29,2323400,0.0,0.0
1983-12-16,1.29,1.31,1.29,1.3,2452400,0.0,0.0
1983-12-19,1.3,1.3,1.3,1.3,1610800,0.0,0.0
1983-12-20,1.3,1.3,1.29,1.29,1937400,0.0,0.0
1983-12-21,1.29,1.29,1.28,1.28,1935600,0.0,0.0
1983-12-22,1.28,1.28,1.27,1.27,4871100,0.0,0.0
1983-12-23,1.27,1.27,1.26,1.26,2338500,0.0,0.0
1983-12-27,1.26,1.26,1.25,1.25,3004800,0.0,0.0
1983-12-28,1.25,1.26,1.25,1.26,4580100,0.0,0.0
1983-12-29,1.26,1.27,1.26,1.26,2998600,0.0,0.0
1983-12-30,1.26,1.26,1.25,1.25,1745100,0.0,0.0
1984-01-03,1.26,1.29,1.26,1.29,1973700,0.0,0.0
1984-01-04,1.3,1.35,1.3,1.33,3632800,0.0,0.0
1984-01-05,1.34,1.37,1.34,1.34,3759100,0.0,0.0
1984-01-06,1.34,1.37,1.34,1.36,4508100,0.0,0.0
1984-01-09,1.36,1.36,1.35,1.35,1791400,0.0,0.0
1984-01-10,1.35,1.35,1.34,1.35,1571700,0.0,0.0
1984-01-11,1.35,1.36,1.35,1.35,1258500,0.0,0.0
1984-01-12,1.35,1.36,1.35,1.36,1421300,0.0,0.0
1984-01-13,1.37,1.39,1.37,1.37,3148000,0.0,0.0
1984-01-16,1.38,1.41,1.38,1.39,2448900,0.0,0.0
