Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-12,28.53,29.48,27.67,28.7,3894400,0.0,0.0
2001-06-13,28.62,28.88,28.53,28.62,758000,0.0,0.0
2001-06-14,28.53,28.53,27.67,28.01,501000,0.0,0.0
2001-06-15,27.92,28.44,27.67,28.44,382800,0.0,0.0
2001-06-18,29.39,30.09,28.62,29.46,358300,0.0,0.0
2001-06-19,29.39,30.0,28.96,30.0,232800,0.0,0.0
2001-06-20,30.09,31.99,30.09,30.78,176100,0.0,0.0
2001-06-21,30.78,31.12,30.69,30.78,79100,0.0,0.0
2001-06-22,30.74,30.74,30.0,30.22,109800,0.0,0.0
2001-06-25,29.83,31.12,28.53,30.52,142500,0.0,0.0
2001-06-26,30.4,30.4,29.36,29.39,109300,0.0,0.0
2001-06-27,29.39,30.17,28.96,29.91,96100,0.0,0.0
2001-06-28,30.26,30.86,30.09,30.26,102500,0.0,0.0
2001-06-29,30.26,31.04,29.83,30.69,222800,0.0,0.0
2001-07-02,30.69,30.78,29.83,30.26,46300,0.0,0.0
2001-07-03,30.52,30.52,29.83,30.09,54300,0.0,0.0
2001-07-05,30.26,30.85,30.09,30.73,74800,0.0,0.0
2001-07-06,30.71,30.86,30.52,30.66,60500,0.0,0.0
2001-07-09,30.43,30.43,29.39,29.57,117300,0.0,0.0
2001-07-10,29.65,29.76,28.96,29.22,148900,0.0,0.0
2001-07-11,29.48,30.69,29.15,29.83,151900,0.0,0.0
2001-07-12,29.83,30.26,29.13,29.17,198900,0.0,0.0
2001-07-13,29.15,29.83,29.15,29.83,112200,0.0,0.0
2001-07-16,29.91,30.05,29.83,30.0,48800,0.0,0.0
2001-07-17,30.0,30.26,29.22,30.0,64900,0.0,0.0
2001-07-18,29.91,29.91,29.39,29.65,80500,0.0,0.0
2001-07-19,29.39,29.57,29.05,29.39,128200,0.0,0.0
2001-07-20,29.31,29.39,29.17,29.31,38700,0.0,0.0
2001-07-23,29.31,29.31,29.13,29.31,59900,0.0,0.0
2001-07-24,29.31,29.31,28.18,28.36,221400,0.0,0.0
2001-07-25,28.18,28.18,26.8,28.1,371700,0.0,0.0
2001-07-26,28.1,28.7,28.1,28.46,96100,0.0,0.0
2001-07-27,28.53,29.74,28.53,29.74,118800,0.0,0.0
2001-07-30,29.48,30.24,29.39,29.39,91200,0.0,0.0
2001-07-31,30.26,30.69,29.22,29.83,267200,0.0,0.0
2001-08-01,30.0,30.26,29.86,29.86,139500,0.0,0.0
2001-08-02,29.86,29.91,28.79,28.96,153100,0.0,0.0
2001-08-03,28.96,30.69,28.96,30.52,177000,0.0,0.0
2001-08-06,30.69,31.12,30.54,31.12,46500,0.0,0.0
2001-08-07,30.95,31.21,30.26,30.26,130000,0.0,0.0
2001-08-08,30.43,30.43,29.74,30.35,67300,0.0,0.0
2001-08-09,30.26,30.35,29.83,30.1,58600,0.0,0.0
2001-08-10,30.1,30.6,30.1,30.6,25700,0.0,0.0
2001-08-13,30.43,31.56,30.35,30.97,34900,0.0,0.0
2001-08-14,30.86,31.99,30.86,31.38,72000,0.0,0.0
2001-08-15,31.64,31.64,31.12,31.56,61400,0.0,0.0
2001-08-16,31.56,31.92,31.4,31.83,68700,0.0,0.0
2001-08-17,31.81,32.45,31.81,32.16,9200,0.0,0.0
2001-08-20,32.42,33.72,32.42,33.72,174900,0.0,0.0
2001-08-21,33.28,33.46,32.85,32.94,108000,0.0,0.0
2001-08-22,33.2,34.93,33.2,34.49,180200,0.0,0.0
2001-08-23,34.58,34.58,34.06,34.06,44300,0.0,0.0
2001-08-24,33.63,33.63,33.03,33.2,154300,0.0,0.0
2001-08-27,33.28,33.37,32.68,32.85,59500,0.0,0.0
2001-08-28,32.85,32.94,32.45,32.85,99900,0.0,0.0
2001-08-29,32.85,33.03,32.42,32.85,127000,0.0,0.0
2001-08-30,32.94,33.03,32.42,32.45,31200,0.0,0.0
2001-08-31,32.51,32.77,32.51,32.52,15700,0.0,0.0
2001-09-04,32.42,32.49,31.81,32.25,48800,0.0,0.0
2001-09-05,32.16,32.16,31.73,31.73,55500,0.0,0.0
2001-09-06,31.57,31.61,31.05,31.05,6900,0.0,0.0
2001-09-07,30.78,31.33,30.6,30.71,38700,0.0,0.0
2001-09-10,30.78,30.78,30.28,30.43,74400,0.0,0.0
2001-09-17,30.0,35.45,30.0,33.28,726000,0.0,0.0
2001-09-18,33.72,34.06,33.72,33.89,319400,0.0,0.0
2001-09-19,34.06,35.01,33.72,35.01,222400,0.0,0.0
2001-09-20,35.19,38.9,35.19,37.0,409000,0.0,0.0
2001-09-21,37.18,38.04,35.53,35.96,307700,0.0,0.0
2001-09-24,36.31,36.66,35.96,36.31,167500,0.0,0.0
2001-09-25,36.66,37.18,36.14,36.4,120900,0.0,0.0
2001-09-26,37.0,38.71,36.92,38.45,345000,0.0,0.0
2001-09-27,40.2,42.52,39.6,41.41,369500,0.0,0.0
2001-09-28,41.67,42.17,40.22,40.44,141100,0.0,0.0
2001-10-01,39.77,40.37,39.3,39.91,102700,0.0,0.0
2001-10-02,38.9,39.94,38.4,39.25,139400,0.0,0.0
2001-10-03,39.6,41.41,39.6,40.13,320800,0.0,0.0
2001-10-04,40.29,40.63,39.25,39.92,148800,0.0,0.0
2001-10-05,39.94,40.63,39.53,40.55,131200,0.0,0.0
2001-10-08,40.56,40.56,39.6,39.98,45500,0.0,0.0
2001-10-09,39.99,40.29,39.77,39.77,80400,0.0,0.0
2001-10-10,39.94,41.31,39.94,40.74,212000,0.0,0.0
2001-10-11,41.15,41.48,40.55,40.62,55200,0.0,0.0
2001-10-12,40.46,40.81,39.25,40.46,81600,0.0,0.0
2001-10-15,40.03,40.05,38.75,39.42,40800,0.0,0.0
2001-10-16,39.44,41.5,38.51,38.82,50600,0.0,0.0
2001-10-17,38.04,38.9,38.04,38.89,71200,0.0,0.0
2001-10-18,38.58,40.11,38.39,40.05,101200,0.0,0.0
2001-10-19,40.05,40.79,39.94,40.29,47700,0.0,0.0
2001-10-22,40.72,43.76,40.72,42.88,110600,0.0,0.0
2001-10-23,43.57,43.57,42.71,42.79,81400,0.0,0.0
2001-10-24,42.79,42.79,40.98,41.17,130500,0.0,0.0
2001-10-25,41.19,41.91,40.49,41.91,145600,0.0,0.0
2001-10-26,42.54,43.4,41.93,43.26,141600,0.0,0.0
2001-10-29,44.09,45.46,42.79,43.23,125500,0.0,0.0
2001-10-30,41.07,41.07,39.34,40.18,201800,0.0,0.0
2001-10-31,40.46,40.63,39.77,40.27,271000,0.0,0.0
2001-11-01,40.29,40.29,39.79,40.29,49000,0.0,0.0
2001-11-02,40.63,41.57,40.22,41.5,118400,0.0,0.0
2001-11-05,41.67,42.92,41.58,42.36,70100,0.0,0.0
2001-11-06,42.36,43.19,42.02,43.04,50100,0.0,0.0
2001-11-07,43.23,44.44,42.41,43.24,270100,0.0,0.0
2001-11-08,43.4,43.4,41.32,42.59,270400,0.0,0.0
2001-11-09,41.5,41.5,39.68,39.77,3009600,0.0,0.0
2001-11-12,39.86,40.03,37.94,40.03,649500,0.0,0.0
2001-11-13,40.2,41.19,39.79,40.63,644500,0.0,0.0
2001-11-14,40.81,41.07,39.8,39.87,161300,0.0,0.0
2001-11-15,39.94,40.46,39.6,39.77,139900,0.0,0.0
2001-11-16,39.77,40.01,38.9,39.16,185400,0.0,0.0
2001-11-19,39.34,39.68,37.69,38.39,195700,0.0,0.0
2001-11-20,38.39,38.9,38.39,38.39,268300,0.0,0.0
2001-11-21,38.39,39.25,38.39,38.64,204400,0.0,0.0
2001-11-23,38.9,40.34,38.73,40.18,55600,0.0,0.0
2001-11-26,40.55,40.62,39.68,40.46,179300,0.0,0.0
2001-11-27,40.46,41.24,40.46,40.98,132700,0.0,0.0
2001-11-28,40.98,40.98,39.94,40.32,79100,0.0,0.0
2001-11-29,40.18,41.27,40.18,41.26,107000,0.0,0.0
2001-11-30,41.32,41.32,40.72,40.94,105700,0.0,0.0
2001-12-03,40.63,41.22,39.54,40.72,44700,0.0,0.0
2001-12-04,40.81,41.32,40.55,41.05,103500,0.0,0.0
2001-12-05,41.46,41.58,40.65,40.75,202800,0.0,0.0
2001-12-06,40.74,41.24,40.2,41.15,121600,0.0,0.0
2001-12-07,41.5,41.5,40.37,40.55,255300,0.0,0.0
2001-12-10,39.86,40.53,39.68,39.94,115000,0.0,0.0
2001-12-11,39.77,41.22,39.61,40.37,283400,0.0,0.0
2001-12-12,40.37,40.63,39.94,40.29,287200,0.0,0.0
2001-12-13,40.13,40.7,39.94,40.44,109800,0.0,0.0
2001-12-14,40.44,41.05,39.96,40.2,238600,0.0,0.0
2001-12-17,39.86,40.37,39.08,39.94,263400,0.0,0.0
2001-12-18,39.6,40.11,39.6,39.86,90500,0.0,0.0
2001-12-19,39.8,40.72,39.79,40.6,364200,0.0,0.0
2001-12-20,40.46,41.03,40.37,40.7,120200,0.0,0.0
2001-12-21,40.63,40.79,39.6,39.86,116800,0.0,0.0
2001-12-24,39.42,40.29,39.42,39.92,37600,0.0,0.0
2001-12-26,39.6,40.06,39.34,39.77,106200,0.0,0.0
2001-12-27,39.94,40.1,39.42,40.03,159700,0.0,0.0
2001-12-28,39.77,40.62,39.77,40.46,165100,0.0,0.0
2001-12-31,40.55,40.81,40.39,40.72,268200,0.0,0.0
2002-01-02,40.72,40.89,40.29,40.63,153100,0.0,0.0
