Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-06-22,0.0,2.89,2.81,2.81,18200,0.0,0
1988-06-23,0.0,2.74,2.58,2.58,51100,0.0,0
1988-06-24,0.0,2.66,2.66,2.66,11800,0.0,0
1988-06-27,0.0,2.66,2.58,2.58,13200,0.0,0
1988-06-28,0.0,2.58,2.43,2.43,16200,0.0,0
1988-06-29,0.0,2.58,2.51,2.51,8900,0.0,0
1988-06-30,0.0,2.74,2.66,2.66,47300,0.0,0
1988-07-01,0.0,2.96,2.89,2.89,29100,0.0,0
1988-07-05,0.0,2.96,2.81,2.81,14000,0.0,0
1988-07-06,0.0,2.81,2.74,2.74,20000,0.0,0
1988-07-07,0.0,2.81,2.74,2.74,6900,0.0,0
1988-07-08,0.0,2.74,2.66,2.66,9300,0.0,0
1988-07-11,0.0,2.74,2.66,2.66,31400,0.0,0
1988-07-12,0.0,2.81,2.66,2.66,3600,0.0,0
1988-07-13,0.0,2.81,2.74,2.74,2800,0.0,0
1988-07-14,0.0,2.81,2.66,2.66,26400,0.0,0
1988-07-15,0.0,2.81,2.66,2.66,13000,0.0,0
1988-07-18,0.0,2.74,2.58,2.58,10500,0.0,0
1988-07-19,0.0,2.66,2.51,2.51,7500,0.0,0
1988-07-20,0.0,2.51,2.36,2.36,31400,0.0,0
1988-07-21,0.0,2.51,2.43,2.43,13200,0.0,0
1988-07-22,0.0,2.51,2.36,2.36,21100,0.0,0
1988-07-25,0.0,2.51,2.36,2.36,2000,0.0,0
1988-07-26,0.0,2.43,2.36,2.36,26900,0.0,0
1988-07-27,0.0,2.43,2.36,2.36,1900,0.0,0
1988-07-28,0.0,2.43,2.36,2.36,10300,0.0,0
1988-07-29,0.0,2.43,2.36,2.36,14200,0.0,0
1988-08-01,0.0,2.51,2.43,2.43,19700,0.0,0
1988-08-02,0.0,2.51,2.36,2.36,17500,0.0,0
1988-08-03,0.0,2.43,2.28,2.28,33600,0.0,0
1988-08-04,0.0,2.36,2.2,2.2,1300,0.0,0
1988-08-05,0.0,2.36,2.28,2.28,2900,0.0,0
1988-08-08,0.0,2.36,2.28,2.28,9400,0.0,0
1988-08-09,0.0,2.2,2.13,2.13,26000,0.0,0
1988-08-10,0.0,2.05,1.98,1.98,41100,0.0,0
1988-08-11,0.0,2.13,2.05,2.05,8900,0.0,0
1988-08-12,0.0,2.13,2.05,2.05,2000,0.0,0
1988-08-15,0.0,2.05,1.98,1.98,12500,0.0,0
1988-08-16,0.0,2.05,1.9,1.9,13700,0.0,0
1988-08-17,0.0,1.75,1.67,1.67,43200,0.0,0
1988-08-18,0.0,1.75,1.67,1.67,15500,0.0,0
1988-08-19,0.0,1.75,1.67,1.67,13400,0.0,0
1988-08-22,0.0,1.67,1.6,1.6,12400,0.0,0
1988-08-23,0.0,1.75,1.67,1.67,21500,0.0,0
1988-08-24,0.0,1.67,1.6,1.6,5500,0.0,0
1988-08-25,0.0,1.67,1.6,1.6,800,0.0,0
1988-08-26,0.0,1.75,1.75,1.75,14500,0.0,0
1988-08-29,0.0,1.75,1.67,1.67,3900,0.0,0
1988-08-30,0.0,1.75,1.67,1.67,1000,0.0,0
1988-08-31,0.0,1.75,1.67,1.67,6200,0.0,0
1988-09-01,1.67,1.67,1.67,1.67,0,0.0,0
1988-09-02,0.0,1.75,1.67,1.67,400,0.0,0
1988-09-06,0.0,1.75,1.67,1.67,7300,0.0,0
1988-09-07,0.0,1.52,1.44,1.44,16400,0.0,0
1988-09-08,0.0,1.82,1.75,1.75,102000,0.0,0
1988-09-09,0.0,1.98,1.98,1.98,143900,0.0,0
1988-09-12,0.0,1.98,1.9,1.9,10300,0.0,0
1988-09-13,0.0,1.82,1.75,1.75,15500,0.0,0
1988-09-14,0.0,1.9,1.82,1.82,18700,0.0,0
1988-09-15,0.0,1.82,1.82,1.82,11100,0.0,0
1988-09-16,0.0,1.9,1.9,1.9,11500,0.0,0
1988-09-19,0.0,1.9,1.82,1.82,13100,0.0,0
1988-09-20,0.0,1.9,1.82,1.82,7000,0.0,0
1988-09-21,0.0,1.9,1.82,1.82,6700,0.0,0
1988-09-22,0.0,1.82,1.75,1.75,9900,0.0,0
1988-09-23,0.0,1.82,1.75,1.75,5900,0.0,0
1988-09-26,0.0,1.82,1.75,1.75,2300,0.0,0
1988-09-27,0.0,1.82,1.67,1.67,12400,0.0,0
1988-09-28,0.0,1.82,1.67,1.67,2500,0.0,0
1988-09-29,0.0,1.75,1.67,1.67,5600,0.0,0
1988-09-30,0.0,1.67,1.6,1.6,17600,0.0,0
1988-10-03,0.0,1.67,1.52,1.52,15500,0.0,0
1988-10-04,0.0,1.67,1.6,1.6,2900,0.0,0
