Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.33,0.31,0.31,48000,0.0,0.0
1980-03-18,0.0,0.33,0.31,0.31,28800,0.0,0.0
1980-03-19,0.0,0.33,0.31,0.31,22400,0.0,0.0
1980-03-20,0.0,0.33,0.31,0.31,14400,0.0,0.0
1980-03-21,0.0,0.33,0.31,0.31,17600,0.0,0.0
1980-03-24,0.0,0.33,0.31,0.31,41600,0.0,0.0
1980-03-25,0.0,0.32,0.3,0.3,16000,0.0,0.0
1980-03-26,0.0,0.32,0.3,0.3,38400,0.0,0.0
1980-03-27,0.0,0.29,0.28,0.28,65600,0.0,0.0
1980-03-28,0.0,0.3,0.28,0.28,46400,0.0,0.0
1980-03-31,0.0,0.31,0.29,0.29,22400,0.0,0.0
1980-04-01,0.0,0.31,0.29,0.29,33600,0.0,0.0
1980-04-02,0.0,0.31,0.29,0.29,16000,0.0,0.0
1980-04-03,0.0,0.31,0.29,0.29,9600,0.0,0.0
1980-04-07,0.0,0.31,0.29,0.29,11200,0.0,0.0
1980-04-08,0.0,0.3,0.28,0.28,72000,0.0,0.0
1980-04-09,0.0,0.31,0.29,0.29,27200,0.0,0.0
1980-04-10,0.0,0.33,0.31,0.31,115200,0.0,0.0
1980-04-11,0.0,0.34,0.32,0.32,83200,0.0,0.0
1980-04-14,0.0,0.33,0.31,0.31,38400,0.0,0.0
1980-04-15,0.0,0.33,0.31,0.31,94400,0.0,0.0
1980-04-16,0.0,0.33,0.31,0.31,51200,0.0,0.0
1980-04-17,0.0,0.33,0.31,0.31,46400,0.0,0.0
1980-04-18,0.0,0.33,0.31,0.31,64000,0.0,0.0
1980-04-21,0.0,0.33,0.31,0.31,36800,0.0,0.0
1980-04-22,0.0,0.33,0.31,0.31,12800,0.0,0.0
1980-04-23,0.0,0.33,0.31,0.31,20800,0.0,0.0
1980-04-24,0.0,0.33,0.31,0.31,3200,0.0,0.0
1980-04-25,0.0,0.32,0.3,0.3,62400,0.0,0.0
1980-04-28,0.0,0.33,0.31,0.31,27200,0.0,0.0
1980-04-29,0.0,0.33,0.31,0.31,60800,0.0,0.0
1980-04-30,0.0,0.33,0.31,0.31,60800,0.0,0.0
1980-05-01,0.0,0.32,0.3,0.3,32000,0.0,0.0
1980-05-02,0.0,0.31,0.29,0.29,32000,0.0,0.0
1980-05-05,0.0,0.31,0.29,0.29,44800,0.0,0.0
1980-05-06,0.0,0.31,0.29,0.29,8000,0.0,0.0
1980-05-07,0.0,0.34,0.32,0.32,192000,0.0,0.0
1980-05-08,0.0,0.34,0.32,0.32,83200,0.0,0.0
1980-05-09,0.0,0.34,0.32,0.32,30400,0.0,0.0
1980-05-12,0.0,0.34,0.32,0.32,14400,0.0,0.0
1980-05-13,0.0,0.35,0.33,0.33,16000,0.0,0.0
1980-05-14,0.0,0.35,0.33,0.33,91200,0.0,0.0
1980-05-15,0.0,0.35,0.33,0.33,52800,0.0,0.0
1980-05-16,0.0,0.35,0.33,0.33,35200,0.0,0.0
1980-05-19,0.0,0.34,0.32,0.32,32000,0.0,0.0
1980-05-20,0.0,0.34,0.32,0.32,20800,0.0,0.0
1980-05-21,0.0,0.34,0.32,0.32,28800,0.0,0.0
1980-05-22,0.0,0.34,0.32,0.32,344000,0.0,0.0
1980-05-23,0.0,0.34,0.32,0.32,28800,0.0,0.0
1980-05-27,0.0,0.35,0.33,0.33,43200,0.0,0.0
1980-05-28,0.0,0.35,0.33,0.33,49600,0.0,0.0
1980-05-29,0.0,0.34,0.32,0.32,25600,0.0,0.0
1980-05-30,0.0,0.34,0.32,0.32,11200,0.0,0.0
1980-06-02,0.0,0.34,0.32,0.32,25600,0.0,0.0
1980-06-03,0.0,0.35,0.33,0.33,96000,0.0,0.0
1980-06-04,0.0,0.35,0.33,0.33,155200,0.0,0.0
1980-06-05,0.0,0.35,0.33,0.33,32000,0.0,0.0
1980-06-06,0.0,0.35,0.33,0.33,49600,0.0,0.0
1980-06-09,0.0,0.35,0.33,0.33,41600,0.0,0.0
1980-06-10,0.0,0.35,0.33,0.33,11200,0.0,0.0
1980-06-11,0.0,0.35,0.33,0.33,43200,0.0,0.0
1980-06-12,0.0,0.35,0.33,0.33,59200,0.0,0.0
1980-06-13,0.0,0.35,0.33,0.33,52800,0.0,0.0
1980-06-16,0.0,0.36,0.34,0.34,35200,0.0,0.0
1980-06-17,0.0,0.35,0.33,0.33,49600,0.0,0.0
1980-06-18,0.0,0.35,0.33,0.33,49600,0.0,0.0
1980-06-19,0.0,0.35,0.33,0.33,36800,0.0,0.0
1980-06-20,0.0,0.35,0.33,0.33,73600,0.0,0.0
1980-06-23,0.0,0.36,0.34,0.34,52800,0.0,0.0
1980-06-24,0.0,0.36,0.34,0.34,40000,0.0,0.0
1980-06-25,0.0,0.36,0.35,0.35,57600,0.0,0.0
1980-06-26,0.0,0.36,0.35,0.35,32000,0.0,0.0
1980-06-27,0.0,0.37,0.35,0.35,67200,0.0,0.0
1980-06-30,0.0,0.36,0.34,0.34,150400,0.0,0.0
1980-07-01,0.0,0.36,0.35,0.35,44800,0.0,0.0
1980-07-02,0.0,0.37,0.35,0.35,30400,0.0,0.0
1980-07-03,0.0,0.37,0.35,0.35,32000,0.0,0.0
1980-07-07,0.0,0.36,0.35,0.35,32000,0.0,0.0
1980-07-08,0.0,0.36,0.35,0.35,12800,0.0,0.0
1980-07-09,0.0,0.36,0.35,0.35,16000,0.0,0.0
1980-07-10,0.0,0.35,0.34,0.34,70400,0.0,0.0
1980-07-11,0.0,0.35,0.34,0.34,51200,0.0,0.0
1980-07-14,0.0,0.34,0.33,0.33,94400,0.0,0.0
1980-07-15,0.0,0.34,0.33,0.33,88000,0.0,0.0
1980-07-16,0.0,0.35,0.33,0.33,78400,0.0,0.0
1980-07-17,0.0,0.38,0.36,0.36,164800,0.0,0.0
1980-07-18,0.0,0.39,0.38,0.38,83200,0.0,0.0
1980-07-21,0.0,0.38,0.38,0.38,192000,0.0,0.0
1980-07-22,0.0,0.38,0.37,0.37,73600,0.0,0.0
1980-07-23,0.0,0.43,0.41,0.41,132800,0.0,0.0
1980-07-24,0.0,0.41,0.4,0.4,243200,0.0,0.0
1980-07-25,0.0,0.4,0.38,0.38,44800,0.0,0.0
1980-07-28,0.0,0.38,0.37,0.37,144000,0.0,0.0
1980-07-29,0.0,0.41,0.4,0.4,332800,0.0,0.0
1980-07-30,0.0,0.41,0.4,0.4,89600,0.0,0.0
1980-07-31,0.0,0.41,0.4,0.4,67200,0.0,0.0
1980-08-01,0.0,0.4,0.38,0.38,27200,0.0,0.0
1980-08-04,0.0,0.4,0.39,0.39,92800,0.0,0.0
1980-08-05,0.0,0.4,0.39,0.39,44800,0.0,0.0
1980-08-06,0.0,0.42,0.41,0.41,144000,0.0,0.0
1980-08-07,0.41,0.41,0.41,0.41,0,0.0,0.0
1980-08-08,0.0,0.42,0.4,0.4,38400,0.0,0.0
1980-08-11,0.0,0.42,0.4,0.4,51200,0.0,0.0
1980-08-12,0.0,0.45,0.43,0.43,569600,0.0,0.0
1980-08-13,0.0,0.47,0.45,0.45,598400,0.0,0.0
1980-08-14,0.0,0.46,0.45,0.45,224000,0.0,0.0
1980-08-15,0.0,0.46,0.44,0.44,43200,0.0,0.0
1980-08-18,0.0,0.45,0.43,0.43,65600,0.0,0.0
1980-08-19,0.0,0.43,0.41,0.41,124800,0.0,0.0
1980-08-20,0.0,0.43,0.41,0.41,260800,0.0,0.0
1980-08-21,0.0,0.42,0.41,0.41,321600,0.0,0.0
1980-08-22,0.0,0.43,0.43,0.43,777600,0.0,0.0
1980-08-25,0.0,0.44,0.43,0.43,297600,0.0,0.0
1980-08-26,0.0,0.46,0.45,0.45,784000,0.0,0.0
1980-08-27,0.0,0.46,0.45,0.45,320000,0.0,0.0
1980-08-28,0.0,0.46,0.45,0.45,492800,0.0,0.0
1980-08-29,0.0,0.46,0.45,0.45,177600,0.0,0.0
1980-09-02,0.0,0.48,0.48,0.48,329600,0.0,0.0
1980-09-03,0.0,0.5,0.5,0.5,672000,0.0,0.0
1980-09-04,0.0,0.49,0.48,0.48,604800,0.0,0.0
1980-09-05,0.0,0.5,0.48,0.48,180800,0.0,0.0
1980-09-08,0.0,0.49,0.48,0.48,164800,0.0,0.0
1980-09-09,0.0,0.48,0.47,0.47,84800,0.0,0.0
1980-09-10,0.0,0.51,0.5,0.5,475200,0.0,0.0
1980-09-11,0.0,0.53,0.51,0.51,579200,0.0,0.0
1980-09-12,0.0,0.53,0.51,0.51,425600,0.0,0.0
1980-09-15,0.0,0.52,0.51,0.51,262400,0.0,0.0
1980-09-16,0.0,0.54,0.53,0.53,446400,0.0,0.0
1980-09-17,0.0,0.56,0.55,0.55,700800,0.0,0.0
1980-09-18,0.0,0.54,0.53,0.53,299200,0.0,0.0
1980-09-19,0.0,0.55,0.54,0.54,155200,0.0,0.0
1980-09-22,0.0,0.55,0.54,0.54,64000,0.0,0.0
1980-09-23,0.0,0.53,0.52,0.52,187200,0.0,0.0
1980-09-24,0.0,0.53,0.52,0.52,67200,0.0,0.0
1980-09-25,0.0,0.52,0.51,0.51,107200,0.0,0.0
1980-09-26,0.0,0.51,0.5,0.5,60800,0.0,0.0
1980-09-29,0.0,0.49,0.48,0.48,89600,0.0,0.0
1980-09-30,0.0,0.5,0.48,0.48,307200,0.0,0.0
1980-10-01,0.0,0.49,0.48,0.48,144000,0.0,0.0
1980-10-02,0.0,0.5,0.48,0.48,88000,0.0,0.0
1980-10-03,0.0,0.53,0.51,0.51,121600,0.0,0.0
1980-10-06,0.0,0.55,0.53,0.53,91200,0.0,0.0
1980-10-07,0.0,0.55,0.53,0.53,244800,0.0,0.0
1980-10-08,0.0,0.55,0.53,0.53,97600,0.0,0.0
1980-10-09,0.0,0.54,0.53,0.53,176000,0.0,0.0
1980-10-10,0.0,0.54,0.53,0.53,20800,0.0,0.0
1980-10-13,0.0,0.54,0.52,0.52,80000,0.0,0.0
1980-10-14,0.0,0.53,0.51,0.51,67200,0.0,0.0
1980-10-15,0.0,0.53,0.51,0.51,41600,0.0,0.0
1980-10-16,0.0,0.52,0.5,0.5,84800,0.0,0.0
1980-10-17,0.0,0.52,0.5,0.5,54400,0.0,0.0
1980-10-20,0.0,0.53,0.51,0.51,65600,0.0,0.0
1980-10-21,0.0,0.51,0.5,0.5,75200,0.0,0.0
1980-10-22,0.0,0.53,0.51,0.51,41600,0.0,0.0
1980-10-23,0.0,0.51,0.49,0.49,36800,0.0,0.0
1980-10-24,0.0,0.51,0.49,0.49,89600,0.0,0.0
1980-10-27,0.0,0.51,0.49,0.51,227200,0.0,0.0
1980-10-28,0.0,0.51,0.5,0.51,102400,0.0,0.0
1980-10-29,0.0,0.53,0.51,0.53,91200,0.0,0.0
1980-10-30,0.0,0.53,0.52,0.52,107200,0.0,0.0
1980-10-31,0.0,0.52,0.52,0.52,36800,0.0,0.0
1980-11-03,0.0,0.53,0.51,0.51,52800,0.0,0.0
1980-11-05,0.0,0.54,0.52,0.52,102400,0.0,0.0
