Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-10-02,14.05,14.7,14.03,14.46,7111800,0.0,0
2006-10-03,14.56,14.67,14.37,14.64,11416000,0.0,0
2006-10-04,14.64,14.68,14.27,14.48,10722800,0.0,0
2006-10-05,14.6,14.6,14.34,14.38,8782400,0.0,0
2006-10-06,14.42,14.48,14.14,14.33,6282100,0.0,0
2006-10-09,14.57,14.61,14.28,14.44,3518000,0.0,0
2006-10-10,14.33,14.51,14.27,14.43,6132200,0.0,0
2006-10-11,14.41,14.41,14.11,14.14,9504800,0.0,0
2006-10-12,14.22,14.22,13.87,13.93,8323700,0.0,0
2006-10-13,13.91,13.92,13.59,13.81,10659500,0.0,0
2006-10-16,13.95,14.07,13.7,13.72,9966300,0.0,0
2006-10-17,13.54,13.67,13.44,13.6,4902400,0.0,0
2006-10-18,13.58,14.0,13.58,13.91,6600200,0.0,0
2006-10-19,14.2,14.46,14.05,14.27,8959200,0.0,0
2006-10-20,14.35,14.64,14.23,14.37,5712600,0.0,0
2006-10-23,14.39,14.55,14.01,14.33,6780900,0.0,0
2006-10-24,14.64,15.37,14.57,14.6,14763500,0.0,0
2006-10-25,14.68,16.25,14.68,15.99,11829500,0.0,0
2006-10-26,15.9,16.87,15.85,16.35,13490500,0.0,0
2006-10-27,16.18,16.35,15.75,16.07,4564700,0.0,0
2006-10-30,16.09,16.25,15.7,16.18,5795000,0.0,0
2006-10-31,16.46,16.68,15.97,16.14,4165200,0.0,0
2006-11-01,16.21,16.53,16.06,16.08,8517800,0.0,0
2006-11-02,15.87,16.16,15.69,15.98,7359000,0.0,0
2006-11-03,16.16,16.32,15.62,15.77,4821000,0.0,0
2006-11-06,16.14,16.4,15.95,16.27,5462100,0.0,0
2006-11-07,16.2,16.79,16.2,16.47,5057500,0.0,0
2006-11-08,16.4,16.75,16.27,16.56,4660200,0.0,0
2006-11-09,16.54,17.24,16.47,17.04,8630700,0.0,0
2006-11-10,17.04,17.2,16.66,16.71,4421300,0.0,0
2006-11-13,16.98,17.16,16.75,17.01,5379500,0.0,0
2006-11-14,17.19,17.24,16.76,17.14,4358300,0.0,0
2006-11-15,17.3,17.42,17.06,17.09,4149900,0.0,0
2006-11-16,17.2,17.42,16.91,16.92,4629000,0.0,0
2006-11-17,16.82,16.98,16.58,16.6,4082900,0.0,0
2006-11-20,16.6,16.7,16.26,16.48,3844400,0.0,0
2006-11-21,16.57,16.72,16.5,16.51,4081200,0.0,0
2006-11-22,16.43,16.59,16.37,16.5,2753500,0.0,0
2006-11-24,16.49,16.51,16.37,16.37,886000,0.0,0
2006-11-27,16.23,16.38,15.9,15.99,4876600,0.0,0
2006-11-28,15.86,16.47,15.73,15.83,4878100,0.0,0
