Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,4.13,4.23,4.04,4.18,116700,0.0,0.0
1973-05-04,4.29,4.37,4.29,4.31,256800,0.0,0.0
1973-05-07,4.31,4.32,4.28,4.29,55800,0.0,0.0
1973-05-08,4.29,4.29,4.25,4.29,80100,0.0,0.0
1973-05-09,4.29,4.34,4.28,4.31,66900,0.0,0.0
1973-05-10,4.31,4.31,4.25,4.25,61800,0.0,0.0
1973-05-11,4.25,4.25,4.14,4.2,76500,0.0,0.0
1973-05-14,4.14,4.14,4.09,4.13,46200,0.0,0.0
1973-05-15,4.13,4.18,4.09,4.18,90300,0.0,0.0
1973-05-16,4.18,4.23,4.18,4.23,39900,0.0,0.0
1973-05-17,4.23,4.23,4.17,4.23,56100,0.0,0.0
1973-05-18,4.22,4.22,4.13,4.2,85200,0.0,0.0
1973-05-21,4.18,4.18,4.12,4.13,138300,0.0,0.0
1973-05-22,4.13,4.18,4.13,4.13,51300,0.0,0.0
1973-05-23,4.14,4.21,4.14,4.2,91500,0.0,0.0
1973-05-24,4.2,4.3,4.2,4.3,45300,0.0,0.0
1973-05-25,4.31,4.4,4.31,4.37,82800,0.0,0.0
1973-05-29,4.34,4.34,4.23,4.23,25500,0.0,0.0
1973-05-30,4.23,4.23,4.21,4.23,16800,0.0,0.0
1973-05-31,4.2,4.2,4.13,4.13,82800,0.0,0.0
1973-06-01,4.13,4.2,4.1,4.15,70800,0.0,0.0
1973-06-04,4.15,4.16,4.13,4.13,31800,0.0,0.0
1973-06-05,4.13,4.2,4.1,4.14,85500,0.0,0.0
1973-06-06,4.14,4.18,4.13,4.13,27000,0.0,0.0
1973-06-07,4.13,4.2,4.13,4.16,47100,0.0,0.0
1973-06-08,4.18,4.28,4.18,4.28,83400,0.0,0.0
1973-06-11,4.31,4.36,4.31,4.34,39600,0.0,0.0
1973-06-12,4.34,4.4,4.32,4.4,144600,0.0,0.0
1973-06-13,4.4,4.44,4.3,4.34,80400,0.0,0.0
1973-06-14,4.34,4.34,4.31,4.34,138900,0.0,0.0
1973-06-15,4.32,4.32,4.29,4.31,26400,0.0,0.0
1973-06-18,4.31,4.31,4.2,4.22,131400,0.0,0.0
1973-06-19,4.22,4.26,4.15,4.23,88800,0.0,0.0
1973-06-20,4.23,4.23,4.18,4.23,91200,0.0,0.0
1973-06-21,4.23,4.23,4.2,4.22,118200,0.0,0.0
1973-06-22,4.22,4.31,4.2,4.2,43500,0.0,0.0
1973-06-25,4.2,4.23,4.18,4.18,16800,0.0,0.0
1973-06-26,4.18,4.22,4.16,4.22,18900,0.0,0.0
