Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-10-13,20.73,21.41,20.29,21.39,396800,0.0,0
2011-10-14,21.49,22.48,21.49,22.36,402600,0.0,0
2011-10-17,22.49,22.76,22.19,22.19,583400,0.0,0
2011-10-18,22.11,22.37,21.96,22.26,423500,0.0,0
2011-10-19,22.27,22.36,21.83,21.83,722200,0.0,0
2011-10-20,21.88,22.08,21.46,21.83,549700,0.0,0
2011-10-21,22.05,22.71,22.01,22.53,1764500,0.0,0
2011-10-24,22.49,22.8,22.49,22.73,371300,0.0,0
2011-10-25,22.83,23.01,22.05,22.71,546800,0.0,0
2011-10-26,23.01,23.01,21.93,22.07,657300,0.0,0
2011-10-27,22.27,22.89,22.27,22.6,405400,0.0,0
2011-10-28,22.49,22.78,22.27,22.78,584700,0.0,0
2011-10-31,23.16,23.59,22.27,23.59,15106000,0.0,0
2011-11-01,22.58,24.95,22.18,24.09,6095200,0.0,0
2011-11-02,24.17,24.17,22.75,23.48,2476700,0.0,0
2011-11-03,23.76,23.88,23.27,23.28,1615000,0.0,0
2011-11-04,23.08,23.46,21.95,22.22,1923300,0.0,0
2011-11-07,21.97,22.48,21.5,21.7,2703500,0.0,0
2011-11-08,22.14,22.36,21.84,22.0,2024100,0.0,0
2011-11-09,21.48,22.05,21.03,21.07,1570900,0.0,0
2011-11-10,21.59,21.8,20.75,20.86,1166000,0.0,0
2011-11-11,21.06,21.25,20.84,20.99,1266200,0.0,0
2011-11-14,20.89,21.35,20.81,21.2,1339000,0.101,0
2011-11-15,21.21,21.59,21.1,21.25,1657700,0.0,0
2011-11-16,21.22,21.79,21.07,21.37,1804600,0.0,0
2011-11-17,21.26,21.43,20.96,21.13,1279200,0.0,0
2011-11-18,21.15,21.38,21.01,21.2,1426200,0.0,0
2011-11-21,20.99,21.09,20.68,20.92,1282100,0.0,0
2011-11-22,22.16,23.16,20.08,20.93,2126400,0.0,0
2011-11-23,20.61,21.04,20.27,20.98,1009700,0.0,0
2011-11-25,20.77,20.77,20.27,20.37,991100,0.0,0
2011-11-28,20.96,21.42,20.5,20.81,1567300,0.0,0
2011-11-29,20.83,20.91,20.53,20.61,1222400,0.0,0
2011-11-30,21.31,21.44,20.67,21.17,2320800,0.0,0
2011-12-01,21.09,21.58,20.95,21.5,1046700,0.0,0
2011-12-02,22.57,22.57,21.46,21.48,1208900,0.0,0
2011-12-05,21.77,22.28,21.62,22.23,930900,0.0,0
2011-12-06,22.16,22.21,21.71,22.0,662800,0.0,0
2011-12-07,21.9,22.0,21.14,21.77,951200,0.0,0
2011-12-08,21.66,21.75,21.08,21.15,938700,0.0,0
2011-12-09,21.32,21.67,21.23,21.57,549800,0.0,0
2011-12-12,21.22,21.43,20.59,21.19,1213400,0.0,0
2011-12-13,21.28,21.66,21.0,21.13,1652500,0.0,0
2011-12-14,20.91,20.91,20.31,20.74,1736000,0.0,0
2011-12-15,20.86,21.31,20.76,21.19,1074900,0.0,0
2011-12-16,21.38,22.09,21.27,21.85,2925700,0.0,0
2011-12-19,21.85,22.02,21.39,21.48,1107200,0.0,0
2011-12-20,21.78,21.9,21.23,21.54,1190000,0.0,0
