Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-09-17,3.86,4.06,3.86,3.91,29185400,0.0,0.0
1997-09-18,3.96,4.05,3.93,4.05,6731800,0.0,0.0
1997-09-19,4.04,4.16,4.04,4.06,3440200,0.0,0.0
1997-09-22,4.03,4.08,4.02,4.03,5831000,0.0,0.0
1997-09-23,4.03,4.05,4.02,4.03,2738600,0.0,0.0
1997-09-24,4.04,4.05,4.02,4.03,2575500,0.0,0.0
1997-09-25,4.03,4.09,4.03,4.09,1005900,0.0,0.0
1997-09-26,4.08,4.2,4.07,4.19,1636300,0.0,0.0
1997-09-29,4.2,4.25,4.2,4.25,1708100,0.0,0.0
1997-09-30,4.29,4.48,4.28,4.35,4639200,0.0,0.0
1997-10-01,4.36,4.36,4.16,4.16,3525900,0.0,0.0
1997-10-02,4.18,4.19,4.1,4.15,1870600,0.0,0.0
1997-10-03,4.19,4.23,4.16,4.21,2065300,0.0,0.0
1997-10-06,4.19,4.33,4.19,4.3,7842400,0.0,0.0
1997-10-07,4.33,4.4,4.11,4.18,21602200,0.0,0.0
1997-10-08,4.18,4.2,4.1,4.12,16664700,0.0,0.0
1997-10-09,4.11,4.3,4.04,4.29,12844400,0.0,0.0
1997-10-10,4.15,4.29,4.13,4.24,10308900,0.0,0.0
1997-10-13,4.25,4.31,4.24,4.31,10520900,0.0,0.0
1997-10-14,4.27,4.36,4.27,4.28,17077000,0.0,0.0
1997-10-15,4.18,4.27,4.18,4.27,9048700,0.0,0.0
1997-10-16,4.3,4.32,4.23,4.27,9002500,0.0,0.0
1997-10-17,4.2,4.22,4.07,4.19,6431400,0.0,0.0
1997-10-20,4.17,4.36,4.17,4.33,7995400,0.0,0.0
1997-10-21,4.3,4.59,4.3,4.51,9219500,0.0,0.0
1997-10-22,4.43,4.48,4.38,4.43,5610700,0.0,0.0
1997-10-23,4.37,4.44,4.33,4.43,7688800,0.0,0.0
1997-10-24,4.44,4.47,4.36,4.43,5598400,0.0,0.0
1997-10-27,4.37,4.37,4.11,4.18,6699000,0.0,0.0
1997-10-28,4.05,4.25,3.91,4.16,4660400,0.0,0.0
1997-10-29,4.17,4.23,4.06,4.07,3286000,0.0,0.0
1997-10-30,3.91,4.06,3.91,3.96,4901800,0.0,0.0
1997-10-31,3.96,4.1,3.95,4.07,5334200,0.0,0.0
1997-11-03,4.1,4.13,4.04,4.1,5457100,0.0,0.0
1997-11-04,4.06,4.11,4.01,4.05,5849900,0.0,0.0
1997-11-05,4.03,4.1,4.01,4.06,6204900,0.0,0.0
1997-11-06,4.06,4.3,4.05,4.25,6185400,0.0,0.0
1997-11-07,4.23,4.36,4.16,4.3,6055800,0.0,0.0
1997-11-10,4.33,4.62,4.32,4.54,5481600,0.0,0.0
1997-11-11,4.4,4.52,4.4,4.5,4125100,0.0,0.0
1997-11-12,4.47,4.5,4.41,4.41,4147400,0.0,0.0
1997-11-13,4.43,4.53,4.43,4.5,6960000,0.0,0.0
1997-11-14,4.6,4.84,4.58,4.74,11075600,0.0,0.0
1997-11-17,4.77,4.87,4.74,4.74,5030400,0.0,0.0
1997-11-18,4.72,4.74,4.52,4.54,5827100,0.0,0.0
1997-11-19,4.52,4.6,4.48,4.57,6024100,0.0,0.0
1997-11-20,4.57,4.61,4.55,4.58,6341200,0.0,0.0
1997-11-21,4.58,4.65,4.57,4.64,3088000,0.0,0.0
1997-11-24,4.57,4.64,4.5,4.5,3880800,0.0,0.0
1997-11-25,4.51,4.53,4.37,4.4,3297700,0.0,0.0
1997-11-26,4.37,4.48,4.37,4.46,2655100,0.0,0.0
1997-11-28,4.45,4.57,4.45,4.54,1168900,0.0,0.0
1997-12-01,4.62,4.62,4.54,4.57,3024000,0.0,0.0
1997-12-02,4.6,4.6,4.52,4.58,4351600,0.0,0.0
1997-12-03,4.57,4.67,4.57,4.66,2006900,0.0,0.0
1997-12-04,4.7,4.76,4.66,4.68,4566300,0.0,0.0
1997-12-05,4.68,4.69,4.64,4.65,3969900,0.0,0.0
1997-12-08,4.62,4.69,4.6,4.64,2142600,0.0,0.0
1997-12-09,4.58,4.64,4.58,4.59,1943500,0.0,0.0
1997-12-10,4.57,4.57,4.26,4.33,8938500,0.0,0.0
1997-12-11,4.25,4.27,4.15,4.18,6056900,0.0,0.0
1997-12-12,4.19,4.2,4.06,4.08,4678200,0.0,0.0
