Date,Open,High,Low,Close,Volume
2020-02-10,141.03,142.59,140.46,142.59,8162100
2020-02-11,142.85,142.99,140.46,141.01,10790100
2020-02-12,141.34,142.22,140.87,141.85,8168200
2020-02-13,141.17,141.9,140.82,140.9,7543100
2020-02-14,141.1,141.28,139.13,139.54,9110500
2020-02-18,139.02,139.66,138.1,139.14,8214900
2020-02-19,139.63,141.87,139.23,141.3,7080900
2020-02-20,141.63,141.63,138.85,140.37,5981700
2020-02-21,139.86,139.88,138.58,138.97,7725800
2020-02-24,132.9,134.44,131.21,133.01,19336500
2020-02-25,133.75,133.94,127.98,128.19,21032500
2020-02-26,126.12,128.37,122.13,123.36,31195900
2020-02-27,119.81,122.9,117.92,118.04,30793900
2020-02-28,114.51,118.31,113.21,117.65,35453800
2020-03-02,119.13,119.98,116.03,119.98,21775900
2020-03-03,121.15,121.78,115.15,116.45,19529700
2020-03-04,118.96,119.24,115.48,119.18,13842100
2020-03-05,116.86,116.96,112.11,113.98,22397200
2020-03-06,110.76,115.87,110.32,115.27,22899600
2020-03-09,108.69,110.43,104.28,104.35,26233600
2020-03-10,108.1,111.58,102.43,111.46,24083700
2020-03-11,108.42,108.9,102.86,105.51,24771300
2020-03-12,97.62,100.0,91.64,91.81,40392900
2020-03-13,100.78,102.87,92.25,102.52,40960100
2020-03-16,91.8,98.28,90.0,95.01,35379500
2020-03-17,95.8,97.46,91.15,93.53,27526200
2020-03-18,87.59,89.34,79.07,88.8,43592500
2020-03-19,88.0,97.4,85.11,94.93,30866800
2020-03-20,95.99,96.99,85.84,85.98,31957800
2020-03-23,84.49,87.28,81.09,85.76,32246600
2020-03-24,92.33,99.17,91.8,98.12,32538100
2020-03-25,100.66,105.92,95.51,100.73,28533000
2020-03-26,100.83,107.73,100.8,105.36,24520300
2020-03-27,100.45,101.49,95.54,96.4,30591500
2020-03-30,96.0,100.46,92.1,99.8,23119200
2020-03-31,100.22,103.16,96.16,96.6,21563200
2020-04-01,93.5,97.4,92.56,94.92,18303900
2020-04-02,94.2,97.26,94.2,96.97,13936500
2020-04-03,96.31,96.92,92.71,93.88,14814600
2020-04-06,97.26,100.19,94.52,99.58,20407400
2020-04-07,104.86,105.89,100.25,101.24,22899600
2020-04-08,100.53,102.35,98.65,101.07,22562500
2020-04-09,107.92,107.99,103.53,104.5,31485600
2020-04-13,104.71,104.87,99.61,103.5,17306000
2020-04-14,105.5,107.64,103.9,106.03,19866900
2020-04-15,104.39,104.88,102.7,103.37,14157600
2020-04-16,103.53,103.72,100.89,102.02,18029300
2020-04-17,106.21,106.79,104.35,106.63,17926900
