Date,Open,High,Low,Close,Volume
2020-02-10,28.2,28.39,28.0,28.36,2395300
2020-02-11,28.45,28.83,28.29,28.65,2831900
2020-02-12,28.7,29.02,28.41,28.86,2435700
2020-02-13,28.72,29.02,28.53,28.9,4014400
2020-02-14,28.86,28.98,28.56,28.73,2435900
2020-02-18,28.64,29.1,28.64,28.87,2118200
2020-02-19,28.85,29.35,28.7,29.03,3265100
2020-02-20,28.62,28.71,28.06,28.6,3174300
2020-02-21,28.47,28.55,27.86,27.93,3064900
2020-02-24,27.39,27.43,26.79,27.13,3799400
2020-02-25,27.18,27.29,25.89,26.3,4088300
2020-02-26,26.52,26.54,25.35,25.42,4065100
2020-02-27,24.59,24.59,23.0,23.79,6890900
2020-02-28,23.29,25.11,23.11,25.1,10139400
2020-03-02,24.86,25.18,24.02,25.17,5632900
2020-03-03,24.96,25.73,24.61,25.08,5791900
2020-03-04,25.27,25.33,24.65,25.11,6980900
2020-03-05,24.39,24.75,23.67,23.82,6427900
2020-03-06,23.2,24.27,22.96,24.07,6457600
2020-03-09,22.51,23.4,22.48,22.54,6472300
2020-03-10,23.01,23.83,22.57,23.82,7273600
2020-03-11,23.13,23.65,22.79,22.99,5519200
2020-03-12,21.86,21.86,19.86,21.19,4369500
2020-03-13,22.28,22.86,19.81,21.29,4141000
2020-03-16,19.83,20.09,18.23,18.9,4458000
2020-03-17,19.32,19.7,18.0,19.53,3923400
2020-03-18,18.68,18.72,15.77,17.64,3999600
2020-03-19,17.13,19.25,17.0,18.89,4787100
2020-03-20,19.15,19.7,16.7,16.87,6226300
2020-03-23,16.66,16.74,15.43,16.46,4076800
2020-03-24,17.32,18.84,17.01,18.08,5148700
2020-03-25,18.22,19.8,17.12,18.82,5136500
2020-03-26,19.19,19.67,18.16,18.75,6541000
2020-03-27,18.04,18.58,17.05,17.16,5250100
2020-03-30,16.87,18.09,16.27,17.95,5281200
2020-03-31,18.08,18.43,17.49,17.54,3495600
2020-04-01,16.81,18.16,16.65,17.64,5245400
2020-04-02,17.38,18.22,16.79,17.07,3853300
2020-04-03,17.02,17.25,16.1,16.84,4443200
2020-04-06,17.78,18.33,17.59,18.08,3508700
2020-04-07,19.06,19.82,18.53,18.71,4106000
2020-04-08,18.65,19.94,18.65,19.43,2627500
2020-04-09,20.13,20.51,19.79,20.14,3547600
2020-04-13,20.04,20.17,18.96,19.85,1995600
2020-04-14,20.04,20.68,19.93,20.24,2232600
2020-04-15,19.34,19.59,19.05,19.44,2089800
2020-04-16,19.35,19.65,18.79,19.52,2650700
2020-04-17,20.06,20.4,19.86,20.2,1831100
