Date,Open,High,Low,Close,Volume
2020-02-10,93.66,93.87,92.76,93.46,425800
2020-02-11,93.53,94.38,93.17,94.02,492300
2020-02-12,94.38,95.06,94.02,94.85,457000
2020-02-13,94.32,95.26,94.0,95.25,464700
2020-02-14,95.27,95.27,93.99,94.77,641800
2020-02-18,94.64,95.99,94.22,95.05,1213800
2020-02-19,98.24,100.2,96.77,97.6,1383600
2020-02-20,96.94,98.17,96.27,97.85,750500
2020-02-21,97.27,97.64,94.31,94.51,2780100
2020-02-24,92.55,95.08,91.8,94.03,1381200
2020-02-25,94.21,94.21,90.36,90.42,1219100
2020-02-26,91.46,93.12,88.53,88.59,1313600
2020-02-27,87.38,89.3,85.17,85.18,1505900
2020-02-28,83.19,85.8,82.92,85.7,1727800
2020-03-02,86.06,87.51,83.14,87.47,1371800
2020-03-03,86.83,88.12,83.66,84.84,1415900
2020-03-04,86.12,87.79,84.16,87.68,963500
2020-03-05,85.16,86.23,83.62,84.89,1053500
2020-03-06,82.61,84.11,80.06,82.12,1837000
2020-03-09,77.85,81.2,76.67,79.44,1892700
2020-03-10,82.34,85.23,80.78,85.16,1270900
2020-03-11,82.81,84.69,81.97,83.16,1495100
2020-03-12,77.96,81.86,74.55,77.75,2101300
2020-03-13,80.54,81.15,75.01,78.57,1604700
2020-03-16,70.13,73.94,69.38,70.32,1459900
2020-03-17,71.41,76.18,69.88,76.17,1462700
2020-03-18,71.46,72.62,60.36,65.76,1362900
2020-03-19,64.93,65.73,61.78,63.74,1558700
2020-03-20,64.58,64.71,54.53,54.86,2418300
2020-03-23,54.74,54.96,49.24,49.84,2208100
2020-03-24,52.15,60.72,51.85,60.27,1684100
2020-03-25,60.4,68.17,59.37,64.21,1845500
2020-03-26,64.47,68.65,62.93,68.03,1615300
2020-03-27,64.63,66.28,62.72,63.89,1231300
2020-03-30,63.89,66.6,62.85,65.49,1100000
2020-03-31,64.88,67.44,64.02,66.73,1885900
2020-04-01,63.04,63.86,61.36,62.18,1622400
2020-04-02,61.44,64.17,58.97,60.86,1392500
2020-04-03,60.61,61.44,57.36,57.74,1098000
2020-04-06,61.12,67.05,61.12,66.51,1535000
2020-04-07,70.63,72.16,67.55,68.75,1431800
2020-04-08,70.26,72.93,68.92,72.6,1202600
2020-04-09,74.21,75.54,70.26,71.03,1845700
2020-04-13,70.78,70.89,68.01,70.66,1366400
2020-04-14,71.97,73.82,71.45,73.51,998100
2020-04-15,70.58,71.77,68.83,70.89,918800
2020-04-16,70.54,73.29,70.02,72.83,1100700
2020-04-17,75.36,77.32,73.09,73.99,1058600
