Date,Open,High,Low,Close,Volume
2020-02-10,95.27,97.33,95.1,96.95,591100
2020-02-11,96.82,97.49,96.63,97.27,463400
2020-02-12,97.33,98.23,96.18,97.05,391300
2020-02-13,96.79,97.73,96.44,97.53,474400
2020-02-14,97.37,97.68,96.81,97.41,373900
2020-02-18,97.67,97.95,96.08,96.36,1222700
2020-02-19,103.06,104.75,100.98,102.86,2959100
2020-02-20,102.69,103.14,97.64,99.03,1307800
2020-02-21,98.55,98.84,95.75,95.82,944000
2020-02-24,93.73,94.95,92.09,94.61,1044300
2020-02-25,94.71,95.78,90.52,91.28,1183700
2020-02-26,90.73,92.81,89.61,89.67,970800
2020-02-27,88.89,90.55,87.82,88.58,1346200
2020-02-28,87.04,88.17,84.77,87.7,2043500
2020-03-02,89.3,92.82,88.7,92.74,1475000
2020-03-03,92.88,94.2,88.69,89.37,1399600
2020-03-04,90.71,92.79,89.4,92.68,881600
2020-03-05,90.42,90.72,86.45,88.68,1512800
2020-03-06,86.15,87.29,84.3,86.84,1114700
2020-03-09,81.2,83.01,78.94,80.53,1173800
2020-03-10,82.71,84.12,80.4,83.76,1289400
2020-03-11,81.71,82.39,78.85,79.88,1103500
2020-03-12,75.36,77.25,71.81,72.31,1602900
2020-03-13,75.07,77.72,73.25,77.34,1430200
2020-03-16,69.0,73.5,67.5,70.85,1940400
2020-03-17,71.73,75.73,70.65,73.93,1600300
2020-03-18,70.39,71.96,65.62,71.71,1270500
2020-03-19,71.39,73.53,68.84,70.11,1091200
2020-03-20,70.85,70.85,65.71,66.03,1709000
2020-03-23,65.91,65.91,61.04,63.63,1658400
2020-03-24,66.64,70.81,65.22,70.37,1219900
2020-03-25,70.45,73.79,66.47,71.71,1551400
2020-03-26,72.16,74.95,71.08,74.23,1469500
2020-03-27,72.04,76.18,70.26,73.53,1260700
2020-03-30,73.87,77.23,72.41,76.69,1117700
2020-03-31,76.04,76.98,74.57,74.96,1023300
2020-04-01,71.99,74.48,70.21,71.41,1244300
2020-04-02,70.91,73.66,70.63,73.46,1345900
2020-04-03,73.35,74.1,70.65,71.56,1112400
2020-04-06,74.35,76.18,74.11,75.44,1387900
2020-04-07,77.52,78.48,73.63,74.23,1484200
2020-04-08,74.69,77.73,74.05,77.36,1106100
2020-04-09,78.77,79.74,77.61,78.65,1327000
2020-04-13,78.57,78.57,76.84,77.82,1060200
2020-04-14,79.22,82.41,78.92,81.99,1030300
2020-04-15,79.94,80.41,77.65,77.93,1090000
2020-04-16,78.13,79.08,77.32,78.66,1122200
2020-04-17,80.98,83.25,80.52,82.11,2604900
