Date,Open,High,Low,Close,Volume
2020-02-10,13.83,13.83,13.44,13.5,13906400
2020-02-11,13.53,14.06,13.47,13.95,16302500
2020-02-12,14.1,14.59,14.06,14.36,8934300
2020-02-13,14.18,14.28,13.87,13.99,7753800
2020-02-14,14.05,14.28,13.98,14.05,6485600
2020-02-18,14.0,14.3,13.94,14.25,5911000
2020-02-19,14.13,14.19,13.89,14.04,5174300
2020-02-20,14.02,14.51,14.0,14.46,6348000
2020-02-21,14.36,14.44,14.19,14.23,4030400
2020-02-24,13.76,14.07,13.68,13.83,6134200
2020-02-25,13.9,13.94,13.13,13.18,6996900
2020-02-26,13.3,13.45,12.45,12.45,10444300
2020-02-27,12.15,12.98,11.91,12.63,11874000
2020-02-28,12.25,13.03,12.25,13.01,16157200
2020-03-02,12.98,13.14,12.43,13.12,8246700
2020-03-03,12.85,12.98,12.06,12.13,17395500
2020-03-04,12.26,12.58,12.17,12.56,7930000
2020-03-05,12.26,12.49,12.05,12.18,5218400
2020-03-06,11.86,12.33,11.8,11.81,12445700
2020-03-09,10.99,11.37,10.62,11.06,7850600
2020-03-10,11.46,11.55,10.72,11.12,9166600
2020-03-11,10.86,10.86,9.82,9.99,12277100
2020-03-12,9.43,9.53,8.8,9.14,13302300
2020-03-13,9.74,9.76,8.48,9.51,10841500
2020-03-16,8.48,9.0,7.97,8.23,9935200
2020-03-17,8.37,9.68,7.75,9.63,11559400
2020-03-18,8.79,9.11,8.16,8.79,11320500
2020-03-19,8.66,9.14,7.86,9.03,10920200
2020-03-20,9.18,9.83,8.71,8.82,10508700
2020-03-23,10.32,10.32,8.36,8.82,15731500
2020-03-24,9.27,9.63,8.64,8.84,9359800
2020-03-25,9.14,9.16,8.01,8.76,15613800
2020-03-26,8.87,9.03,8.39,8.79,12652200
2020-03-27,8.46,8.66,7.56,8.05,12897700
2020-03-30,8.1,8.12,7.46,7.92,10015800
2020-03-31,7.88,8.14,7.69,7.73,7311400
2020-04-01,7.37,7.48,7.0,7.26,9043200
2020-04-02,7.21,7.6,6.94,7.12,10385300
2020-04-03,7.04,7.3,6.84,7.04,10551200
2020-04-06,7.44,8.25,7.29,7.91,13402700
2020-04-07,8.56,9.08,8.19,8.21,16392900
2020-04-08,8.44,9.4,8.41,9.05,13286000
2020-04-09,9.63,10.06,9.21,9.4,10998500
2020-04-13,9.44,9.48,8.88,9.19,5490400
2020-04-14,9.32,9.61,9.04,9.3,6814800
2020-04-15,8.96,8.97,8.5,8.73,6465400
2020-04-16,8.84,8.84,8.38,8.53,6040000
2020-04-17,8.98,9.38,8.9,9.05,7401300
