Date,Open,High,Low,Close,Volume
2020-02-10,233.63,237.59,233.22,237.59,2568000
2020-02-11,237.59,239.41,237.19,238.61,2692400
2020-02-12,239.09,239.26,235.84,238.56,3592100
2020-02-13,237.95,240.54,237.38,239.32,2468100
2020-02-14,240.39,242.12,239.59,241.96,2841600
2020-02-18,241.77,243.02,240.11,240.88,2892600
2020-02-19,241.84,242.42,239.96,240.58,2713300
2020-02-20,240.63,244.02,239.11,243.92,3701800
2020-02-21,243.41,244.26,240.94,242.26,3881100
2020-02-24,235.49,240.06,234.72,236.69,5350100
2020-02-25,243.01,243.87,233.51,234.4,8061500
2020-02-26,236.1,238.02,231.38,232.33,6963000
2020-02-27,228.17,231.87,221.75,221.91,7610700
2020-02-28,215.89,218.29,209.67,215.11,11814700
2020-03-02,217.22,227.12,215.75,227.06,7150800
2020-03-03,227.14,232.86,222.74,225.08,8432500
2020-03-04,230.09,238.29,228.89,238.06,6770000
2020-03-05,233.63,236.6,230.23,231.86,6473900
2020-03-06,224.72,227.4,219.46,225.64,7399900
2020-03-09,211.19,213.47,204.65,207.82,10120500
2020-03-10,214.49,223.0,208.35,222.87,7206600
2020-03-11,216.01,217.85,209.25,211.63,7253900
2020-03-12,194.25,205.35,183.74,189.46,10928700
2020-03-13,199.26,204.6,188.87,204.45,10292300
2020-03-16,180.89,185.0,162.14,163.98,12536600
2020-03-17,167.21,173.74,154.38,172.61,16234400
2020-03-18,158.85,161.37,139.8,154.71,14681900
2020-03-19,152.25,161.94,141.16,160.17,13499100
2020-03-20,161.81,169.21,150.91,151.25,12602400
2020-03-23,149.17,163.95,145.47,161.43,12241600
2020-03-24,172.36,184.57,170.99,183.62,14676600
2020-03-25,183.33,190.41,178.93,180.68,11497400
2020-03-26,182.4,197.02,181.42,194.05,10170300
2020-03-27,187.37,195.21,185.39,189.42,7121700
2020-03-30,189.44,197.02,186.5,194.94,6936700
2020-03-31,193.64,194.33,184.35,185.6,7335400
2020-04-01,174.87,181.68,173.96,177.57,7858200
2020-04-02,173.91,181.64,172.97,180.23,6353900
2020-04-03,178.49,180.27,173.9,177.64,7299800
2020-04-06,186.88,191.27,184.03,190.19,7454000
2020-04-07,201.72,202.9,190.71,191.15,6438800
2020-04-08,193.06,195.6,190.4,193.66,6094700
2020-04-09,198.61,204.77,195.33,200.33,7125700
2020-04-13,199.26,199.26,194.21,197.61,4415600
2020-04-14,200.68,208.49,198.94,205.94,5655400
2020-04-15,197.49,201.04,195.44,197.3,5693900
2020-04-16,197.94,201.01,195.65,198.66,7262800
2020-04-17,205.94,209.0,204.94,208.18,6717600
