Date,Open,High,Low,Close,Volume
2020-02-10,37.52,38.08,37.18,37.42,1577800
2020-02-11,37.58,38.01,36.98,38.0,1329500
2020-02-12,38.34,39.31,38.06,39.21,1886300
2020-02-13,38.95,38.95,37.81,38.9,2245000
2020-02-14,38.87,39.82,38.53,39.77,1546400
2020-02-18,39.54,39.92,39.02,39.44,2257400
2020-02-19,39.48,40.03,39.14,40.0,1746600
2020-02-20,39.98,40.78,39.76,40.56,2022100
2020-02-21,40.1,40.39,39.81,40.02,1517900
2020-02-24,38.42,39.09,38.27,38.47,3114900
2020-02-25,38.73,38.73,35.57,36.33,5139600
2020-02-26,36.56,37.27,35.6,35.92,3098100
2020-02-27,34.72,36.47,33.63,34.59,4868600
2020-02-28,33.6,35.14,33.2,34.26,5232000
2020-03-02,34.34,34.34,32.71,33.98,4442200
2020-03-03,34.16,35.33,32.66,33.01,4847800
2020-03-04,30.98,32.89,30.73,32.46,13691300
2020-03-05,31.06,31.55,28.81,29.0,6690000
2020-03-06,28.3,29.82,27.72,28.67,4643700
2020-03-09,26.65,27.31,25.51,26.79,5674200
2020-03-10,27.82,28.14,25.96,27.11,5614100
2020-03-11,26.42,26.42,23.87,24.03,7062400
2020-03-12,22.46,22.54,19.22,19.88,8191100
2020-03-13,21.45,22.13,20.18,21.59,8484300
2020-03-16,18.5,19.11,16.27,17.19,5521200
2020-03-17,17.15,18.74,14.06,18.72,11378500
2020-03-18,17.27,20.3,16.61,19.76,7752200
2020-03-19,19.34,22.26,18.39,21.25,5616300
2020-03-20,21.35,21.73,17.6,17.86,5974200
2020-03-23,17.72,18.07,15.07,15.61,5534600
2020-03-24,16.72,19.0,16.59,18.56,6327300
2020-03-25,18.7,19.87,16.61,18.26,4731600
2020-03-26,18.24,19.13,16.94,17.93,6003300
2020-03-27,16.84,16.84,15.57,16.01,6136900
2020-03-30,15.84,16.07,15.0,15.78,4721200
2020-03-31,15.7,16.57,15.07,15.34,4597700
2020-04-01,14.5,14.55,13.07,13.29,7272300
2020-04-02,13.21,14.56,12.76,13.18,6423900
2020-04-03,13.14,13.38,12.27,13.05,5436900
2020-04-06,14.18,16.47,13.91,16.2,8976800
2020-04-07,18.89,20.94,17.56,18.04,12243800
2020-04-08,18.38,20.35,18.25,19.0,8862700
2020-04-09,20.8,21.94,20.25,21.32,9866000
2020-04-13,21.4,21.99,19.61,20.44,6799100
2020-04-14,21.12,22.08,19.65,20.05,6238300
2020-04-15,18.55,18.9,17.34,18.15,6565900
2020-04-16,18.1,18.11,17.04,17.15,4225600
2020-04-17,18.75,19.35,17.8,18.8,5562000
