Date,Open,High,Low,Close,Volume
2020-02-10,24.8,24.95,23.09,23.85,10399900.0
2020-02-11,24.0,24.66,23.91,24.29,8710200.0
2020-02-12,24.53,24.64,24.21,24.42,5240100.0
2020-02-13,24.1,24.32,23.55,23.98,6895700.0
2020-02-14,24.16,24.35,23.86,24.04,3694000.0
2020-02-18,23.95,24.13,23.48,23.8,5995100.0
2020-02-19,23.94,24.3,23.82,24.3,3914500.0
2020-02-20,22.46,24.96,21.81,23.42,34627300.0
2020-02-21,23.97,24.43,23.56,24.07,12587500.0
2020-02-24,23.23,23.7,22.62,23.65,9807300.0
2020-02-25,23.59,23.77,23.09,23.5,11854100.0
2020-02-26,23.6,23.72,22.74,22.78,16448800.0
2020-02-27,21.07,23.36,20.61,23.05,17192800.0
2020-02-28,22.47,22.94,21.33,21.66,12412400.0
2020-03-02,21.84,22.34,21.15,22.25,9563500.0
2020-03-03,22.32,23.11,21.9,22.08,7991500.0
2020-03-04,22.26,24.49,22.08,24.35,10544400.0
2020-03-05,23.54,24.52,23.0,23.31,10134400.0
2020-03-06,22.27,22.71,21.74,22.25,9204000.0
2020-03-09,20.9,21.86,20.0,20.6,7879400.0
2020-03-10,21.55,21.7,20.14,20.77,7152700.0
2020-03-11,20.26,20.71,19.48,19.62,13332000.0
2020-03-12,18.14,18.14,15.79,15.84,9767400.0
2020-03-13,16.62,16.92,15.4,16.12,9865300.0
2020-03-16,14.33,14.33,10.04,11.65,15532800.0
2020-03-17,11.79,11.82,8.0,10.13,24316500.0
2020-03-18,9.44,10.19,8.07,9.79,12107900.0
2020-03-19,9.49,11.21,8.51,10.74,11711000.0
2020-03-20,10.83,11.23,9.45,9.78,12430800.0
2020-03-23,9.69,9.75,8.52,9.17,7752600.0
2020-03-24,9.67,13.2,9.62,12.75,14752100.0
2020-03-25,13.18,15.18,12.5,13.93,13340700.0
2020-03-26,14.35,14.72,12.97,13.14,9411800.0
2020-03-27,12.33,13.22,11.5,12.59,9618600.0
2020-03-30,12.31,12.58,11.01,11.79,12009400.0
2020-03-31,11.69,12.45,11.45,11.56,7993900.0
2020-04-01,10.59,11.01,9.65,10.23,10127900.0
2020-04-02,10.05,10.23,9.32,10.15,15479200.0
2020-04-03,10.14,11.51,10.11,11.34,11864600.0
2020-04-06,12.12,13.09,11.55,12.55,13755900.0
2020-04-07,13.8,14.79,12.99,13.24,9005700.0
2020-04-08,13.42,15.08,13.35,14.58,9083400.0
2020-04-09,15.65,16.96,14.69,14.93,12328500.0
2020-04-13,14.93,14.95,13.48,13.71,6748900.0
2020-04-14,14.28,15.05,13.7,14.07,6609700.0
2020-04-15,12.98,13.16,12.18,12.62,6958200.0
2020-04-16,12.75,12.85,12.04,12.24,3922200.0
2020-04-17,13.01,13.94,12.91,13.78,7101200.0
