Date,Open,High,Low,Close,Volume
2020-02-10,68.91,70.0,68.89,69.88,2318400
2020-02-11,70.36,71.02,70.19,71.01,2624000
2020-02-12,70.71,70.78,69.7,70.16,3048000
2020-02-13,70.1,70.25,69.45,69.56,2681100
2020-02-14,69.72,70.33,69.02,70.15,1481700
2020-02-18,70.25,70.98,69.66,69.92,2340600
2020-02-19,70.47,70.74,69.98,70.23,1416000
2020-02-20,70.4,71.02,69.68,70.82,1364300
2020-02-21,70.72,71.17,70.31,70.44,1492600
2020-02-24,69.61,70.19,68.87,68.96,2024300
2020-02-25,69.14,69.16,65.99,66.26,2968200
2020-02-26,65.28,66.7,64.47,64.63,3332900
2020-02-27,63.74,65.28,62.51,62.81,3335700
2020-02-28,61.42,61.6,58.85,60.16,4983300
2020-03-02,60.59,62.51,59.66,62.44,4723400
2020-03-03,62.96,65.99,62.25,64.05,5896200
2020-03-04,65.08,66.92,64.18,66.45,5618700
2020-03-05,64.99,66.22,64.28,64.51,3075200
2020-03-06,62.28,63.6,60.82,62.37,4216500
2020-03-09,58.02,58.27,55.19,55.19,5493700
2020-03-10,57.6,59.36,54.92,59.18,4895900
2020-03-11,56.89,57.66,53.22,53.25,4744200
2020-03-12,49.85,49.87,43.61,46.28,7555300
2020-03-13,49.2,49.4,42.05,45.55,6877000
2020-03-16,38.99,39.88,36.37,36.61,9013300
2020-03-17,37.08,37.55,31.67,34.87,8052200
2020-03-18,32.12,32.29,25.35,30.83,8609700
2020-03-19,29.9,35.4,28.81,31.52,8410500
2020-03-20,32.17,34.99,30.18,33.98,8364300
2020-03-23,31.66,32.67,28.13,29.26,7287300
2020-03-24,32.36,35.69,31.09,35.5,5752200
2020-03-25,36.41,41.82,35.4,40.59,6022700
2020-03-26,41.63,42.75,40.2,42.3,4935600
2020-03-27,40.22,42.1,39.11,40.14,4115400
2020-03-30,40.43,40.58,37.96,39.84,3708900
2020-03-31,40.25,40.32,37.55,38.09,4594000
2020-04-01,36.22,36.96,34.31,34.63,4097300
2020-04-02,34.04,35.43,32.32,33.32,4270100
2020-04-03,33.32,33.77,32.32,33.29,3226600
2020-04-06,36.35,39.59,35.59,39.11,4670700
2020-04-07,41.88,42.81,38.95,39.15,4413000
2020-04-08,40.02,43.62,39.44,43.23,4175100
2020-04-09,44.97,47.69,43.87,44.67,5443400
2020-04-13,44.02,44.02,40.72,41.23,3548900
2020-04-14,43.51,43.89,42.09,42.89,2833500
2020-04-15,40.88,41.12,39.1,39.7,3124300
2020-04-16,40.38,41.03,39.41,40.78,3686700
2020-04-17,43.35,44.12,41.55,42.81,3595500
