Date,Open,High,Low,Close,Volume
2020-02-10,32.89,33.24,32.7,33.19,1607100
2020-02-11,33.26,33.85,33.15,33.58,923200
2020-02-12,33.63,33.91,33.46,33.74,953600
2020-02-13,33.54,33.94,33.49,33.85,1138600
2020-02-14,33.87,33.91,33.12,33.2,1354600
2020-02-18,33.2,33.51,32.99,33.25,2249800
2020-02-19,33.34,34.22,33.34,34.0,2734400
2020-02-20,33.01,34.19,32.2,34.02,4370000
2020-02-21,34.04,34.04,32.68,33.04,3734400
2020-02-24,32.28,32.66,32.04,32.33,2492800
2020-02-25,32.25,32.63,31.25,31.32,2953100
2020-02-26,31.54,32.04,30.54,30.54,2783900
2020-02-27,30.3,31.0,29.66,29.72,2863400
2020-02-28,28.88,29.64,28.61,29.58,3765100
2020-03-02,29.57,29.91,28.91,29.9,3087400
2020-03-03,29.75,30.15,28.43,28.73,4181400
2020-03-04,29.25,29.78,28.64,29.65,2710100
2020-03-05,28.72,28.88,27.67,28.23,4350600
2020-03-06,27.25,28.16,27.16,27.52,4390200
2020-03-09,26.08,26.93,25.61,25.9,3993500
2020-03-10,26.61,27.6,25.87,27.58,4047100
2020-03-11,26.85,27.19,26.28,26.81,3253900
2020-03-12,25.44,26.15,23.79,23.83,3918900
2020-03-13,24.97,25.56,23.31,24.9,3463200
2020-03-16,23.0,23.66,20.23,20.36,3374100
2020-03-17,20.83,21.57,19.33,19.69,5400400
2020-03-18,18.52,18.62,14.0,15.9,6219500
2020-03-19,15.63,17.85,14.62,17.38,5542600
2020-03-20,17.53,18.2,15.74,16.3,4992200
2020-03-23,16.17,16.17,13.31,13.9,3761800
2020-03-24,14.84,17.34,14.83,16.96,4243300
2020-03-25,17.24,20.19,17.09,20.0,4950100
2020-03-26,20.04,22.51,20.02,22.25,5118800
2020-03-27,20.93,21.78,20.3,21.36,4038100
2020-03-30,21.57,21.74,20.2,21.0,2951000
2020-03-31,20.92,21.45,20.3,20.51,4170400
2020-04-01,19.34,19.79,18.62,19.13,3058700
2020-04-02,18.93,19.64,17.91,18.51,3097300
2020-04-03,18.62,18.8,17.09,17.35,2896800
2020-04-06,18.44,20.1,18.44,20.06,3350700
2020-04-07,21.62,22.36,20.78,20.94,2796900
2020-04-08,21.33,22.21,20.99,22.0,1802400
2020-04-09,22.66,23.5,22.17,22.53,2491800
2020-04-13,22.41,22.44,20.88,21.34,2694300
2020-04-14,21.35,22.04,21.01,21.44,3894600
2020-04-15,20.41,20.66,19.75,20.39,2146800
2020-04-16,20.35,20.77,19.72,19.84,1960600
2020-04-17,20.5,21.57,20.28,20.94,2522800
