Date,Open,High,Low,Close,Volume
2020-02-10,142.44,145.27,141.88,145.15,1169800
2020-02-11,145.29,148.36,144.64,146.6,1461300
2020-02-12,147.45,150.37,147.45,150.18,1583400
2020-02-13,148.85,148.93,146.07,146.13,1933900
2020-02-14,146.39,146.77,143.33,144.32,2441200
2020-02-18,143.65,145.28,143.65,144.36,2352800
2020-02-19,143.98,147.32,143.98,147.04,2018000
2020-02-20,146.94,148.32,145.69,146.25,1279600
2020-02-21,144.8,144.94,141.97,142.67,1858100
2020-02-24,136.27,136.83,133.68,134.29,3197500
2020-02-25,135.45,135.51,122.99,123.58,5128400
2020-02-26,125.79,127.16,119.37,119.71,4961200
2020-02-27,117.0,127.28,114.46,119.64,6958100
2020-02-28,116.25,124.33,116.0,124.0,6660800
2020-03-02,123.07,123.68,116.64,122.96,6375500
2020-03-03,122.76,123.74,113.88,114.28,6796500
2020-03-04,115.49,118.54,111.28,118.33,7343700
2020-03-05,113.79,115.0,108.8,110.22,6977200
2020-03-06,104.64,113.62,103.89,110.66,6790100
2020-03-09,102.0,108.92,101.76,104.19,6687400
2020-03-10,108.83,110.03,102.8,109.98,5395500
2020-03-11,106.2,106.5,99.56,100.11,8901300
2020-03-12,90.0,97.81,88.76,93.71,9065700
2020-03-13,98.23,100.78,91.6,95.61,8552800
2020-03-16,84.68,91.07,78.12,86.42,9327200
2020-03-17,87.52,89.61,67.74,75.24,12101600
2020-03-18,67.15,67.16,46.56,63.81,25881800
2020-03-19,61.18,72.7,52.65,66.8,17497700
2020-03-20,73.71,84.0,69.52,74.58,18154700
2020-03-23,75.02,80.7,67.28,70.13,12931800
2020-03-24,76.05,81.36,75.0,79.14,9113100
2020-03-25,83.51,92.68,79.23,85.25,8717900
2020-03-26,87.6,96.0,80.59,82.81,10444300
2020-03-27,78.7,82.79,76.25,78.85,5749800
2020-03-30,76.71,78.43,72.84,76.16,6097800
2020-03-31,74.98,79.24,74.52,74.81,5173600
2020-04-01,70.0,71.41,67.65,69.15,7651300
2020-04-02,69.29,70.59,61.55,63.0,8062700
2020-04-03,64.36,64.71,57.0,59.08,10622200
2020-04-06,64.55,70.9,63.78,70.59,12186100
2020-04-07,78.31,81.98,72.68,73.82,11850400
2020-04-08,75.24,83.94,74.96,82.53,9143600
2020-04-09,86.04,89.03,79.67,81.31,10343000
2020-04-13,81.56,81.57,75.71,78.09,4157800
2020-04-14,81.0,83.3,78.86,82.68,6093100
2020-04-15,78.02,81.99,77.53,80.73,4822700
2020-04-16,80.09,80.99,76.25,80.39,5398800
2020-04-17,85.3,85.63,82.29,84.26,5299500
