Date,Open,High,Low,Close,Volume
2020-02-10,31.01,31.9,30.99,31.87,5116700
2020-02-11,32.13,32.62,32.0,32.47,5504100
2020-02-12,32.76,33.53,32.68,33.41,12411000
2020-02-13,32.01,32.77,31.37,31.57,15763500
2020-02-14,31.56,31.62,30.76,31.29,10274900
2020-02-18,31.31,31.85,31.27,31.78,9385900
2020-02-19,32.01,32.11,31.71,31.85,6107000
2020-02-20,31.65,32.11,31.47,32.1,6731800
2020-02-21,31.52,31.68,31.0,31.16,8036600
2020-02-24,29.87,30.01,29.26,29.48,11664300
2020-02-25,29.73,29.84,27.55,27.68,14198000
2020-02-26,27.91,27.96,26.28,26.51,16980700
2020-02-27,25.81,26.86,24.95,25.33,14394000
2020-02-28,24.6,25.08,23.72,24.38,18396500
2020-03-02,24.42,24.88,23.09,24.87,15648000
2020-03-03,24.87,25.35,22.93,23.13,15690400
2020-03-04,23.35,23.52,22.3,23.13,14876700
2020-03-05,22.36,22.45,20.29,20.45,22895800
2020-03-06,19.51,21.41,19.22,20.24,19551100
2020-03-09,18.6,19.58,17.53,17.88,26213700
2020-03-10,18.91,21.42,17.9,20.79,43886300
2020-03-11,20.1,20.1,17.75,18.08,47127600
2020-03-12,16.5,17.58,14.85,15.26,34800100
2020-03-13,16.0,16.82,14.03,15.44,41141600
2020-03-16,12.5,14.06,10.22,10.25,32036600
2020-03-17,10.92,11.01,9.0,9.55,31209800
2020-03-18,9.0,9.03,5.9,7.14,47724000
2020-03-19,7.17,9.24,6.45,7.7,39224100
2020-03-20,8.89,11.16,8.67,9.11,56192300
2020-03-23,9.73,9.82,8.92,9.15,31171300
2020-03-24,11.45,12.9,10.66,12.18,52043500
2020-03-25,14.45,14.72,11.6,12.95,53358000
2020-03-26,13.25,15.3,12.87,13.45,46143400
2020-03-27,12.75,12.97,12.1,12.19,37027000
2020-03-30,11.55,12.37,10.5,11.53,32826800
2020-03-31,11.94,12.39,11.55,11.8,25953600
2020-04-01,11.01,12.22,10.6,11.77,30333300
2020-04-02,11.56,12.19,11.22,11.51,20579500
2020-04-03,11.66,11.97,10.0,10.58,37802700
2020-04-06,11.64,13.07,11.62,12.91,32889800
2020-04-07,15.17,15.73,13.4,13.63,41110900
2020-04-08,14.11,15.28,13.87,15.0,30180100
2020-04-09,16.24,16.44,14.05,14.55,40500600
2020-04-13,14.8,14.8,13.4,13.91,30428500
2020-04-14,14.4,15.09,14.02,15.04,26957300
2020-04-15,14.4,14.66,14.01,14.42,20144900
2020-04-16,14.21,14.41,13.47,13.82,20950300
2020-04-17,14.89,14.94,13.74,14.08,34046400
