Date,Open,High,Low,Close,Volume
2020-02-10,126.6,128.1,125.21,127.3,577000
2020-02-11,127.57,129.28,127.08,128.25,712300
2020-02-12,129.54,133.83,129.5,133.18,672600
2020-02-13,132.1,133.75,131.8,132.64,688800
2020-02-14,132.76,142.61,128.01,137.98,2264600
2020-02-18,136.8,139.31,131.23,131.42,1082400
2020-02-19,132.04,133.16,130.71,131.33,778100
2020-02-20,131.24,135.58,130.79,134.17,769300
2020-02-21,133.98,135.09,133.12,135.0,833700
2020-02-24,131.86,132.3,128.27,128.79,887500
2020-02-25,129.89,131.25,124.77,125.36,966700
2020-02-26,125.79,129.21,125.38,125.83,1283400
2020-02-27,122.77,128.04,121.96,123.34,1044300
2020-02-28,119.67,125.25,118.55,121.15,1616100
2020-03-02,121.59,122.62,118.95,120.86,1223000
2020-03-03,120.9,121.66,116.6,117.22,1304400
2020-03-04,119.0,123.21,117.84,123.17,798100
2020-03-05,119.43,121.4,118.87,119.7,683000
2020-03-06,115.71,119.88,115.35,118.57,1049500
2020-03-09,112.32,115.89,110.06,112.38,979300
2020-03-10,115.55,117.22,112.38,117.2,851500
2020-03-11,115.05,116.2,108.0,108.5,1163900
2020-03-12,103.29,104.83,97.42,97.43,1231900
2020-03-13,101.42,102.73,90.32,96.48,1663600
2020-03-16,87.58,95.13,81.33,85.43,1332900
2020-03-17,86.75,89.4,83.56,85.87,1219400
2020-03-18,81.47,81.81,59.88,65.05,1463100
2020-03-19,64.39,67.78,58.5,66.38,1785500
2020-03-20,66.62,67.64,58.23,58.66,1745700
2020-03-23,58.7,64.53,56.62,63.33,1289200
2020-03-24,66.98,77.63,66.01,77.29,1183600
2020-03-25,77.48,86.35,71.78,82.37,1410100
2020-03-26,83.6,85.36,79.92,82.29,1177000
2020-03-27,81.58,82.0,76.3,78.04,1117800
2020-03-30,78.4,81.52,75.0,80.15,1101600
2020-03-31,79.17,79.62,75.95,76.24,1034600
2020-04-01,72.67,74.38,65.74,66.92,1218300
2020-04-02,68.78,71.93,63.51,64.86,1639000
2020-04-03,64.86,67.06,60.05,62.01,1078300
2020-04-06,65.23,74.17,65.0,73.35,1360600
2020-04-07,80.08,84.67,76.16,81.18,1613400
2020-04-08,80.73,86.09,78.36,85.09,1083800
2020-04-09,87.26,90.94,86.25,88.01,941100
2020-04-13,87.13,87.13,81.63,83.41,516500
2020-04-14,84.91,85.72,80.72,82.74,639000
2020-04-15,77.93,79.87,76.4,79.3,579100
2020-04-16,76.54,76.97,72.38,74.74,934000
2020-04-17,79.17,80.81,78.39,79.6,1212300
