Date,Open,High,Low,Close,Volume
2020-02-10,98.7,99.98,98.48,99.5,4213900.0
2020-02-11,99.54,99.82,98.92,99.5,4871800.0
2020-02-12,100.21,102.54,99.91,102.46,8075600.0
2020-02-13,101.97,103.2,101.15,102.83,5386800.0
2020-02-14,102.99,103.34,101.91,103.0,4305300.0
2020-02-18,102.46,102.84,101.08,101.46,4916200.0
2020-02-19,102.12,102.85,101.89,101.92,6200500.0
2020-02-20,101.92,102.09,100.02,101.99,6427600.0
2020-02-21,101.46,101.54,99.11,99.72,5750900.0
2020-02-24,95.04,96.56,94.75,95.41,8364200.0
2020-02-25,95.84,96.25,92.13,92.41,9602100.0
2020-02-26,92.59,94.15,91.51,91.52,9308400.0
2020-02-27,89.53,92.57,88.04,88.09,12823000.0
2020-02-28,85.82,89.25,84.94,89.16,16565700.0
2020-03-02,89.38,92.91,87.69,92.45,14102000.0
2020-03-03,92.51,94.74,90.34,90.7,14767600.0
2020-03-04,91.85,93.59,90.61,93.56,6904400.0
2020-03-05,91.03,91.45,89.72,90.35,8851100.0
2020-03-06,88.14,89.17,85.67,88.14,12336400.0
2020-03-09,81.69,86.52,80.72,83.9,13272700.0
2020-03-10,86.47,88.18,82.67,88.08,12755900.0
2020-03-11,83.79,84.42,81.87,83.79,16172000.0
2020-03-12,78.04,78.29,72.82,74.02,21534800.0
2020-03-13,78.01,78.01,71.58,75.39,21859600.0
2020-03-16,65.12,72.79,63.21,66.62,17976700.0
2020-03-17,67.34,73.15,62.24,69.67,17122100.0
2020-03-18,64.63,68.16,59.85,67.87,19498800.0
2020-03-19,66.87,72.53,63.99,70.16,16177200.0
2020-03-20,71.33,73.88,67.03,67.28,15761900.0
2020-03-23,64.84,66.71,60.43,62.64,17690000.0
2020-03-24,65.54,72.48,63.84,72.15,18849500.0
2020-03-25,79.91,83.28,76.01,78.81,27053200.0
2020-03-26,79.97,86.64,79.81,84.09,17200800.0
2020-03-27,81.5,85.53,79.31,83.02,14183400.0
2020-03-30,83.79,85.75,81.3,85.17,10960100.0
2020-03-31,84.92,85.52,82.19,82.53,9610100.0
2020-04-01,79.29,80.98,78.33,79.03,9771300.0
2020-04-02,78.8,81.4,76.97,79.94,12731300.0
2020-04-03,79.16,79.59,77.72,78.66,8476900.0
2020-04-06,81.71,84.83,81.01,84.42,11266500.0
2020-04-07,88.48,88.65,83.82,83.95,10468100.0
2020-04-08,84.49,85.56,83.4,85.09,6642700.0
2020-04-09,86.47,87.17,84.95,86.57,7773600.0
2020-04-13,85.59,85.78,83.93,84.25,5077600.0
2020-04-14,85.74,87.55,85.27,87.25,6397200.0
2020-04-15,84.66,85.67,83.5,84.83,8053900.0
2020-04-16,85.22,86.31,84.34,86.09,9373800.0
2020-04-17,88.78,90.03,88.14,89.69,8111400.0
