Date,Open,High,Low,Close,Volume
2020-02-10,19.34,19.6,19.26,19.59,2880500
2020-02-11,19.61,19.74,19.49,19.57,2340300
2020-02-12,19.63,19.76,19.08,19.11,3684600
2020-02-13,19.07,19.32,18.88,18.94,4622500
2020-02-14,18.37,20.08,18.0,19.5,7850400
2020-02-18,19.44,19.85,19.13,19.43,3006700
2020-02-19,19.49,19.67,19.21,19.31,2647800
2020-02-20,19.24,19.62,19.19,19.3,3323000
2020-02-21,19.16,19.29,18.64,18.66,2779900
2020-02-24,18.15,18.21,17.58,17.7,5676800
2020-02-25,17.74,17.9,16.48,16.53,7006300
2020-02-26,16.61,16.82,16.08,16.1,4196000
2020-02-27,15.71,16.27,15.0,15.0,7234700
2020-02-28,14.51,15.25,14.27,15.18,9330100
2020-03-02,15.26,16.22,15.12,16.19,7320500
2020-03-03,15.97,16.5,15.03,15.22,5033000
2020-03-04,15.48,15.53,14.75,15.08,3925400
2020-03-05,14.53,14.63,13.85,13.96,4593000
2020-03-06,13.7,14.26,13.42,13.76,5553800
2020-03-09,12.79,13.62,12.3,13.46,6973900
2020-03-10,14.08,14.39,13.16,13.57,8180500
2020-03-11,13.05,13.67,12.95,13.41,9536700
2020-03-12,12.5,12.75,11.08,11.12,6619200
2020-03-13,11.77,12.76,11.27,12.75,6614000
2020-03-16,11.51,12.68,11.38,12.08,5681000
2020-03-17,12.68,13.59,11.72,13.05,6087400
2020-03-18,12.2,12.52,11.02,11.97,6415700
2020-03-19,11.72,12.63,10.92,12.23,4304100
2020-03-20,12.19,12.23,11.21,11.24,6597700
2020-03-23,11.25,11.53,10.27,10.38,5432000
2020-03-24,11.02,12.32,11.01,12.26,6163500
2020-03-25,12.43,13.08,11.64,12.56,5181700
2020-03-26,12.77,13.99,12.53,13.88,4452300
2020-03-27,13.19,14.11,12.97,13.39,4094700
2020-03-30,13.37,13.63,13.23,13.42,4105100
2020-03-31,13.28,13.55,12.72,13.07,5506800
2020-04-01,12.32,12.64,11.82,12.19,5029200
2020-04-02,12.08,12.53,11.6,11.88,4159900
2020-04-03,11.71,12.19,11.51,11.8,3122100
2020-04-06,12.48,12.9,12.33,12.62,3250700
2020-04-07,13.24,13.4,12.73,12.89,3638400
2020-04-08,13.06,13.36,12.82,13.25,3275200
2020-04-09,13.41,14.21,13.41,13.92,5238300
2020-04-13,13.85,13.88,12.83,13.13,2139500
2020-04-14,13.54,13.66,13.23,13.58,2850600
2020-04-15,13.04,13.1,12.42,12.53,2930700
2020-04-16,12.51,12.65,12.05,12.41,2955100
2020-04-17,12.9,13.17,12.32,12.65,4870300
