Date,Open,High,Low,Close,Volume
2020-02-10,85.83,86.7,85.0,85.27,1145400
2020-02-11,85.83,86.89,85.01,86.06,753600
2020-02-12,88.61,91.82,88.12,89.79,1486500
2020-02-13,88.51,89.57,88.03,89.18,901000
2020-02-14,89.15,89.65,88.17,89.27,863400
2020-02-18,87.95,89.0,85.62,86.25,1154800
2020-02-19,86.32,86.83,85.76,86.03,947100
2020-02-20,85.91,88.01,85.91,86.78,812500
2020-02-21,85.8,85.98,83.97,84.57,798000
2020-02-24,80.31,82.31,79.42,81.14,1162600
2020-02-25,81.8,81.94,76.37,76.87,1255600
2020-02-26,77.37,78.17,73.27,73.96,1389000
2020-02-27,71.96,76.43,70.02,72.98,1697100
2020-02-28,70.22,74.71,70.22,74.03,1834300
2020-03-02,74.71,74.95,71.85,74.5,1294300
2020-03-03,74.14,76.41,70.6,71.85,1167300
2020-03-04,72.51,73.8,71.24,73.71,1045600
2020-03-05,71.18,71.9,68.88,69.76,1307600
2020-03-06,67.92,70.49,67.24,69.1,1371500
2020-03-09,63.79,64.53,60.28,61.43,1518800
2020-03-10,63.79,65.21,60.85,63.52,1319100
2020-03-11,61.62,61.64,56.29,56.57,1393100
2020-03-12,52.98,52.98,43.97,44.2,2822900
2020-03-13,46.87,50.28,42.72,50.28,1918500
2020-03-16,43.64,45.41,40.26,40.7,1442200
2020-03-17,41.27,43.8,36.24,37.39,2230500
2020-03-18,35.6,36.14,29.38,33.21,1793800
2020-03-19,32.06,35.51,29.51,33.9,1835100
2020-03-20,34.59,35.49,31.38,31.57,2139300
2020-03-23,31.52,32.34,28.4,29.05,1573200
2020-03-24,31.44,35.9,31.01,35.52,1338900
2020-03-25,36.52,39.5,34.6,37.46,2013800
2020-03-26,37.61,43.0,36.01,39.03,2979100
2020-03-27,36.87,39.15,34.04,38.0,1890200
2020-03-30,38.02,38.6,34.14,38.22,1550500
2020-03-31,37.95,40.26,37.3,37.64,1444900
2020-04-01,35.33,35.87,31.82,32.63,2372000
2020-04-02,35.0,35.56,30.54,31.87,3786300
2020-04-03,30.84,31.73,29.02,30.99,2238300
2020-04-06,33.29,40.42,33.05,39.71,3774700
2020-04-07,43.68,49.29,43.68,46.73,3517500
2020-04-08,47.58,48.7,46.73,47.89,1972200
2020-04-09,50.0,52.99,48.59,49.51,2632900
2020-04-13,49.38,49.51,44.25,46.06,1461400
2020-04-14,47.62,48.39,46.14,47.96,1277500
2020-04-15,44.83,45.51,41.11,42.33,1884200
2020-04-16,42.11,42.48,39.87,40.04,1340200
2020-04-17,42.92,45.7,42.92,44.88,1823100
