Date,Open,High,Low,Close,Volume
2020-02-10,116.53,118.04,116.35,117.9,1373400.0
2020-02-11,118.67,119.56,118.31,119.33,1260900.0
2020-02-12,120.11,120.23,119.3,119.69,1388800.0
2020-02-13,119.39,120.38,119.11,120.23,1290300.0
2020-02-14,120.54,121.6,120.31,121.41,1307700.0
2020-02-18,121.21,122.63,120.65,122.11,1497200.0
2020-02-19,122.58,123.25,122.19,122.56,1061200.0
2020-02-20,122.46,123.78,121.57,123.43,1065400.0
2020-02-21,122.88,123.49,121.75,122.86,1316400.0
2020-02-24,121.63,122.8,120.68,121.25,1816400.0
2020-02-25,121.62,121.83,116.2,116.39,2295700.0
2020-02-26,118.04,121.04,117.6,118.83,2432000.0
2020-02-27,117.44,118.65,111.51,111.6,2738900.0
2020-02-28,108.29,110.31,106.43,108.45,4152000.0
2020-03-02,108.88,111.66,105.62,111.64,3138100.0
2020-03-03,110.66,113.96,107.26,108.88,3487300.0
2020-03-04,109.04,110.16,105.49,109.22,4938700.0
2020-03-05,106.01,106.83,100.39,101.38,3136700.0
2020-03-06,97.29,103.1,97.04,102.2,3940100.0
2020-03-09,96.69,97.52,94.12,94.52,4067500.0
2020-03-10,96.86,101.61,95.49,101.54,3921200.0
2020-03-11,99.11,100.66,97.53,98.26,3731100.0
2020-03-12,92.39,96.16,90.75,91.07,5273900.0
2020-03-13,95.34,96.83,87.21,92.55,4298400.0
2020-03-16,84.34,84.34,73.19,73.93,4883700.0
2020-03-17,74.43,74.67,67.69,69.56,7862800.0
2020-03-18,65.3,65.95,56.3,59.97,8149600.0
2020-03-19,59.46,69.33,57.67,65.0,7958700.0
2020-03-20,65.43,70.0,63.85,63.9,10008700.0
2020-03-23,62.69,66.43,60.5,62.92,5970200.0
2020-03-24,67.82,71.8,66.07,71.58,8351500.0
2020-03-25,73.95,84.86,72.8,81.29,5655300.0
2020-03-26,82.34,86.83,81.31,85.6,5436500.0
2020-03-27,81.78,85.78,80.0,82.55,3493000.0
2020-03-30,82.59,85.5,80.58,84.87,3237400.0
2020-03-31,84.1,88.79,83.74,86.97,4875800.0
2020-04-01,82.3,85.37,79.89,81.09,4468900.0
2020-04-02,80.0,82.27,75.63,79.4,4137500.0
2020-04-03,78.58,79.23,74.17,74.75,3534700.0
2020-04-06,80.0,88.06,78.15,87.18,5382000.0
2020-04-07,93.66,95.97,84.47,84.81,5867100.0
2020-04-08,85.75,91.86,84.7,89.05,3023800.0
2020-04-09,90.38,92.64,87.89,88.74,2693900.0
2020-04-13,89.02,89.02,85.1,87.0,2192200.0
2020-04-14,88.51,91.36,88.34,90.97,3034400.0
2020-04-15,86.58,89.35,86.2,88.56,2383500.0
2020-04-16,88.55,88.82,86.37,87.19,2610700.0
2020-04-17,90.06,92.02,88.72,91.72,5080600.0
