Date,Open,High,Low,Close,Volume
2020-02-10,114.34,115.96,114.34,115.7,3862000
2020-02-11,115.79,115.86,113.87,115.42,3065100
2020-02-12,115.39,117.46,115.2,116.82,3764800
2020-02-13,116.56,117.21,116.14,116.99,2654900
2020-02-14,117.01,117.17,115.03,115.36,3289100
2020-02-18,116.33,117.25,115.74,117.21,3122500
2020-02-19,117.07,117.51,116.43,116.77,2866700
2020-02-20,116.35,117.67,115.96,117.64,2659300
2020-02-21,117.21,118.25,116.18,116.39,3856500
2020-02-24,113.88,115.38,112.52,113.18,5304900
2020-02-25,113.59,114.54,111.04,111.13,5095900
2020-02-26,111.59,112.12,109.71,110.08,4318300
2020-02-27,107.81,108.8,104.98,105.06,6712400
2020-02-28,101.67,103.65,100.21,102.46,9223500
2020-03-02,102.84,108.86,102.41,108.49,9691100
2020-03-03,111.41,111.61,103.41,105.28,10927400
2020-03-04,106.44,107.5,104.12,107.25,6834800
2020-03-05,105.08,107.87,104.7,105.41,5294900
2020-03-06,103.61,105.87,102.21,105.39,5370800
2020-03-09,99.23,107.11,99.23,103.48,7346600
2020-03-10,105.68,109.01,104.25,107.76,7461000
2020-03-11,105.47,107.41,102.87,105.02,6102500
2020-03-12,98.72,100.99,91.92,92.13,10208800
2020-03-13,96.14,104.59,92.04,100.49,9267200
2020-03-16,92.1,99.41,90.68,93.3,6963700
2020-03-17,94.62,105.93,94.56,103.08,10586400
2020-03-18,98.42,107.78,96.34,102.28,8845700
2020-03-19,102.18,106.56,99.28,99.97,7414200
2020-03-20,98.78,101.94,95.87,96.89,8057200
2020-03-23,96.04,98.68,93.32,96.18,7104300
2020-03-24,99.61,101.11,95.49,100.03,6498600
2020-03-25,98.6,98.81,90.04,90.56,12563200
2020-03-26,90.91,95.96,90.73,95.56,7014000
2020-03-27,93.99,97.31,92.44,94.24,4902800
2020-03-30,95.67,97.25,95.0,95.5,4485600
2020-03-31,94.78,96.27,91.67,92.48,6388400
2020-04-01,91.16,95.63,90.81,94.77,8581000
2020-04-02,93.77,95.17,91.63,93.86,5929200
2020-04-03,93.04,93.63,89.69,92.08,6815300
2020-04-06,92.73,97.3,91.64,97.0,7107800
2020-04-07,98.23,101.12,96.52,97.74,6599300
2020-04-08,99.82,105.13,99.47,104.08,7542900
2020-04-09,101.46,104.28,100.96,103.65,7070600
2020-04-13,103.65,104.81,102.37,104.13,3235500
2020-04-14,107.92,109.33,105.32,107.81,5032300
2020-04-15,108.19,108.43,104.7,105.68,4225600
2020-04-16,106.44,109.31,106.09,108.72,5950300
2020-04-17,110.32,113.47,107.86,112.82,7617500
