Date,Open,High,Low,Close,Volume
2020-02-10,124.95,127.21,123.96,126.82,2908200
2020-02-11,127.53,132.72,126.55,130.89,2948400
2020-02-12,134.91,136.14,133.21,135.68,3640200
2020-02-13,133.15,134.43,131.35,132.51,3013600
2020-02-14,132.24,132.36,129.68,131.04,1496600
2020-02-18,131.13,132.96,129.39,132.35,1578200
2020-02-19,133.39,136.44,132.78,135.04,1781000
2020-02-20,133.11,134.58,130.36,132.22,1849600
2020-02-21,130.42,131.13,125.7,126.89,2853200
2020-02-24,120.28,123.61,119.02,119.17,4549100
2020-02-25,121.15,121.5,112.96,113.89,4285400
2020-02-26,115.44,117.86,110.27,110.75,4155400
2020-02-27,109.21,115.91,103.9,111.16,5665600
2020-02-28,108.0,111.38,106.29,107.98,5946200
2020-03-02,107.95,109.41,104.35,107.94,4675300
2020-03-03,107.9,110.77,101.57,102.44,4346300
2020-03-04,104.52,106.45,101.74,105.66,3137800
2020-03-05,102.76,102.95,95.01,95.58,5576300
2020-03-06,92.0,98.0,90.0,94.03,5512300
2020-03-09,84.5,87.9,80.63,81.93,5092100
2020-03-10,87.54,90.38,83.1,90.17,5037300
2020-03-11,86.5,87.13,80.16,80.87,5660300
2020-03-12,71.32,77.88,65.0,68.02,9707800
2020-03-13,74.78,77.82,64.15,72.52,6976300
2020-03-16,59.5,67.48,54.63,54.8,7723200
2020-03-17,56.71,58.0,48.01,54.38,9050300
2020-03-18,48.25,51.86,35.84,43.02,10917800
2020-03-19,41.15,52.9,38.01,46.58,10369200
2020-03-20,49.83,60.0,49.01,51.97,11323900
2020-03-23,53.51,58.4,51.0,57.57,9148200
2020-03-24,68.66,71.39,64.55,66.56,10793700
2020-03-25,71.81,79.7,65.19,75.06,9420900
2020-03-26,77.38,83.87,69.76,71.51,10883600
2020-03-27,66.65,67.3,63.26,63.31,9510200
2020-03-30,61.76,63.69,58.05,61.1,7156100
2020-03-31,60.71,63.49,59.1,60.19,5341600
2020-04-01,56.91,57.0,52.91,54.0,6244600
2020-04-02,53.12,56.4,51.55,52.67,4688300
2020-04-03,52.97,53.5,46.21,48.5,7994100
2020-04-06,53.7,58.25,52.75,56.73,9013400
2020-04-07,65.95,67.2,59.75,60.85,12004600
2020-04-08,62.65,69.39,61.66,69.07,10758100
2020-04-09,73.91,76.88,67.82,70.65,11008300
2020-04-13,70.72,71.35,65.54,69.3,7528100
2020-04-14,73.05,74.54,69.19,74.48,6531700
2020-04-15,71.17,72.86,70.0,71.85,5966700
2020-04-16,71.04,72.7,68.81,72.29,6293700
2020-04-17,77.16,78.52,74.51,78.46,7338100
