Date,Open,High,Low,Close,Volume
2020-02-10,75.5,76.94,75.5,76.88,4418400
2020-02-11,76.77,76.82,75.64,75.65,3992600
2020-02-12,75.75,75.86,75.04,75.49,3735400
2020-02-13,75.26,76.15,75.17,75.91,2907800
2020-02-14,75.9,76.24,75.65,76.23,2820400
2020-02-18,76.15,76.23,75.59,75.61,4370500
2020-02-19,75.54,75.81,75.04,75.08,2686700
2020-02-20,75.0,75.19,73.8,74.71,3350900
2020-02-21,74.74,76.08,74.66,75.81,5341500
2020-02-24,71.28,75.26,70.76,73.97,5584400
2020-02-25,73.95,74.54,73.08,73.35,5739500
2020-02-26,73.55,74.02,72.46,72.48,4188700
2020-02-27,72.62,73.27,69.71,69.73,6181100
2020-02-28,68.57,68.94,65.92,67.16,11130900
2020-03-02,68.1,72.12,68.1,72.0,7940800
2020-03-03,72.11,73.66,70.81,71.35,7487800
2020-03-04,73.45,75.01,72.57,74.91,7174700
2020-03-05,73.26,73.88,71.37,71.9,5877500
2020-03-06,69.94,72.32,69.09,72.07,6339600
2020-03-09,68.88,71.18,68.58,69.57,7399300
2020-03-10,71.19,71.58,67.68,71.38,7521500
2020-03-11,69.72,70.38,67.37,68.48,6860400
2020-03-12,64.54,67.04,62.82,63.5,9772200
2020-03-13,66.03,68.79,63.81,68.68,11952900
2020-03-16,61.78,65.91,61.67,61.96,8849300
2020-03-17,63.8,70.0,62.93,69.78,9389100
2020-03-18,67.39,71.7,64.96,67.28,9189300
2020-03-19,67.57,68.57,64.67,66.25,8926800
2020-03-20,66.34,66.45,61.02,61.7,9168300
2020-03-23,61.71,63.09,58.14,60.1,8306800
2020-03-24,60.74,65.48,59.25,60.81,9887200
2020-03-25,60.39,61.84,58.65,59.53,10375500
2020-03-26,60.0,63.95,59.83,63.43,9053300
2020-03-27,63.64,66.23,62.98,64.87,6366500
2020-03-30,65.59,66.53,64.58,66.18,4950500
2020-03-31,65.61,66.09,64.57,65.96,5784400
2020-04-01,64.36,65.45,63.7,65.15,4247700
2020-04-02,64.39,68.28,64.32,67.76,5676700
2020-04-03,67.54,68.28,66.35,67.21,4720800
2020-04-06,69.18,71.3,68.71,70.07,5172800
2020-04-07,69.86,71.36,68.41,68.62,5964900
2020-04-08,69.22,70.32,68.43,69.8,4265600
2020-04-09,70.23,71.04,69.34,69.49,3582500
2020-04-13,69.21,69.79,68.79,69.07,3335000
2020-04-14,70.9,73.44,70.18,72.67,4940600
2020-04-15,71.76,72.5,71.26,72.21,3390500
2020-04-16,72.46,72.84,71.31,72.4,3561800
2020-04-17,72.71,73.7,71.53,73.42,3762400
