Date,Open,High,Low,Close,Volume
2020-02-10,313.04,316.22,311.89,313.07,2336300
2020-02-11,313.31,313.71,309.76,309.97,2047500
2020-02-12,310.06,314.76,310.06,314.4,1384600
2020-02-13,314.13,318.06,312.83,317.47,1438000
2020-02-14,318.14,319.08,316.23,317.58,1113400
2020-02-18,318.27,322.74,317.88,321.32,1547100
2020-02-19,321.35,323.79,321.0,322.28,1413600
2020-02-20,321.59,324.33,320.28,323.34,1427500
2020-02-21,321.82,324.52,320.3,321.22,2239000
2020-02-24,314.78,319.27,312.55,312.91,2300400
2020-02-25,314.28,315.85,303.71,304.18,2881800
2020-02-26,306.85,310.59,303.99,304.99,2236000
2020-02-27,301.29,304.3,292.33,292.46,3621700
2020-02-28,284.6,286.68,270.66,280.5,7096600
2020-03-02,293.77,308.8,290.72,308.44,7563800
2020-03-03,308.44,313.45,300.34,302.04,5131400
2020-03-04,307.59,320.24,304.32,320.01,4219300
2020-03-05,315.05,323.77,312.49,315.04,6407700
2020-03-06,311.43,316.77,302.06,310.63,6185500
2020-03-09,295.18,309.62,292.33,301.29,5203100
2020-03-10,307.27,309.02,293.75,308.69,4245500
2020-03-11,300.17,307.09,293.52,296.75,3622700
2020-03-12,279.8,294.96,275.71,279.21,7307600
2020-03-13,288.17,302.56,277.64,301.58,6100100
2020-03-16,281.19,298.85,278.87,282.53,5465500
2020-03-17,288.34,306.49,285.65,306.29,7170600
2020-03-18,297.32,317.28,295.33,306.8,6701800
2020-03-19,309.7,313.13,301.94,304.52,5429500
2020-03-20,307.22,307.31,286.37,289.76,6581200
2020-03-23,291.34,295.0,277.79,284.88,5646400
2020-03-24,293.92,296.67,282.19,284.29,7124200
2020-03-25,283.56,290.06,278.57,280.22,5639600
2020-03-26,280.7,293.06,280.22,291.63,5463100
2020-03-27,286.48,292.82,282.68,283.68,4250400
2020-03-30,286.83,291.02,285.19,290.46,4396000
2020-03-31,286.76,290.86,283.35,284.48,5618600
2020-04-01,281.72,288.14,280.26,286.13,3745800
2020-04-02,283.73,292.11,282.18,290.82,3500600
2020-04-03,288.5,291.67,285.15,287.99,2650100
2020-04-06,292.33,304.79,288.91,304.42,5272500
2020-04-07,305.8,309.29,302.53,302.94,4036500
2020-04-08,304.41,306.72,301.59,305.27,3964400
2020-04-09,298.77,303.66,296.9,299.33,6492700
2020-04-13,297.9,303.26,296.98,298.94,3120400
2020-04-14,302.06,314.03,300.56,313.42,4288300
2020-04-15,310.93,313.03,306.12,309.56,2937300
2020-04-16,314.01,321.89,311.33,320.83,3940000
2020-04-17,320.58,321.4,313.3,317.2,3688000
