Date,Open,High,Low,Close,Volume
2020-02-10,70.96,72.72,70.67,72.64,8760200
2020-02-11,73.2,73.51,72.82,73.24,7933600
2020-02-12,74.06,74.63,72.04,73.14,13500800
2020-02-13,72.84,73.49,71.34,71.4,8553900
2020-02-14,71.38,71.43,69.69,70.78,7655100
2020-02-18,70.6,71.4,70.31,71.4,4844000
2020-02-19,71.71,71.96,71.07,71.18,4831600
2020-02-20,70.91,71.63,69.97,71.34,5719300
2020-02-21,70.96,71.2,70.42,70.92,5186200
2020-02-24,68.85,69.36,67.16,67.36,9637600
2020-02-25,67.67,67.8,63.56,63.8,15062300
2020-02-26,64.11,64.66,62.03,62.13,16872600
2020-02-27,60.99,60.99,58.84,58.84,22051600
2020-02-28,56.81,58.85,56.63,58.69,23729500
2020-03-02,60.17,63.54,59.36,63.5,15909500
2020-03-03,64.03,65.11,60.85,62.02,14989700
2020-03-04,66.05,66.42,64.29,65.49,14690700
2020-03-05,63.41,64.9,63.1,63.83,8581800
2020-03-06,62.05,64.55,61.68,63.62,11683300
2020-03-09,59.25,62.63,59.11,60.79,13484500
2020-03-10,62.24,62.83,58.57,62.08,13274300
2020-03-11,60.71,62.48,59.48,60.8,12099100
2020-03-12,56.66,57.5,53.06,54.15,16856700
2020-03-13,56.98,59.3,54.01,59.15,15473500
2020-03-16,53.23,56.42,51.78,51.87,13566000
2020-03-17,53.18,58.76,52.2,57.52,15473700
2020-03-18,53.9,59.15,52.62,56.71,17953700
2020-03-19,56.33,58.62,53.69,54.92,16247100
2020-03-20,55.35,56.31,53.09,54.25,15682300
2020-03-23,53.41,54.51,51.61,52.65,16336800
2020-03-24,54.67,55.18,52.42,53.9,19331500
2020-03-25,53.95,57.05,52.27,53.19,19601500
2020-03-26,53.2,57.96,51.85,57.83,23189500
2020-03-27,56.28,59.28,55.36,58.11,15034000
2020-03-30,58.43,59.9,57.3,59.18,12939200
2020-03-31,58.69,59.34,57.7,58.84,11018700
2020-04-01,57.27,58.38,56.73,57.86,11474400
2020-04-02,56.3,56.51,53.62,54.95,16796400
2020-04-03,54.76,56.13,53.9,55.26,8793000
2020-04-06,57.29,57.44,55.32,55.75,11833800
2020-04-07,57.42,58.03,55.69,56.4,12324100
2020-04-08,56.85,59.32,56.38,58.92,8559800
2020-04-09,59.03,60.94,58.83,59.97,9169400
2020-04-13,60.0,60.75,57.64,58.47,9990300
2020-04-14,59.38,61.16,59.17,61.05,8254200
2020-04-15,60.15,60.42,58.96,60.06,9272800
2020-04-16,60.34,62.37,59.93,62.04,11098600
2020-04-17,63.48,63.72,61.83,62.83,8006300
