Date,Open,High,Low,Close,Volume
2020-02-10,207.04,208.51,205.42,208.15,1689900.0
2020-02-11,209.89,210.81,208.51,209.29,1468700.0
2020-02-12,210.82,214.46,210.62,214.25,2141100.0
2020-02-13,213.2,215.63,212.43,214.35,1818700.0
2020-02-14,214.92,215.06,213.28,214.46,1442800.0
2020-02-18,214.3,214.34,210.64,210.9,2122600.0
2020-02-19,211.96,212.94,209.89,212.58,1768500.0
2020-02-20,212.1,213.32,208.35,210.78,2379900.0
2020-02-21,209.43,210.1,208.14,208.74,1709000.0
2020-02-24,199.05,203.38,197.81,198.28,2494300.0
2020-02-25,199.05,200.71,190.24,190.94,2767800.0
2020-02-26,193.51,195.53,188.67,188.81,2982500.0
2020-02-27,185.08,188.74,182.24,182.28,4175500.0
2020-02-28,176.77,183.73,176.44,183.6,4084300.0
2020-03-02,185.02,193.78,182.62,193.33,3350100.0
2020-03-03,192.63,195.64,186.83,188.39,3149900.0
2020-03-04,192.28,193.62,186.82,193.4,2815600.0
2020-03-05,189.17,193.14,187.45,189.62,2851600.0
2020-03-06,184.45,193.12,183.28,191.95,2384600.0
2020-03-09,179.4,182.36,174.93,177.9,3035900.0
2020-03-10,182.87,187.69,177.51,187.38,2340300.0
2020-03-11,182.51,184.55,169.56,172.51,3040400.0
2020-03-12,159.8,166.68,152.47,157.35,3958500.0
2020-03-13,165.29,172.55,157.11,172.22,2880600.0
2020-03-16,150.5,156.49,146.98,148.98,3512100.0
2020-03-17,151.41,159.45,140.94,153.74,3612800.0
2020-03-18,143.18,157.0,137.01,156.24,4214500.0
2020-03-19,150.53,163.09,139.84,156.51,4292300.0
2020-03-20,158.55,159.25,148.97,151.0,3681100.0
2020-03-23,149.78,151.97,140.32,144.38,2868200.0
2020-03-24,151.08,159.73,147.27,157.83,2702900.0
2020-03-25,158.89,174.82,156.65,167.76,2988000.0
2020-03-26,169.6,176.48,166.17,172.98,2553700.0
2020-03-27,167.48,168.79,159.07,160.68,1882100.0
2020-03-30,160.38,167.92,160.13,165.23,1890000.0
2020-03-31,163.55,163.62,158.49,159.34,2209200.0
2020-04-01,153.03,155.53,151.06,153.38,1822200.0
2020-04-02,151.81,155.12,147.34,149.21,1888700.0
2020-04-03,148.57,154.39,147.16,154.08,1589400.0
2020-04-06,158.32,162.0,157.03,160.5,1792900.0
2020-04-07,165.34,166.64,162.34,163.17,1827100.0
2020-04-08,163.55,166.76,162.13,165.73,1749000.0
2020-04-09,167.98,169.24,163.79,164.83,2976800.0
2020-04-13,164.13,164.13,159.72,162.22,1937100.0
2020-04-14,166.08,167.33,162.63,165.0,3991400.0
2020-04-15,160.0,162.99,156.74,157.79,2103800.0
2020-04-16,158.41,162.37,156.31,161.87,3303800.0
2020-04-17,167.15,175.05,166.32,174.26,4430900.0
