Date,Open,High,Low,Close,Volume
2020-02-10,142.94,144.37,142.88,144.06,1241700
2020-02-11,143.91,144.49,142.73,143.11,1070700
2020-02-12,142.41,143.09,141.78,142.17,954200
2020-02-13,142.36,143.45,142.06,142.61,1100100
2020-02-14,142.75,143.49,142.14,143.42,941400
2020-02-18,142.84,142.94,141.41,141.72,1381800
2020-02-19,141.76,142.86,141.27,141.65,1047800
2020-02-20,141.26,141.73,139.73,140.08,1364300
2020-02-21,139.56,140.51,139.04,139.27,1562200
2020-02-24,138.66,139.91,137.62,138.06,2669800
2020-02-25,137.89,139.31,136.6,136.93,1387500
2020-02-26,137.2,139.29,135.84,136.23,1703300
2020-02-27,135.62,137.21,131.98,132.04,2804200
2020-02-28,129.18,130.69,124.99,129.26,4069200
2020-03-02,130.19,139.1,130.19,139.02,3094700
2020-03-03,139.58,141.62,136.18,138.72,2939600
2020-03-04,141.22,146.91,140.83,146.07,3070500
2020-03-05,143.47,145.87,140.78,142.23,2588300
2020-03-06,138.09,146.23,137.59,145.35,3375700
2020-03-09,138.55,146.42,137.9,140.25,3688100
2020-03-10,142.34,143.14,133.51,139.95,3858200
2020-03-11,136.96,138.24,130.84,133.15,2985600
2020-03-12,126.12,130.65,120.86,121.39,3817000
2020-03-13,126.95,133.93,124.28,133.17,4477400
2020-03-16,121.37,138.62,121.37,133.69,4316200
2020-03-17,136.38,145.74,132.55,142.98,5317100
2020-03-18,137.79,143.91,131.17,133.34,4329400
2020-03-19,134.75,135.54,122.63,125.46,4362300
2020-03-20,124.91,126.47,116.76,117.39,3866100
2020-03-23,117.08,120.85,110.31,111.49,3541000
2020-03-24,115.35,117.24,109.82,116.49,3076800
2020-03-25,116.7,120.77,112.75,115.48,3060600
2020-03-26,116.31,123.72,115.8,123.07,3381700
2020-03-27,121.09,128.91,120.62,123.95,2288300
2020-03-30,127.99,131.96,125.41,131.43,2413500
2020-03-31,130.28,131.16,126.32,126.9,2394600
2020-04-01,123.94,125.81,121.83,124.71,1951000
2020-04-02,123.49,129.29,123.25,128.3,2494100
2020-04-03,127.64,130.41,126.25,128.94,1398400
2020-04-06,131.31,133.33,128.67,132.14,2270100
2020-04-07,133.91,134.42,129.93,130.4,2132700
2020-04-08,131.76,132.39,129.46,131.64,1929800
2020-04-09,131.17,135.3,129.53,130.5,2256900
2020-04-13,130.16,132.51,129.37,131.71,1858100
2020-04-14,135.2,139.57,134.2,139.03,2554000
2020-04-15,137.66,138.94,135.71,136.63,1857200
2020-04-16,137.74,139.56,135.88,138.67,1577000
2020-04-17,139.66,141.0,136.22,140.87,1949200
