Date,Open,High,Low,Close,Volume
2020-02-10,163.46,163.91,162.28,162.93,445800
2020-02-11,162.93,164.06,162.34,162.57,439600
2020-02-12,162.53,164.67,161.74,164.35,556800
2020-02-13,164.17,166.86,163.59,166.39,458000
2020-02-14,166.92,168.17,165.92,166.15,462400
2020-02-18,165.54,165.95,163.67,164.22,643300
2020-02-19,164.22,164.93,163.01,163.35,481200
2020-02-20,163.47,163.67,161.5,163.15,567700
2020-02-21,162.6,163.3,161.38,161.53,468400
2020-02-24,160.23,161.65,158.76,160.32,721200
2020-02-25,160.03,160.87,157.4,157.71,1479800
2020-02-26,157.34,158.63,152.3,152.47,1177300
2020-02-27,152.23,153.69,149.4,149.64,1126500
2020-02-28,147.73,148.26,141.8,145.58,1790000
2020-03-02,146.2,151.95,145.21,151.84,1122700
2020-03-03,151.87,153.9,148.15,149.28,986400
2020-03-04,151.46,153.29,149.85,153.24,1436700
2020-03-05,151.43,154.64,150.9,152.9,1094800
2020-03-06,148.98,150.67,146.34,150.01,1173100
2020-03-09,144.4,147.22,142.29,143.43,1436300
2020-03-10,146.01,151.15,143.99,150.9,1409000
2020-03-11,147.72,148.51,144.87,146.0,1507500
2020-03-12,138.24,140.61,130.54,130.63,2165000
2020-03-13,135.07,136.95,127.62,134.44,1650200
2020-03-16,123.0,127.98,118.7,119.87,2074200
2020-03-17,121.99,138.97,119.95,138.12,2436300
2020-03-18,130.89,148.69,129.83,140.44,2454100
2020-03-19,134.92,138.24,123.48,125.11,1928900
2020-03-20,124.51,136.45,122.61,124.02,1666000
2020-03-23,124.19,125.44,111.76,113.36,1714300
2020-03-24,116.68,125.01,116.41,124.41,1428000
2020-03-25,123.0,125.85,118.69,123.67,1415000
2020-03-26,123.52,132.23,123.43,131.09,1011400
2020-03-27,128.55,134.08,127.47,131.74,996100
2020-03-30,134.44,143.8,133.44,142.55,1664800
2020-03-31,139.28,142.41,138.77,140.62,1462700
2020-04-01,136.6,142.92,135.98,138.04,1213200
2020-04-02,137.77,145.63,137.77,144.61,1466200
2020-04-03,143.05,147.14,142.67,146.27,744500
2020-04-06,148.28,152.55,142.01,151.38,972400
2020-04-07,151.95,152.36,146.33,149.68,879800
2020-04-08,149.06,150.21,145.95,148.48,811800
2020-04-09,148.53,154.95,148.53,154.3,779300
2020-04-13,152.96,152.96,145.57,148.69,888600
2020-04-14,152.66,153.97,151.37,153.19,862500
2020-04-15,152.0,153.14,150.55,152.56,530700
2020-04-16,153.75,156.9,151.29,155.42,724600
2020-04-17,157.68,157.75,154.05,156.89,813700
