Date,Open,High,Low,Close,Volume
2020-02-10,44.91,45.43,44.71,44.96,6272100.0
2020-02-11,44.85,44.95,44.24,44.35,9814000.0
2020-02-12,44.35,44.43,43.66,44.18,10533000.0
2020-02-13,44.2,44.68,43.77,44.43,6111300.0
2020-02-14,44.5,44.55,43.71,43.96,9026000.0
2020-02-18,43.89,44.31,43.81,44.01,12033800.0
2020-02-19,44.04,44.26,43.74,43.93,5888600.0
2020-02-20,43.88,44.43,43.74,44.34,5242900.0
2020-02-21,44.17,44.98,44.11,44.66,9367800.0
2020-02-24,44.08,44.47,42.41,42.63,18907800.0
2020-02-25,42.54,43.08,41.19,41.35,12475900.0
2020-02-26,41.26,41.95,40.98,40.99,14293000.0
2020-02-27,40.73,41.33,39.22,39.22,13877400.0
2020-02-28,38.32,39.42,37.54,39.29,24002300.0
2020-03-02,39.38,40.95,38.99,40.94,14560000.0
2020-03-03,41.03,42.43,40.36,40.78,18031600.0
2020-03-04,41.27,42.77,40.96,42.75,12612900.0
2020-03-05,41.59,42.71,41.4,42.0,11502300.0
2020-03-06,40.74,41.31,40.02,41.02,15485300.0
2020-03-09,38.73,40.65,38.38,39.26,16480100.0
2020-03-10,40.36,41.38,39.34,41.02,20532700.0
2020-03-11,39.76,40.44,39.07,39.4,16557300.0
2020-03-12,36.47,37.57,34.82,35.45,19322800.0
2020-03-13,37.23,39.12,35.75,39.0,16308900.0
2020-03-16,34.97,40.16,33.46,37.2,18032100.0
2020-03-17,37.86,39.49,37.11,38.78,16972000.0
2020-03-18,36.5,37.96,34.06,37.29,18217800.0
2020-03-19,36.62,36.62,33.9,36.11,15889800.0
2020-03-20,35.19,35.99,33.23,33.36,21595700.0
2020-03-23,32.04,32.37,30.12,30.54,24246000.0
2020-03-24,32.13,33.34,31.77,32.38,21746000.0
2020-03-25,32.23,36.14,31.71,34.37,21540900.0
2020-03-26,34.64,36.82,34.64,36.64,14403400.0
2020-03-27,34.5,38.04,34.05,36.64,14679500.0
2020-03-30,36.88,37.92,36.37,37.31,18352900.0
2020-03-31,36.76,38.96,36.75,38.67,15865800.0
2020-04-01,36.85,37.98,36.69,37.61,18310500.0
2020-04-02,36.13,36.55,35.34,36.22,14393600.0
2020-04-03,36.61,37.7,36.15,37.41,10338000.0
2020-04-06,38.51,38.87,37.03,37.28,14463800.0
2020-04-07,38.22,39.9,37.61,38.48,12021300.0
2020-04-08,38.89,40.75,38.62,40.13,11727600.0
2020-04-09,40.13,41.54,40.13,40.91,8933800.0
2020-04-13,40.76,40.94,39.73,40.44,8449800.0
2020-04-14,41.05,42.39,40.89,42.12,8526500.0
2020-04-15,41.09,41.22,40.21,40.91,7415200.0
2020-04-16,41.1,41.32,40.17,40.4,7429400.0
2020-04-17,41.0,41.95,40.63,40.85,10455400.0
