Date,Open,High,Low,Close,Volume
2020-02-10,143.83,144.32,143.05,143.57,3775600
2020-02-11,144.11,144.26,142.79,143.98,3870500
2020-02-12,144.57,144.63,143.26,143.98,4217400
2020-02-13,143.16,145.02,141.46,144.37,5041400
2020-02-14,144.47,145.04,143.84,144.88,3555600
2020-02-18,145.0,145.09,143.31,143.51,4938700
2020-02-19,143.53,144.38,143.4,143.44,2978800
2020-02-20,143.68,143.71,141.88,143.08,2805900
2020-02-21,142.98,143.82,142.73,143.76,4271800
2020-02-24,143.77,145.04,140.51,140.59,5027700
2020-02-25,140.54,142.31,138.55,139.07,7585800
2020-02-26,140.39,141.69,139.13,139.94,6157200
2020-02-27,139.38,141.08,134.35,134.41,8603500
2020-02-28,131.33,131.83,126.51,130.13,14170000
2020-03-02,130.1,135.79,129.83,135.6,8504500
2020-03-03,135.22,137.66,132.81,133.63,8728300
2020-03-04,134.23,140.66,134.06,140.35,7635700
2020-03-05,137.74,140.33,135.62,137.04,6579100
2020-03-06,130.55,137.11,130.44,136.2,6754900
2020-03-09,129.18,132.32,127.19,129.16,8716300
2020-03-10,131.03,133.53,125.88,133.11,8258600
2020-03-11,129.57,131.52,126.65,128.75,7465100
2020-03-12,121.16,124.04,112.72,114.45,12808300
2020-03-13,119.75,126.61,114.18,126.47,12007700
2020-03-16,113.81,122.87,111.14,112.22,10733300
2020-03-17,115.8,126.88,115.49,126.74,14242300
2020-03-18,119.91,126.74,112.89,119.99,15250800
2020-03-19,120.49,121.15,115.17,116.44,9393500
2020-03-20,117.33,117.54,100.64,103.13,13093200
2020-03-23,105.18,112.0,102.08,104.37,13926800
2020-03-24,109.08,113.55,108.53,112.96,11447000
2020-03-25,111.87,115.46,110.18,111.63,9485500
2020-03-26,111.84,120.86,111.71,119.33,10376800
2020-03-27,117.66,123.69,117.08,119.53,9852500
2020-03-30,120.67,124.87,120.57,124.51,6916800
2020-03-31,123.98,124.73,118.61,119.17,7091700
2020-04-01,116.37,121.36,114.78,117.21,6873000
2020-04-02,116.32,124.22,115.58,122.91,6181800
2020-04-03,122.24,124.4,121.5,123.63,5552000
2020-04-06,127.67,131.11,124.32,130.15,8242200
2020-04-07,131.69,134.04,129.29,129.48,6253900
2020-04-08,128.64,132.26,128.14,131.59,5241100
2020-04-09,131.07,134.04,130.5,132.6,5502400
2020-04-13,130.68,132.32,128.43,129.88,3785000
2020-04-14,132.19,137.56,131.33,137.33,6278700
2020-04-15,136.08,136.5,132.67,133.99,5773100
2020-04-16,135.92,135.92,132.82,134.6,4564000
2020-04-17,136.67,136.94,133.87,136.49,4866500
