Date,Open,High,Low,Close,Volume
2020-02-10,76.5,76.91,75.76,76.13,2539100
2020-02-11,75.88,76.03,74.97,75.45,2287400
2020-02-12,75.44,76.8,75.38,76.63,2503700
2020-02-13,76.8,77.78,76.77,77.1,2382600
2020-02-14,77.39,77.64,77.11,77.37,1613600
2020-02-18,77.22,77.65,75.82,76.0,3264600
2020-02-19,75.98,76.35,75.19,75.38,1553100
2020-02-20,75.46,76.21,75.18,75.89,1398400
2020-02-21,75.88,76.48,75.63,76.21,1883500
2020-02-24,75.81,75.97,74.59,74.73,1951100
2020-02-25,74.84,75.4,73.12,73.25,3031200
2020-02-26,73.52,73.85,71.91,72.09,3585000
2020-02-27,71.47,71.66,68.91,68.93,4304600
2020-02-28,67.24,67.53,64.82,65.93,5831700
2020-03-02,66.39,69.14,66.3,68.93,5055000
2020-03-03,68.63,72.47,66.74,67.76,4131900
2020-03-04,68.43,69.91,67.05,69.89,3063900
2020-03-05,68.45,69.19,66.24,66.92,3987200
2020-03-06,65.31,66.58,64.43,66.23,3331300
2020-03-09,61.83,63.09,59.6,60.59,4898600
2020-03-10,62.04,62.18,58.92,61.75,4385700
2020-03-11,60.31,61.03,53.85,54.56,7360200
2020-03-12,49.38,51.0,43.02,43.04,9736200
2020-03-13,48.08,48.89,42.8,46.56,15153300
2020-03-16,40.28,41.94,37.1,37.34,10264200
2020-03-17,37.61,37.97,31.7,34.68,17467700
2020-03-18,33.26,33.26,25.72,30.9,26221600
2020-03-19,30.72,40.04,28.45,36.71,11766500
2020-03-20,41.24,45.19,34.82,34.95,13695300
2020-03-23,34.21,36.54,32.02,35.88,11719200
2020-03-24,38.88,42.54,37.47,38.56,10948100
2020-03-25,39.12,46.51,39.01,45.16,10269100
2020-03-26,46.7,53.45,46.49,52.91,10600600
2020-03-27,49.49,52.55,48.35,49.91,9237800
2020-03-30,49.03,49.45,44.96,45.85,7373500
2020-03-31,45.56,47.66,45.06,45.14,5556500
2020-04-01,41.53,42.24,38.59,41.42,7411600
2020-04-02,40.99,43.48,40.41,41.29,4878000
2020-04-03,40.6,41.0,37.2,39.5,6871400
2020-04-06,42.05,45.54,41.53,45.01,6654500
2020-04-07,48.64,49.62,45.75,46.07,6634800
2020-04-08,47.28,50.0,46.45,47.25,5878200
2020-04-09,49.04,52.68,48.77,49.59,6393200
2020-04-13,49.65,49.81,45.47,47.05,3125500
2020-04-14,48.02,49.92,47.35,48.32,3717000
2020-04-15,45.68,46.42,44.1,46.1,4823600
2020-04-16,46.07,47.17,44.4,45.74,6002300
2020-04-17,49.51,51.25,49.19,50.31,8095300
