Date,Open,High,Low,Close,Volume
2020-02-10,52.24,52.99,52.05,52.36,4326600
2020-02-11,52.48,52.5,51.8,51.94,4054100
2020-02-12,52.36,53.45,52.07,53.39,5362500
2020-02-13,53.24,53.39,52.39,52.51,3669500
2020-02-14,52.66,52.73,51.7,51.8,5153800
2020-02-18,51.82,52.11,51.15,51.28,4334400
2020-02-19,51.24,51.51,50.91,51.49,3279500
2020-02-20,51.49,51.75,50.92,51.29,3368400
2020-02-21,51.28,51.44,50.7,50.87,4643000
2020-02-24,50.21,50.75,48.46,48.48,8049800
2020-02-25,48.8,48.84,46.71,46.98,6336300
2020-02-26,47.66,48.45,47.1,47.14,7211400
2020-02-27,46.42,47.28,45.04,45.72,10120800
2020-02-28,44.65,45.38,44.11,45.25,11856800
2020-03-02,45.41,47.64,44.96,47.57,11247800
2020-03-03,46.97,48.68,45.23,45.6,10385300
2020-03-04,46.62,48.19,46.3,48.14,7194200
2020-03-05,46.72,48.42,46.6,48.23,7237100
2020-03-06,46.72,50.27,46.65,49.94,11823800
2020-03-09,47.49,50.21,47.46,47.9,12341100
2020-03-10,48.94,49.92,46.32,48.61,11190400
2020-03-11,47.69,48.11,44.96,45.55,8593900
2020-03-12,43.32,43.44,40.07,40.56,11245700
2020-03-13,42.24,45.79,40.89,45.67,11181100
2020-03-16,41.37,47.49,41.03,44.57,10490600
2020-03-17,45.67,49.04,43.02,49.04,9242800
2020-03-18,46.81,52.41,46.32,52.22,16597800
2020-03-19,52.12,53.62,46.06,48.01,10334600
2020-03-20,47.86,48.07,44.1,45.9,11030000
2020-03-23,46.04,47.18,42.71,43.12,8977100
2020-03-24,44.52,45.43,43.2,44.74,9638400
2020-03-25,43.95,44.94,40.85,40.98,11040500
2020-03-26,41.27,45.34,40.54,45.16,11095700
2020-03-27,44.02,45.02,43.34,43.51,5898000
2020-03-30,44.09,45.14,43.93,44.65,7114900
2020-03-31,44.76,46.94,44.24,45.24,9305200
2020-04-01,44.56,45.88,42.13,42.55,6798000
2020-04-02,39.72,40.93,38.97,39.87,18891100
2020-04-03,39.8,40.64,39.3,40.26,6488800
2020-04-06,41.43,42.17,40.73,42.15,10857800
2020-04-07,42.9,43.78,42.03,42.33,6691700
2020-04-08,42.72,43.09,41.66,42.61,6206500
2020-04-09,42.67,43.92,42.61,43.49,7114200
2020-04-13,43.3,44.33,42.96,43.62,4412300
2020-04-14,44.38,45.93,44.3,45.86,6482400
2020-04-15,45.05,45.29,42.8,42.95,6050200
2020-04-16,42.88,43.59,41.91,42.75,6130400
2020-04-17,43.88,44.17,43.25,44.0,6288500
