Date,Open,High,Low,Close,Volume
2020-02-10,114.74,115.95,114.04,114.24,6144900
2020-02-11,114.42,114.49,113.44,114.39,5796800
2020-02-12,114.49,115.4,114.4,114.83,4735600
2020-02-13,114.83,116.51,114.57,116.41,5333200
2020-02-14,116.64,117.53,116.13,116.86,8130600
2020-02-18,117.43,118.9,116.33,118.58,11513200
2020-02-19,118.45,118.89,116.65,116.65,7187800
2020-02-20,116.18,117.07,115.84,116.66,5022900
2020-02-21,116.41,117.71,116.28,117.54,6242100
2020-02-24,116.43,117.42,114.93,115.3,6616000
2020-02-25,115.33,116.04,113.05,113.39,7764300
2020-02-26,113.69,114.16,112.65,112.78,6673300
2020-02-27,111.57,113.07,109.38,109.43,9488300
2020-02-28,106.75,107.57,103.46,106.74,17504100
2020-03-02,106.66,115.38,106.35,114.86,17074200
2020-03-03,115.06,116.5,111.36,111.92,11113600
2020-03-04,113.24,115.82,112.48,115.75,8208400
2020-03-05,113.4,116.22,112.91,114.9,8546100
2020-03-06,112.87,116.88,112.02,116.2,9803700
2020-03-09,112.82,119.57,111.74,116.13,19747800
2020-03-10,117.06,119.62,113.91,118.74,12599100
2020-03-11,116.48,117.99,111.81,113.43,10540000
2020-03-12,105.09,110.51,102.08,103.14,18774400
2020-03-13,107.29,113.59,102.97,113.1,14320700
2020-03-16,104.28,110.35,101.11,105.82,12251300
2020-03-17,111.78,118.22,109.49,118.21,17602000
2020-03-18,113.99,126.96,113.5,121.51,25785300
2020-03-19,123.91,126.44,117.11,118.93,19033500
2020-03-20,118.98,122.25,111.4,113.47,18474500
2020-03-23,113.67,117.03,111.72,113.78,13122000
2020-03-24,115.36,116.86,110.82,114.53,14235000
2020-03-25,112.48,113.5,107.58,108.92,17762500
2020-03-26,108.92,110.38,106.38,109.34,19416900
2020-03-27,109.63,111.79,108.12,109.1,12053500
2020-03-30,111.37,115.29,110.45,114.69,9737500
2020-03-31,113.81,115.68,112.15,113.12,8752800
2020-04-01,111.66,115.02,111.31,113.64,9423200
2020-04-02,112.68,118.59,111.85,118.13,9838500
2020-04-03,116.7,119.38,116.52,118.96,9541700
2020-04-06,118.54,125.84,118.42,125.52,15922900
2020-04-07,123.44,125.94,121.11,121.46,13789900
2020-04-08,123.15,123.27,120.06,121.31,9292200
2020-04-09,117.7,122.33,117.14,121.27,10944400
2020-04-13,120.74,125.12,120.64,124.75,8064700
2020-04-14,126.54,129.22,125.49,128.44,11366300
2020-04-15,128.44,129.31,126.56,128.2,7478400
2020-04-16,128.44,132.34,127.69,131.75,10627400
2020-04-17,130.9,132.39,129.16,131.54,10305100
